data,regione,classe_numero_casi
20-06-18,PA Trento,1-10
20-06-19,PA Trento,1-10
20-06-21,PA Trento,1-10
20-06-22,PA Trento,1-10
20-06-23,PA Trento,1-10
20-06-24,PA Trento,1-10
20-06-25,PA Trento,1-10
20-06-26,PA Trento,1-10
20-06-30,PA Trento,1-10
20-07-01,PA Trento,1-10
20-07-02,PA Trento,1-10
20-07-03,PA Trento,1-10
20-07-06,PA Trento,1-10
20-02-21,Veneto,1-10
20-05-10,Veneto,1-10
20-05-17,Veneto,1-10
20-05-23,Veneto,1-10
20-05-24,Veneto,1-10
20-05-27,Veneto,1-10
20-05-28,Veneto,1-10
20-05-29,Veneto,1-10
20-05-30,Veneto,1-10
20-05-31,Veneto,1-10
20-06-01,Veneto,1-10
20-06-02,Veneto,1-10
20-06-03,Veneto,1-10
20-06-04,Veneto,1-10
20-06-05,Veneto,1-10
20-06-06,Veneto,1-10
20-06-07,Veneto,1-10
20-06-08,Veneto,1-10
20-06-09,Veneto,1-10
20-06-10,Veneto,1-10
20-06-12,Veneto,1-10
20-06-13,Veneto,1-10
20-06-15,Veneto,1-10
20-06-16,Veneto,1-10
20-06-17,Veneto,1-10
20-06-18,Veneto,1-10
20-06-19,Veneto,1-10
20-06-20,Veneto,1-10
20-06-21,Veneto,1-10
20-06-22,Veneto,1-10
20-06-23,Veneto,1-10
20-06-24,Veneto,1-10
20-06-25,Veneto,1-10
20-06-26,Veneto,1-10
20-06-27,Veneto,1-10
20-06-28,Veneto,1-10
20-07-01,Veneto,1-10
20-07-02,Veneto,1-10
20-07-03,Veneto,1-10
20-07-04,Veneto,1-10
20-07-05,Veneto,1-10
20-07-06,Veneto,1-10
20-07-07,Veneto,1-10
20-07-08,Veneto,1-10
20-02-27,Friuli,1-10
20-02-29,Friuli,1-10
20-03-01,Friuli,1-10
20-03-02,Friuli,1-10
20-03-03,Friuli,1-10
20-03-04,Friuli,1-10
20-03-05,Friuli,1-10
20-04-26,Friuli,1-10
20-05-01,Friuli,1-10
20-05-02,Friuli,1-10
20-05-03,Friuli,1-10
20-05-04,Friuli,1-10
20-05-06,Friuli,1-10
20-05-09,Friuli,1-10
20-05-10,Friuli,1-10
20-05-12,Friuli,1-10
20-05-13,Friuli,1-10
20-05-14,Friuli,1-10
20-05-16,Friuli,1-10
20-05-17,Friuli,1-10
20-05-18,Friuli,1-10
20-05-19,Friuli,1-10
20-05-20,Friuli,1-10
20-05-21,Friuli,1-10
20-05-22,Friuli,1-10
20-05-23,Friuli,1-10
20-05-26,Friuli,1-10
20-05-27,Friuli,1-10
20-05-28,Friuli,1-10
20-05-29,Friuli,1-10
20-05-30,Friuli,1-10
20-05-31,Friuli,1-10
20-06-01,Friuli,1-10
20-06-03,Friuli,1-10
20-06-04,Friuli,1-10
20-06-05,Friuli,1-10
20-06-06,Friuli,1-10
20-06-08,Friuli,1-10
20-06-09,Friuli,1-10
20-06-10,Friuli,1-10
20-06-11,Friuli,1-10
20-06-12,Friuli,1-10
20-06-15,Friuli,1-10
20-06-16,Friuli,1-10
20-06-17,Friuli,1-10
20-06-18,Friuli,1-10
20-06-19,Friuli,1-10
20-06-20,Friuli,1-10
20-06-24,Friuli,1-10
20-06-25,Friuli,1-10
20-06-27,Friuli,1-10
20-06-30,Friuli,1-10
20-07-01,Friuli,1-10
20-07-02,Friuli,1-10
20-07-03,Friuli,1-10
20-07-07,Friuli,1-10
20-02-24,Liguria,1-10
20-02-25,Liguria,1-10
20-02-27,Liguria,1-10
20-02-29,Liguria,1-10
20-03-01,Liguria,1-10
20-03-02,Liguria,1-10
20-03-03,Liguria,1-10
20-03-04,Liguria,1-10
20-03-05,Liguria,1-10
20-05-30,Liguria,1-10
20-05-31,Liguria,1-10
20-06-06,Liguria,1-10
20-06-07,Liguria,1-10
20-06-10,Liguria,1-10
20-06-11,Liguria,1-10
20-06-12,Liguria,1-10
20-06-13,Liguria,1-10
20-06-14,Liguria,1-10
20-06-17,Liguria,1-10
20-06-19,Liguria,1-10
20-06-20,Liguria,1-10
20-06-21,Liguria,1-10
20-06-22,Liguria,1-10
20-06-24,Liguria,1-10
20-06-25,Liguria,1-10
20-06-26,Liguria,1-10
20-06-27,Liguria,1-10
20-06-28,Liguria,1-10
20-06-29,Liguria,1-10
20-06-30,Liguria,1-10
20-07-01,Liguria,1-10
20-07-02,Liguria,1-10
20-07-03,Liguria,1-10
20-07-04,Liguria,1-10
20-07-05,Liguria,1-10
20-07-06,Liguria,1-10
20-07-07,Liguria,1-10
20-02-22,Emilia,1-10
20-02-24,Emilia,1-10
20-05-31,Emilia,1-10
20-06-14,Emilia,1-10
20-06-21,Emilia,1-10
20-06-28,Emilia,1-10
20-02-24,Toscana,1-10
20-02-25,Toscana,1-10
20-02-26,Toscana,1-10
20-02-27,Toscana,1-10
20-02-28,Toscana,1-10
20-02-29,Toscana,1-10
20-03-01,Toscana,1-10
20-03-02,Toscana,1-10
20-05-17,Toscana,1-10
20-05-18,Toscana,1-10
20-05-23,Toscana,1-10
20-05-24,Toscana,1-10
20-05-25,Toscana,1-10
20-05-26,Toscana,1-10
20-05-27,Toscana,1-10
20-05-28,Toscana,1-10
20-05-29,Toscana,1-10
20-05-30,Toscana,1-10
20-05-31,Toscana,1-10
20-06-02,Toscana,1-10
20-06-03,Toscana,1-10
20-06-04,Toscana,1-10
20-06-05,Toscana,1-10
20-06-06,Toscana,1-10
20-06-07,Toscana,1-10
20-06-08,Toscana,1-10
20-06-09,Toscana,1-10
20-06-11,Toscana,1-10
20-06-12,Toscana,1-10
20-06-13,Toscana,1-10
20-06-14,Toscana,1-10
20-06-15,Toscana,1-10
20-06-16,Toscana,1-10
20-06-17,Toscana,1-10
20-06-18,Toscana,1-10
20-06-19,Toscana,1-10
20-06-20,Toscana,1-10
20-06-21,Toscana,1-10
20-06-22,Toscana,1-10
20-06-23,Toscana,1-10
20-06-24,Toscana,1-10
20-06-25,Toscana,1-10
20-06-26,Toscana,1-10
20-06-27,Toscana,1-10
20-06-28,Toscana,1-10
20-06-29,Toscana,1-10
20-06-30,Toscana,1-10
20-07-01,Toscana,1-10
20-07-02,Toscana,1-10
20-07-04,Toscana,1-10
20-07-05,Toscana,1-10
20-07-06,Toscana,1-10
20-07-07,Toscana,1-10
20-02-27,Umbria,1-10
20-03-02,Umbria,1-10
20-03-04,Umbria,1-10
20-03-05,Umbria,1-10
20-03-06,Umbria,1-10
20-03-07,Umbria,1-10
20-03-08,Umbria,1-10
20-03-10,Umbria,1-10
20-03-29,Umbria,1-10
20-04-05,Umbria,1-10
20-04-08,Umbria,1-10
20-04-09,Umbria,1-10
20-04-10,Umbria,1-10
20-04-11,Umbria,1-10
20-04-12,Umbria,1-10
20-04-13,Umbria,1-10
20-04-14,Umbria,1-10
20-04-15,Umbria,1-10
20-04-16,Umbria,1-10
20-04-17,Umbria,1-10
20-04-18,Umbria,1-10
20-04-19,Umbria,1-10
20-04-20,Umbria,1-10
20-04-21,Umbria,1-10
20-04-22,Umbria,1-10
20-04-23,Umbria,1-10
20-04-24,Umbria,1-10
20-04-25,Umbria,1-10
20-04-26,Umbria,1-10
20-04-27,Umbria,1-10
20-04-28,Umbria,1-10
20-04-30,Umbria,1-10
20-05-03,Umbria,1-10
20-05-04,Umbria,1-10
20-05-06,Umbria,1-10
20-05-07,Umbria,1-10
20-05-08,Umbria,1-10
20-05-09,Umbria,1-10
20-05-10,Umbria,1-10
20-05-12,Umbria,1-10
20-05-14,Umbria,1-10
20-05-15,Umbria,1-10
20-05-16,Umbria,1-10
20-05-18,Umbria,1-10
20-05-19,Umbria,1-10
20-05-21,Umbria,1-10
20-05-25,Umbria,1-10
20-06-06,Umbria,1-10
20-06-08,Umbria,1-10
20-06-09,Umbria,1-10
20-06-15,Umbria,1-10
20-06-18,Umbria,1-10
20-06-22,Umbria,1-10
20-06-25,Umbria,1-10
20-06-29,Umbria,1-10
20-07-01,Umbria,1-10
20-07-02,Umbria,1-10
20-07-03,Umbria,1-10
20-02-25,Marche,1-10
20-02-26,Marche,1-10
20-02-27,Marche,1-10
20-02-28,Marche,1-10
20-05-09,Marche,1-10
20-05-10,Marche,1-10
20-05-11,Marche,1-10
20-05-12,Marche,1-10
20-05-16,Marche,1-10
20-05-17,Marche,1-10
20-05-18,Marche,1-10
20-05-20,Marche,1-10
20-05-21,Marche,1-10
20-05-22,Marche,1-10
20-05-23,Marche,1-10
20-05-24,Marche,1-10
20-05-25,Marche,1-10
20-05-27,Marche,1-10
20-05-28,Marche,1-10
20-05-29,Marche,1-10
20-05-30,Marche,1-10
20-05-31,Marche,1-10
20-06-01,Marche,1-10
20-06-04,Marche,1-10
20-06-05,Marche,1-10
20-06-06,Marche,1-10
20-06-07,Marche,1-10
20-06-08,Marche,1-10
20-06-09,Marche,1-10
20-06-10,Marche,1-10
20-06-11,Marche,1-10
20-06-12,Marche,1-10
20-06-13,Marche,1-10
20-06-14,Marche,1-10
20-06-15,Marche,1-10
20-06-16,Marche,1-10
20-06-17,Marche,1-10
20-06-18,Marche,1-10
20-06-19,Marche,1-10
20-06-20,Marche,1-10
20-06-21,Marche,1-10
20-06-22,Marche,1-10
20-06-23,Marche,1-10
20-06-25,Marche,1-10
20-06-29,Marche,1-10
20-06-30,Marche,1-10
20-07-01,Marche,1-10
20-07-04,Marche,1-10
20-07-06,Marche,1-10
20-07-07,Marche,1-10
20-02-25,Lazio,1-10
20-02-27,Lazio,1-10
20-02-28,Lazio,1-10
20-03-02,Lazio,1-10
20-05-24,Lazio,1-10
20-05-27,Lazio,1-10
20-05-29,Lazio,1-10
20-05-30,Lazio,1-10
20-05-31,Lazio,1-10
20-06-01,Lazio,1-10
20-06-02,Lazio,1-10
20-06-07,Lazio,1-10
20-06-14,Lazio,1-10
20-06-15,Lazio,1-10
20-06-16,Lazio,1-10
20-06-17,Lazio,1-10
20-06-19,Lazio,1-10
20-06-20,Lazio,1-10
20-06-21,Lazio,1-10
20-06-23,Lazio,1-10
20-06-24,Lazio,1-10
20-06-28,Lazio,1-10
20-06-29,Lazio,1-10
20-06-30,Lazio,1-10
20-07-06,Lazio,1-10
20-07-07,Lazio,1-10
20-02-24,Abruzzo,1-10
20-02-26,Abruzzo,1-10
20-02-28,Abruzzo,1-10
20-02-29,Abruzzo,1-10
20-03-02,Abruzzo,1-10
20-03-03,Abruzzo,1-10
20-03-04,Abruzzo,1-10
20-03-05,Abruzzo,1-10
20-03-06,Abruzzo,1-10
20-03-07,Abruzzo,1-10
20-04-19,Abruzzo,1-10
20-04-25,Abruzzo,1-10
20-04-26,Abruzzo,1-10
20-05-01,Abruzzo,1-10
20-05-02,Abruzzo,1-10
20-05-03,Abruzzo,1-10
20-05-08,Abruzzo,1-10
20-05-09,Abruzzo,1-10
20-05-10,Abruzzo,1-10
20-05-11,Abruzzo,1-10
20-05-13,Abruzzo,1-10
20-05-15,Abruzzo,1-10
20-05-16,Abruzzo,1-10
20-05-18,Abruzzo,1-10
20-05-19,Abruzzo,1-10
20-05-20,Abruzzo,1-10
20-05-21,Abruzzo,1-10
20-05-22,Abruzzo,1-10
20-05-23,Abruzzo,1-10
20-05-25,Abruzzo,1-10
20-05-26,Abruzzo,1-10
20-05-27,Abruzzo,1-10
20-05-28,Abruzzo,1-10
20-05-29,Abruzzo,1-10
20-05-30,Abruzzo,1-10
20-05-31,Abruzzo,1-10
20-06-01,Abruzzo,1-10
20-06-02,Abruzzo,1-10
20-06-03,Abruzzo,1-10
20-06-04,Abruzzo,1-10
20-06-06,Abruzzo,1-10
20-06-08,Abruzzo,1-10
20-06-09,Abruzzo,1-10
20-06-10,Abruzzo,1-10
20-06-11,Abruzzo,1-10
20-06-12,Abruzzo,1-10
20-06-15,Abruzzo,1-10
20-06-16,Abruzzo,1-10
20-06-18,Abruzzo,1-10
20-06-19,Abruzzo,1-10
20-06-21,Abruzzo,1-10
20-06-22,Abruzzo,1-10
20-06-23,Abruzzo,1-10
20-06-27,Abruzzo,1-10
20-06-29,Abruzzo,1-10
20-06-30,Abruzzo,1-10
20-07-01,Abruzzo,1-10
20-07-02,Abruzzo,1-10
20-07-03,Abruzzo,1-10
20-07-04,Abruzzo,1-10
20-07-06,Abruzzo,1-10
20-03-02,Molise,1-10
20-03-03,Molise,1-10
20-03-04,Molise,1-10
20-03-05,Molise,1-10
20-03-09,Molise,1-10
20-03-11,Molise,1-10
20-03-12,Molise,1-10
20-03-16,Molise,1-10
20-03-17,Molise,1-10
20-03-19,Molise,1-10
20-03-21,Molise,1-10
20-03-22,Molise,1-10
20-03-23,Molise,1-10
20-03-28,Molise,1-10
20-03-29,Molise,1-10
20-03-30,Molise,1-10
20-04-01,Molise,1-10
20-04-02,Molise,1-10
20-04-07,Molise,1-10
20-04-08,Molise,1-10
20-04-09,Molise,1-10
20-04-10,Molise,1-10
20-04-11,Molise,1-10
20-04-13,Molise,1-10
20-04-14,Molise,1-10
20-04-16,Molise,1-10
20-04-17,Molise,1-10
20-04-18,Molise,1-10
20-04-20,Molise,1-10
20-04-21,Molise,1-10
20-04-22,Molise,1-10
20-04-23,Molise,1-10
20-04-24,Molise,1-10
20-04-25,Molise,1-10
20-04-27,Molise,1-10
20-04-29,Molise,1-10
20-04-30,Molise,1-10
20-05-04,Molise,1-10
20-05-05,Molise,1-10
20-05-06,Molise,1-10
20-05-12,Molise,1-10
20-05-13,Molise,1-10
20-05-14,Molise,1-10
20-05-15,Molise,1-10
20-05-16,Molise,1-10
20-05-17,Molise,1-10
20-05-20,Molise,1-10
20-05-21,Molise,1-10
20-05-22,Molise,1-10
20-05-25,Molise,1-10
20-05-26,Molise,1-10
20-05-27,Molise,1-10
20-06-07,Molise,1-10
20-06-08,Molise,1-10
20-06-15,Molise,1-10
20-06-17,Molise,1-10
20-06-20,Molise,1-10
20-06-21,Molise,1-10
20-06-24,Molise,1-10
20-02-25,Campania,1-10
20-02-26,Campania,1-10
20-02-29,Campania,1-10
20-03-01,Campania,1-10
20-03-02,Campania,1-10
20-03-03,Campania,1-10
20-03-04,Campania,1-10
20-03-05,Campania,1-10
20-05-03,Campania,1-10
20-05-05,Campania,1-10
20-05-06,Campania,1-10
20-05-10,Campania,1-10
20-05-11,Campania,1-10
20-05-15,Campania,1-10
20-05-16,Campania,1-10
20-05-17,Campania,1-10
20-05-20,Campania,1-10
20-05-21,Campania,1-10
20-05-22,Campania,1-10
20-05-23,Campania,1-10
20-05-24,Campania,1-10
20-05-26,Campania,1-10
20-05-27,Campania,1-10
20-05-28,Campania,1-10
20-05-29,Campania,1-10
20-05-30,Campania,1-10
20-05-31,Campania,1-10
20-06-01,Campania,1-10
20-06-02,Campania,1-10
20-06-05,Campania,1-10
20-06-06,Campania,1-10
20-06-07,Campania,1-10
20-06-08,Campania,1-10
20-06-09,Campania,1-10
20-06-10,Campania,1-10
20-06-11,Campania,1-10
20-06-12,Campania,1-10
20-06-13,Campania,1-10
20-06-15,Campania,1-10
20-06-16,Campania,1-10
20-06-17,Campania,1-10
20-06-18,Campania,1-10
20-06-19,Campania,1-10
20-06-20,Campania,1-10
20-06-21,Campania,1-10
20-06-22,Campania,1-10
20-06-24,Campania,1-10
20-06-27,Campania,1-10
20-06-30,Campania,1-10
20-07-01,Campania,1-10
20-07-03,Campania,1-10
20-07-05,Campania,1-10
20-07-06,Campania,1-10
20-02-26,Puglia,1-10
20-02-27,Puglia,1-10
20-03-01,Puglia,1-10
20-03-02,Puglia,1-10
20-03-03,Puglia,1-10
20-03-04,Puglia,1-10
20-03-05,Puglia,1-10
20-03-07,Puglia,1-10
20-03-08,Puglia,1-10
20-05-03,Puglia,1-10
20-05-10,Puglia,1-10
20-05-11,Puglia,1-10
20-05-12,Puglia,1-10
20-05-13,Puglia,1-10
20-05-14,Puglia,1-10
20-05-15,Puglia,1-10
20-05-17,Puglia,1-10
20-05-19,Puglia,1-10
20-05-23,Puglia,1-10
20-05-24,Puglia,1-10
20-05-25,Puglia,1-10
20-05-27,Puglia,1-10
20-05-28,Puglia,1-10
20-05-29,Puglia,1-10
20-05-30,Puglia,1-10
20-05-31,Puglia,1-10
20-06-01,Puglia,1-10
20-06-03,Puglia,1-10
20-06-04,Puglia,1-10
20-06-05,Puglia,1-10
20-06-06,Puglia,1-10
20-06-08,Puglia,1-10
20-06-10,Puglia,1-10
20-06-11,Puglia,1-10
20-06-13,Puglia,1-10
20-06-16,Puglia,1-10
20-06-17,Puglia,1-10
20-06-18,Puglia,1-10
20-06-19,Puglia,1-10
20-06-22,Puglia,1-10
20-06-24,Puglia,1-10
20-06-25,Puglia,1-10
20-07-01,Puglia,1-10
20-07-02,Puglia,1-10
20-07-03,Puglia,1-10
20-07-07,Puglia,1-10
20-03-03,Basilicata,1-10
20-03-05,Basilicata,1-10
20-03-06,Basilicata,1-10
20-03-08,Basilicata,1-10
20-03-09,Basilicata,1-10
20-03-10,Basilicata,1-10
20-03-12,Basilicata,1-10
20-03-14,Basilicata,1-10
20-03-15,Basilicata,1-10
20-03-16,Basilicata,1-10
20-03-17,Basilicata,1-10
20-03-21,Basilicata,1-10
20-03-22,Basilicata,1-10
20-03-25,Basilicata,1-10
20-03-29,Basilicata,1-10
20-03-31,Basilicata,1-10
20-04-01,Basilicata,1-10
20-04-02,Basilicata,1-10
20-04-04,Basilicata,1-10
20-04-05,Basilicata,1-10
20-04-06,Basilicata,1-10
20-04-07,Basilicata,1-10
20-04-08,Basilicata,1-10
20-04-10,Basilicata,1-10
20-04-11,Basilicata,1-10
20-04-12,Basilicata,1-10
20-04-13,Basilicata,1-10
20-04-14,Basilicata,1-10
20-04-16,Basilicata,1-10
20-04-17,Basilicata,1-10
20-04-18,Basilicata,1-10
20-04-19,Basilicata,1-10
20-04-20,Basilicata,1-10
20-04-21,Basilicata,1-10
20-04-22,Basilicata,1-10
20-04-23,Basilicata,1-10
20-04-25,Basilicata,1-10
20-04-27,Basilicata,1-10
20-04-28,Basilicata,1-10
20-04-29,Basilicata,1-10
20-04-30,Basilicata,1-10
20-05-01,Basilicata,1-10
20-05-02,Basilicata,1-10
20-05-03,Basilicata,1-10
20-05-05,Basilicata,1-10
20-05-08,Basilicata,1-10
20-05-09,Basilicata,1-10
20-05-11,Basilicata,1-10
20-05-12,Basilicata,1-10
20-05-13,Basilicata,1-10
20-05-14,Basilicata,1-10
20-05-16,Basilicata,1-10
20-05-18,Basilicata,1-10
20-05-19,Basilicata,1-10
20-05-21,Basilicata,1-10
20-05-22,Basilicata,1-10
20-05-23,Basilicata,1-10
20-05-26,Basilicata,1-10
20-05-27,Basilicata,1-10
20-05-29,Basilicata,1-10
20-06-08,Basilicata,1-10
20-06-28,Basilicata,1-10
20-07-02,Basilicata,1-10
20-07-07,Basilicata,1-10
20-02-29,Calabria,1-10
20-03-04,Calabria,1-10
20-03-05,Calabria,1-10
20-03-06,Calabria,1-10
20-03-07,Calabria,1-10
20-03-08,Calabria,1-10
20-03-09,Calabria,1-10
20-03-10,Calabria,1-10
20-03-14,Calabria,1-10
20-04-05,Calabria,1-10
20-04-10,Calabria,1-10
20-04-11,Calabria,1-10
20-04-12,Calabria,1-10
20-04-18,Calabria,1-10
20-04-20,Calabria,1-10
20-04-21,Calabria,1-10
20-04-23,Calabria,1-10
20-04-24,Calabria,1-10
20-04-25,Calabria,1-10
20-04-26,Calabria,1-10
20-04-27,Calabria,1-10
20-04-28,Calabria,1-10
20-04-29,Calabria,1-10
20-04-30,Calabria,1-10
20-05-01,Calabria,1-10
20-05-02,Calabria,1-10
20-05-03,Calabria,1-10
20-05-04,Calabria,1-10
20-05-05,Calabria,1-10
20-05-06,Calabria,1-10
20-05-07,Calabria,1-10
20-05-08,Calabria,1-10
20-05-09,Calabria,1-10
20-05-10,Calabria,1-10
20-05-11,Calabria,1-10
20-05-12,Calabria,1-10
20-05-13,Calabria,1-10
20-05-14,Calabria,1-10
20-05-15,Calabria,1-10
20-05-17,Calabria,1-10
20-05-18,Calabria,1-10
20-05-21,Calabria,1-10
20-05-23,Calabria,1-10
20-05-25,Calabria,1-10
20-06-04,Calabria,1-10
20-06-08,Calabria,1-10
20-06-10,Calabria,1-10
20-06-11,Calabria,1-10
20-06-16,Calabria,1-10
20-06-18,Calabria,1-10
20-06-19,Calabria,1-10
20-06-20,Calabria,1-10
20-06-21,Calabria,1-10
20-06-24,Calabria,1-10
20-06-27,Calabria,1-10
20-06-28,Calabria,1-10
20-07-03,Calabria,1-10
20-07-06,Calabria,1-10
20-02-24,Sicilia,1-10
20-02-26,Sicilia,1-10
20-02-27,Sicilia,1-10
20-02-28,Sicilia,1-10
20-03-01,Sicilia,1-10
20-03-02,Sicilia,1-10
20-03-03,Sicilia,1-10
20-03-04,Sicilia,1-10
20-03-05,Sicilia,1-10
20-03-06,Sicilia,1-10
20-03-08,Sicilia,1-10
20-04-19,Sicilia,1-10
20-04-25,Sicilia,1-10
20-04-26,Sicilia,1-10
20-05-01,Sicilia,1-10
20-05-03,Sicilia,1-10
20-05-04,Sicilia,1-10
20-05-06,Sicilia,1-10
20-05-07,Sicilia,1-10
20-05-09,Sicilia,1-10
20-05-10,Sicilia,1-10
20-05-11,Sicilia,1-10
20-05-12,Sicilia,1-10
20-05-13,Sicilia,1-10
20-05-14,Sicilia,1-10
20-05-15,Sicilia,1-10
20-05-16,Sicilia,1-10
20-05-17,Sicilia,1-10
20-05-18,Sicilia,1-10
20-05-19,Sicilia,1-10
20-05-20,Sicilia,1-10
20-05-22,Sicilia,1-10
20-05-23,Sicilia,1-10
20-05-25,Sicilia,1-10
20-05-26,Sicilia,1-10
20-05-27,Sicilia,1-10
20-05-28,Sicilia,1-10
20-05-29,Sicilia,1-10
20-05-30,Sicilia,1-10
20-05-31,Sicilia,1-10
20-06-01,Sicilia,1-10
20-06-02,Sicilia,1-10
20-06-03,Sicilia,1-10
20-06-04,Sicilia,1-10
20-06-05,Sicilia,1-10
20-06-06,Sicilia,1-10
20-06-08,Sicilia,1-10
20-06-09,Sicilia,1-10
20-06-10,Sicilia,1-10
20-06-11,Sicilia,1-10
20-06-12,Sicilia,1-10
20-06-13,Sicilia,1-10
20-06-15,Sicilia,1-10
20-06-16,Sicilia,1-10
