data,regione,classe_numero_casi
20-08-31,Piemonte,101-200
21-06-14,Piemonte,101-200
21-06-21,Piemonte,101-200
20-03-16,Valle Aosta,101-200
20-03-30,Valle Aosta,101-200
20-10-12,Valle Aosta,101-200
20-11-23,Valle Aosta,101-200
20-11-30,Valle Aosta,101-200
21-03-08,Valle Aosta,101-200
21-03-15,Valle Aosta,101-200
21-03-22,Valle Aosta,101-200
21-04-05,Valle Aosta,101-200
21-04-12,Valle Aosta,101-200
21-04-19,Valle Aosta,101-200
21-04-26,Valle Aosta,101-200
20-07-13,Lombardia,101-200
20-07-20,Lombardia,101-200
20-07-27,Lombardia,101-200
20-03-09,PA Bolzano,101-200
20-03-16,PA Bolzano,101-200
20-03-30,PA Bolzano,101-200
20-04-06,PA Bolzano,101-200
20-04-13,PA Bolzano,101-200
20-10-05,PA Bolzano,101-200
21-04-12,PA Bolzano,101-200
21-04-26,PA Bolzano,101-200
21-05-03,PA Bolzano,101-200
21-05-10,PA Bolzano,101-200
21-05-17,PA Bolzano,101-200
21-05-24,PA Bolzano,101-200
20-03-09,PA Trento,101-200
20-04-13,PA Trento,101-200
20-04-20,PA Trento,101-200
20-04-27,PA Trento,101-200
20-05-04,PA Trento,101-200
20-08-31,PA Trento,101-200
20-09-14,PA Trento,101-200
20-09-21,PA Trento,101-200
20-09-28,PA Trento,101-200
20-10-05,PA Trento,101-200
21-04-26,PA Trento,101-200
21-05-03,PA Trento,101-200
21-05-10,PA Trento,101-200
21-05-17,PA Trento,101-200
21-05-24,PA Trento,101-200
20-02-24,Veneto,101-200
20-05-04,Veneto,101-200
20-05-11,Veneto,101-200
20-07-13,Veneto,101-200
20-07-27,Veneto,101-200
20-08-03,Veneto,101-200
21-06-14,Veneto,101-200
21-06-21,Veneto,101-200
21-06-28,Veneto,101-200
20-03-09,Friuli,101-200
20-03-30,Friuli,101-200
20-04-06,Friuli,101-200
20-04-13,Friuli,101-200
20-09-07,Friuli,101-200
20-09-14,Friuli,101-200
20-09-21,Friuli,101-200
20-09-28,Friuli,101-200
21-05-10,Friuli,101-200
21-05-17,Friuli,101-200
21-05-24,Friuli,101-200
20-05-04,Liguria,101-200
20-05-11,Liguria,101-200
20-05-18,Liguria,101-200
20-08-24,Liguria,101-200
20-08-31,Liguria,101-200
21-05-24,Liguria,101-200
20-02-24,Emilia,101-200
20-05-11,Emilia,101-200
20-05-18,Emilia,101-200
20-05-25,Emilia,101-200
20-06-22,Emilia,101-200
20-06-29,Emilia,101-200
20-07-06,Emilia,101-200
20-07-13,Emilia,101-200
20-07-20,Emilia,101-200
20-07-27,Emilia,101-200
20-08-03,Emilia,101-200
20-08-10,Emilia,101-200
21-06-21,Emilia,101-200
21-06-28,Emilia,101-200
21-07-05,Emilia,101-200
20-04-27,Toscana,101-200
20-05-04,Toscana,101-200
20-08-17,Toscana,101-200
21-06-14,Toscana,101-200
21-06-21,Toscana,101-200
21-06-28,Toscana,101-200
21-07-05,Toscana,101-200
20-03-16,Umbria,101-200
20-03-23,Umbria,101-200
20-09-28,Umbria,101-200
21-05-17,Umbria,101-200
21-05-24,Umbria,101-200
20-03-02,Marche,101-200
20-04-13,Marche,101-200
20-04-20,Marche,101-200
20-04-27,Marche,101-200
20-09-07,Marche,101-200
20-09-14,Marche,101-200
20-09-28,Marche,101-200
21-05-31,Marche,101-200
21-06-07,Marche,101-200
20-03-02,Lazio,101-200
20-04-20,Lazio,101-200
20-04-27,Lazio,101-200
20-05-04,Lazio,101-200
20-08-10,Lazio,101-200
21-06-28,Lazio,101-200
20-03-09,Abruzzo,101-200
20-04-06,Abruzzo,101-200
20-04-13,Abruzzo,101-200
20-09-28,Abruzzo,101-200
21-05-17,Abruzzo,101-200
21-05-24,Abruzzo,101-200
21-05-31,Abruzzo,101-200
20-10-12,Molise,101-200
20-10-19,Molise,101-200
20-12-07,Molise,101-200
20-12-14,Molise,101-200
20-12-21,Molise,101-200
20-12-28,Molise,101-200
21-01-04,Molise,101-200
21-01-11,Molise,101-200
21-01-18,Molise,101-200
21-01-25,Molise,101-200
21-03-01,Molise,101-200
21-03-08,Molise,101-200
21-03-15,Molise,101-200
21-03-22,Molise,101-200
21-04-12,Molise,101-200
21-04-19,Molise,101-200
20-03-09,Campania,101-200
20-04-13,Campania,101-200
20-04-20,Campania,101-200
20-08-10,Campania,101-200
20-03-09,Puglia,101-200
20-04-13,Puglia,101-200
20-04-20,Puglia,101-200
20-08-17,Puglia,101-200
20-08-24,Puglia,101-200
20-08-31,Puglia,101-200
21-06-21,Puglia,101-200
21-06-28,Puglia,101-200
21-07-05,Puglia,101-200
20-10-12,Basilicata,101-200
20-10-19,Basilicata,101-200
20-12-07,Basilicata,101-200
20-12-14,Basilicata,101-200
20-12-21,Basilicata,101-200
21-01-18,Basilicata,101-200
21-01-25,Basilicata,101-200
21-02-01,Basilicata,101-200
21-05-17,Basilicata,101-200
21-05-24,Basilicata,101-200
20-03-16,Calabria,101-200
20-03-23,Calabria,101-200
20-10-05,Calabria,101-200
21-06-14,Calabria,101-200
21-06-21,Calabria,101-200
20-03-30,Sicilia,101-200
20-04-06,Sicilia,101-200
20-08-03,Sicilia,101-200
20-08-10,Sicilia,101-200
20-08-17,Sicilia,101-200
20-08-24,Sicilia,101-200
20-03-16,Sardegna,101-200
20-03-23,Sardegna,101-200
20-03-30,Sardegna,101-200
20-04-06,Sardegna,101-200
20-08-17,Sardegna,101-200
20-08-24,Sardegna,101-200
20-08-31,Sardegna,101-200
20-09-07,Sardegna,101-200
20-09-14,Sardegna,101-200
21-05-10,Sardegna,101-200
21-05-17,Sardegna,101-200
21-05-24,Sardegna,101-200
21-05-31,Sardegna,101-200
20-05-11,Piemonte,201-500
20-05-18,Piemonte,201-500
20-08-24,Piemonte,201-500
20-09-07,Piemonte,201-500
20-09-14,Piemonte,201-500
20-09-21,Piemonte,201-500
21-06-07,Piemonte,201-500
20-10-19,Valle Aosta,201-500
20-10-26,Valle Aosta,201-500
20-11-02,Valle Aosta,201-500
20-11-16,Valle Aosta,201-500
21-03-29,Valle Aosta,201-500
20-06-15,Lombardia,201-500
20-06-22,Lombardia,201-500
20-06-29,Lombardia,201-500
20-07-06,Lombardia,201-500
20-08-03,Lombardia,201-500
20-08-10,Lombardia,201-500
21-06-21,Lombardia,201-500
21-06-28,Lombardia,201-500
20-03-23,PA Bolzano,201-500
20-10-12,PA Bolzano,201-500
21-03-08,PA Bolzano,201-500
21-03-15,PA Bolzano,201-500
21-03-22,PA Bolzano,201-500
21-03-29,PA Bolzano,201-500
21-04-05,PA Bolzano,201-500
21-04-19,PA Bolzano,201-500
20-03-16,PA Trento,201-500
20-03-23,PA Trento,201-500
20-03-30,PA Trento,201-500
20-04-06,PA Trento,201-500
20-10-12,PA Trento,201-500
21-03-29,PA Trento,201-500
21-04-05,PA Trento,201-500
21-04-12,PA Trento,201-500
21-04-19,PA Trento,201-500
20-03-02,Veneto,201-500
20-04-27,Veneto,201-500
20-08-10,Veneto,201-500
20-08-17,Veneto,201-500
20-08-24,Veneto,201-500
20-09-07,Veneto,201-500
21-05-31,Veneto,201-500
21-06-07,Veneto,201-500
21-07-05,Veneto,201-500
20-03-16,Friuli,201-500
20-03-23,Friuli,201-500
20-10-05,Friuli,201-500
20-10-12,Friuli,201-500
21-04-26,Friuli,201-500
21-05-03,Friuli,201-500
20-03-09,Liguria,201-500
20-04-13,Liguria,201-500
20-04-20,Liguria,201-500
20-04-27,Liguria,201-500
20-09-07,Liguria,201-500
20-09-14,Liguria,201-500
20-09-21,Liguria,201-500
20-09-28,Liguria,201-500
21-05-10,Liguria,201-500
21-05-17,Liguria,201-500
20-05-04,Emilia,201-500
20-08-17,Emilia,201-500
20-08-24,Emilia,201-500
20-08-31,Emilia,201-500
20-09-07,Emilia,201-500
20-09-14,Emilia,201-500
20-09-21,Emilia,201-500
21-06-07,Emilia,201-500
21-06-14,Emilia,201-500
20-03-09,Toscana,201-500
20-04-13,Toscana,201-500
20-04-20,Toscana,201-500
20-08-24,Toscana,201-500
20-08-31,Toscana,201-500
20-09-07,Toscana,201-500
20-09-14,Toscana,201-500
20-09-21,Toscana,201-500
21-06-07,Toscana,201-500
20-10-05,Umbria,201-500
20-12-14,Umbria,201-500
20-12-21,Umbria,201-500
21-04-05,Umbria,201-500
21-04-12,Umbria,201-500
21-04-19,Umbria,201-500
21-04-26,Umbria,201-500
21-05-03,Umbria,201-500
21-05-10,Umbria,201-500
20-03-09,Marche,201-500
20-03-30,Marche,201-500
20-04-06,Marche,201-500
20-10-05,Marche,201-500
21-05-17,Marche,201-500
21-05-24,Marche,201-500
20-03-09,Lazio,201-500
20-04-06,Lazio,201-500
20-04-13,Lazio,201-500
21-06-14,Lazio,201-500
21-06-21,Lazio,201-500
21-07-05,Lazio,201-500
20-03-16,Abruzzo,201-500
20-03-23,Abruzzo,201-500
20-03-30,Abruzzo,201-500
20-10-05,Abruzzo,201-500
20-12-21,Abruzzo,201-500
21-05-03,Abruzzo,201-500
21-05-10,Abruzzo,201-500
20-10-26,Molise,201-500
20-11-02,Molise,201-500
20-11-09,Molise,201-500
20-11-16,Molise,201-500
20-11-23,Molise,201-500
20-11-30,Molise,201-500
21-02-01,Molise,201-500
21-02-08,Molise,201-500
21-02-15,Molise,201-500
21-02-22,Molise,201-500
20-03-16,Campania,201-500
20-03-23,Campania,201-500
20-03-30,Campania,201-500
20-04-06,Campania,201-500
20-08-17,Campania,201-500
20-08-31,Campania,201-500
20-09-07,Campania,201-500
21-06-14,Campania,201-500
21-06-21,Campania,201-500
21-06-28,Campania,201-500
21-07-05,Campania,201-500
20-03-16,Puglia,201-500
20-03-23,Puglia,201-500
20-03-30,Puglia,201-500
20-04-06,Puglia,201-500
20-09-07,Puglia,201-500
20-09-14,Puglia,201-500
20-09-21,Puglia,201-500
20-09-28,Puglia,201-500
21-05-31,Puglia,201-500
21-06-07,Puglia,201-500
21-06-14,Puglia,201-500
20-10-26,Basilicata,201-500
20-11-30,Basilicata,201-500
20-12-28,Basilicata,201-500
21-01-04,Basilicata,201-500
21-01-11,Basilicata,201-500
21-02-08,Basilicata,201-500
21-02-15,Basilicata,201-500
21-02-22,Basilicata,201-500
21-03-01,Basilicata,201-500
21-03-08,Basilicata,201-500
21-03-15,Basilicata,201-500
21-03-22,Basilicata,201-500
21-03-29,Basilicata,201-500
21-04-26,Basilicata,201-500
21-05-03,Basilicata,201-500
21-05-10,Basilicata,201-500
20-10-12,Calabria,201-500
21-05-24,Calabria,201-500
21-05-31,Calabria,201-500
21-06-07,Calabria,201-500
20-03-16,Sicilia,201-500
20-03-23,Sicilia,201-500
20-08-31,Sicilia,201-500
20-09-07,Sicilia,201-500
20-09-14,Sicilia,201-500
20-09-21,Sicilia,201-500
21-06-21,Sicilia,201-500
21-06-28,Sicilia,201-500
21-07-05,Sicilia,201-500
20-09-21,Sardegna,201-500
20-09-28,Sardegna,201-500
20-10-05,Sardegna,201-500
21-02-01,Sardegna,201-500
21-02-08,Sardegna,201-500
21-02-15,Sardegna,201-500
21-02-22,Sardegna,201-500
21-03-01,Sardegna,201-500
21-03-08,Sardegna,201-500
21-03-15,Sardegna,201-500
21-05-03,Sardegna,201-500
20-03-09,Piemonte,501-1000
20-03-16,Piemonte,501-1000
20-03-23,Piemonte,501-1000
20-03-30,Piemonte,501-1000
20-04-06,Piemonte,501-1000
20-04-13,Piemonte,501-1000
20-04-20,Piemonte,501-1000
20-04-27,Piemonte,501-1000
20-05-04,Piemonte,501-1000
20-09-28,Piemonte,501-1000
20-10-05,Piemonte,501-1000
20-12-21,Piemonte,501-1000
21-05-03,Piemonte,501-1000
21-05-10,Piemonte,501-1000
21-05-17,Piemonte,501-1000
21-05-24,Piemonte,501-1000
21-05-31,Piemonte,501-1000
20-11-09,Valle Aosta,501-1000
20-02-24,Lombardia,501-1000
20-03-02,Lombardia,501-1000
20-04-27,Lombardia,501-1000
20-05-04,Lombardia,501-1000
20-05-11,Lombardia,501-1000
20-05-18,Lombardia,501-1000
20-05-25,Lombardia,501-1000
20-06-01,Lombardia,501-1000
