codINT,codBDAP,AREA,REGIONE,ENTE,POP,Quota a),Quota b),Contributo spettante,pagina
1010020290,961142930351069302,NORD,PIEMONTE,CAPRIATA D'ORBA,1.844,"9.776,08",-,"9.776,08",e-page-9-table-1.csv
1010020300,996142930517008302,NORD,PIEMONTE,CARBONARA SCRIVIA,1.127,"5.974,86","75,67","6.050,53",e-page-9-table-1.csv
1010020301,247842930531104201,NORD,PIEMONTE,CARENTINO,318,"1.685,90",-,"1.685,90",e-page-9-table-1.csv
1010020310,168142930510642701,NORD,PIEMONTE,CAREZZANO,440,"2.332,69",-,"2.332,69",e-page-9-table-1.csv
1010020320,817342930530317902,NORD,PIEMONTE,CARPENETO,948,"5.025,88","470,56","5.496,45",e-page-9-table-1.csv
1010020330,128642930516861302,NORD,PIEMONTE,CARREGA LIGURE,85,"450,63","173,66","624,29",e-page-9-table-1.csv
1010020340,706142929047821502,NORD,PIEMONTE,CARROSIO,500,"2.650,78","425,02","3.075,80",e-page-9-table-1.csv
1010020350,188242929013166301,NORD,PIEMONTE,CARTOSIO,737,"3.907,25","1.357,15","5.264,40",e-page-9-table-1.csv
1010020360,983642928131153402,NORD,PIEMONTE,CASAL CERMELLI,1.221,"6.473,21","491,83","6.965,04",e-page-9-table-1.csv
1010020370,372042930465107002,NORD,PIEMONTE,CASALEGGIO BOIRO,382,"2.025,20",-,"2.025,20",e-page-9-table-1.csv
1010020380,553642930530697802,NORD,PIEMONTE,CASALE MONFERRATO,33.725,"178.795,25",-,"178.795,25",e-page-9-table-1.csv
1010020390,888742930460589802,NORD,PIEMONTE,CASALNOCETO,978,"5.184,93",-,"5.184,93",e-page-9-table-1.csv
1010020400,205042930531009601,NORD,PIEMONTE,CASASCO,132,"699,81",-,"699,81",e-page-9-table-1.csv
1010020411,572151560685703101,NORD,PIEMONTE,CASSANO SPINOLA,1.804,"9.564,02",-,"9.564,02",e-page-9-table-1.csv
1010020420,542242930460488801,NORD,PIEMONTE,CASSINE,2.943,"15.602,50","3.065,37","18.667,87",e-page-9-table-1.csv
1010020430,599242930530515602,NORD,PIEMONTE,CASSINELLE,881,"4.670,68","785,95","5.456,63",e-page-9-table-1.csv
1010020440,439942928197140001,NORD,PIEMONTE,CASTELLANIA,89,"600,00",-,"600,00",e-page-9-table-1.csv
1010020450,381142928258160401,NORD,PIEMONTE,CASTELLAR GUIDOBONO,398,"2.110,02",-,"2.110,02",e-page-9-table-1.csv
1010020460,693942930517351702,NORD,PIEMONTE,CASTELLAZZO BORMIDA,4.526,"23.994,88","1.629,54","25.624,41",e-page-9-table-1.csv
1010020470,977042930453187802,NORD,PIEMONTE,CASTELLETTO D'ERRO,149,"789,93","87,23","877,17",e-page-9-table-1.csv
1010020480,653842930453388901,NORD,PIEMONTE,CASTELLETTO D'ORBA,1.960,"10.391,07","1.544,91","11.935,97",e-page-9-table-1.csv
1010020490,933442930530951801,NORD,PIEMONTE,CASTELLETTO MERLI,448,"2.375,10","201,91","2.577,01",e-page-9-table-1.csv
1010020500,224042930519163101,NORD,PIEMONTE,CASTELLETTO MONFERRATO,1.501,"7.957,65",-,"7.957,65",e-page-9-table-1.csv
1010020510,492942928623687402,NORD,PIEMONTE,CASTELNUOVO BORMIDA,700,"3.711,09","998,97","4.710,07",e-page-9-table-1.csv
1010020520,921642930518061601,NORD,PIEMONTE,CASTELNUOVO SCRIVIA,5.124,"27.165,21","1.055,30","28.220,52",e-page-9-table-1.csv
1010020521,229942929839807701,NORD,PIEMONTE,CASTELSPINA,420,"2.226,66","336,08","2.562,74",e-page-9-table-1.csv
1010020530,883142928108880501,NORD,PIEMONTE,CAVATORE,269,"1.426,12","368,13","1.794,25",e-page-9-table-1.csv
1010020540,283842930532141702,NORD,PIEMONTE,CELLA MONTE,499,"2.645,48",-,"2.645,48",e-page-9-table-1.csv
1010020550,606142930530396101,NORD,PIEMONTE,CERESETO,403,"2.136,53","76,87","2.213,40",e-page-9-table-1.csv
1010020560,394442930510586502,NORD,PIEMONTE,CERRETO GRUE,303,"1.606,37",-,"1.606,37",e-page-9-table-1.csv
1010020570,514342930544960202,NORD,PIEMONTE,CERRINA MONFERRATO,1.357,"7.194,22","1.059,96","8.254,18",e-page-9-table-1.csv
1010020580,308142930529668602,NORD,PIEMONTE,CONIOLO,453,"2.401,61",-,"2.401,61",e-page-9-table-1.csv
1010020590,167642929703741002,NORD,PIEMONTE,CONZANO,966,"5.121,31",-,"5.121,31",e-page-9-table-1.csv
1010020600,807242930524016601,NORD,PIEMONTE,COSTA VESCOVATO,327,"1.733,61","581,67","2.315,28",e-page-9-table-1.csv
1010020610,111442929417157902,NORD,PIEMONTE,CREMOLINO,1.068,"5.662,07","344,39","6.006,46",e-page-9-table-1.csv
1010020630,533242930464522301,NORD,PIEMONTE,DENICE,173,"917,17","30,08","947,25",e-page-9-table-1.csv
1010020640,822442930464350402,NORD,PIEMONTE,DERNICE,181,"959,58",-,"959,58",e-page-9-table-1.csv
1010020650,423842929307319302,NORD,PIEMONTE,FABBRICA CURONE,610,"3.233,95","374,98","3.608,93",e-page-9-table-1.csv
1010020660,222742930520958001,NORD,PIEMONTE,FELIZZANO,2.253,"11.944,42","180,00","12.124,42",e-page-9-table-1.csv
1010020670,263442930521798901,NORD,PIEMONTE,FRACONALTO,317,"1.680,60",-,"1.680,60",e-page-9-table-1.csv
1010020680,531542930542068501,NORD,PIEMONTE,FRANCAVILLA BISIO,505,"2.677,29",-,"2.677,29",e-page-9-table-1.csv
1010020690,266642930455716702,NORD,PIEMONTE,FRASCARO,432,"2.290,28","138,59","2.428,87",e-page-9-table-1.csv
1010020700,308042930455771602,NORD,PIEMONTE,FRASSINELLO MONFERRATO,500,"2.650,78","277,63","2.928,42",e-page-9-table-1.csv
1010020710,456542930453086802,NORD,PIEMONTE,FRASSINETO PO,1.381,"7.321,46","587,56","7.909,02",e-page-9-table-1.csv
1010020720,407742930465061701,NORD,PIEMONTE,FRESONARA,669,"3.546,75",-,"3.546,75",e-page-9-table-1.csv
1010020730,764842930524609801,NORD,PIEMONTE,FRUGAROLO,1.952,"10.348,65",-,"10.348,65",e-page-9-table-1.csv
1010020740,317142930448776802,NORD,PIEMONTE,FUBINE MONFERRATO,1.604,"8.503,71","167,79","8.671,50",e-page-9-table-1.csv
1010020750,121742928857169102,NORD,PIEMONTE,GABIANO,1.095,"5.805,21","568,42","6.373,63",e-page-9-table-1.csv
1010020760,992642930477821202,NORD,PIEMONTE,GAMALERO,826,"4.379,09","163,36","4.542,45",e-page-9-table-1.csv
1010020770,368942929160959801,NORD,PIEMONTE,GARBAGNA,661,"3.504,33","541,83","4.046,17",e-page-9-table-1.csv
1010020790,418642930452678002,NORD,PIEMONTE,GAVI,4.495,"23.830,53",-,"23.830,53",e-page-9-table-1.csv
1010020800,217142928739711201,NORD,PIEMONTE,GIAROLE,704,"3.732,30","678,88","4.411,18",e-page-9-table-1.csv
1010020810,609342930519980402,NORD,PIEMONTE,GREMIASCO,317,"1.680,60","159,07","1.839,66",e-page-9-table-1.csv
1010020820,151542930475519001,NORD,PIEMONTE,GROGNARDO,241,"1.277,68","42,28","1.319,96",e-page-9-table-1.csv
1010020830,591942930475826602,NORD,PIEMONTE,GRONDONA,489,"2.592,46",-,"2.592,46",e-page-9-table-1.csv
1010020840,751242930462920302,NORD,PIEMONTE,GUAZZORA,303,"1.606,37","265,81","1.872,18",e-page-9-table-1.csv
1010020850,846042930519367002,NORD,PIEMONTE,ISOLA SANT'ANTONIO,685,"3.631,57","391,43","4.023,00",e-page-9-table-1.csv
1010020860,122742930457734301,NORD,PIEMONTE,LERMA,820,"4.347,28","419,13","4.766,41",e-page-9-table-1.csv
,1010020875 448455196713873301,NORD,PIEMONTE,LU E CUCCARO MONFERRATO,1.404,"7.443,40","27,99","7.471,38",e-page-9-table-1.csv
1010020880,604942930455731001,NORD,PIEMONTE,MALVICINO,79,"600,00",-,"600,00",e-page-9-table-1.csv
