Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte,data,NUTS_code,NUTS_level,soglia30,sopraSoglia
Campania,2287,5189,194,925,66,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITF3,2,20.972973,
Emilia-Romagna,2489,5427,244,703,30,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITH5,2,34.708393,◼
Friuli Venezia Giulia,485,1277,48,175,0,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITH4,2,27.428571,
Lazio,3103,6223,329,962,253,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITI4,2,34.199584,◼
Liguria,1319,1890,119,222,14,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITC3,2,53.603604,◼
Lombardia,8291,15556,915,1407,123,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITC4,2,65.031983,◼
Marche,526,1172,78,182,72,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITI3,2,42.857143,◼
Molise,66,221,8,34,0,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITF2,2,23.529412,
P.A. Bolzano,469,506,39,77,2,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITH1,2,50.649351,◼
P.A. Trento,407,604,39,90,15,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITH2,2,43.333333,◼
Piemonte,5147,5723,390,628,99,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITC1,2,62.101911,◼
Puglia,1324,3184,200,445,76,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITF4,2,44.943820,◼
Sardegna,517,1543,67,175,33,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITG2,2,38.285714,◼
Sicilia,1532,4146,240,817,200,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITG1,2,29.375765,
Toscana,1814,5033,287,598,5,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITI1,2,47.993311,◼
Umbria,369,729,75,128,4,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITI2,2,58.593750,◼
Valle d'Aosta,144,209,12,37,0,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITC2,2,32.432432,◼
Veneto,2121,6000,279,1000,0,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITH3,2,27.900000,
Abruzzo,661,1374,75,183,0,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITF1,2,40.983607,◼
Basilicata,154,443,27,91,15,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITF5,2,29.670330,
Calabria,415,823,46,151,25,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITF6,2,30.463576,◼
Campania,2244,5189,201,925,66,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITF3,2,21.729730,
Emilia-Romagna,2534,5526,244,713,30,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITH5,2,34.221599,◼
Friuli Venezia Giulia,505,1277,54,175,0,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITH4,2,30.857143,◼
Lazio,3202,6223,337,962,200,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITI4,2,35.031185,◼
Liguria,1290,1888,120,224,14,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITC3,2,53.571429,◼
Lombardia,8304,15653,930,1432,98,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITC4,2,64.944134,◼
Marche,542,1173,81,182,72,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITI3,2,44.505495,◼
Molise,52,221,8,34,0,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITF2,2,23.529412,
P.A. Bolzano,468,506,38,77,2,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITH1,2,49.350649,◼
P.A. Trento,417,604,38,90,15,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITH2,2,42.222222,◼
Piemonte,5225,5723,393,628,99,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITC1,2,62.579618,◼
Puglia,1408,3192,202,450,70,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITF4,2,44.888889,◼
Sardegna,526,1543,69,175,33,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITG2,2,39.428571,◼
Sicilia,1537,4178,242,831,200,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITG1,2,29.121540,
Toscana,1792,5033,295,604,5,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITI1,2,48.841060,◼
Umbria,363,729,71,128,4,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITI2,2,55.468750,◼
Valle d'Aosta,148,209,10,37,0,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITC2,2,27.027027,
Veneto,2170,6000,267,1000,0,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITH3,2,26.700000,
Abruzzo,676,1366,73,183,0,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITF1,2,39.890710,◼
Basilicata,157,443,24,91,15,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITF5,2,26.373626,
Calabria,426,823,45,151,25,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITF6,2,29.801325,
Campania,2260,5118,198,590,66,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITF3,2,33.559322,◼
Emilia-Romagna,2594,5526,241,713,30,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITH5,2,33.800842,◼
Friuli Venezia Giulia,509,1277,55,175,0,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITH4,2,31.428571,◼
Lazio,3257,6223,337,962,200,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITI4,2,35.031185,◼
Liguria,1241,1888,119,224,14,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITC3,2,53.125000,◼
Lombardia,8314,15697,936,1442,88,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITC4,2,64.909847,◼
Marche,544,1180,86,186,65,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITI3,2,46.236559,◼
Molise,51,221,9,34,0,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITF2,2,26.470588,
P.A. Bolzano,450,535,39,77,2,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITH1,2,50.649351,◼
P.A. Trento,413,604,40,90,15,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITH2,2,44.444444,◼
Piemonte,5150,5723,390,628,99,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITC1,2,62.101911,◼
Puglia,1432,3243,197,451,70,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITF4,2,43.680710,◼
Sardegna,504,1543,70,179,33,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITG2,2,39.106145,◼
Sicilia,1568,4248,242,835,200,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITG1,2,28.982036,
Toscana,1798,5033,296,606,3,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITI1,2,48.844884,◼
Umbria,370,729,75,128,4,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITI2,2,58.593750,◼
Valle d'Aosta,149,209,11,37,0,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITC2,2,29.729730,
Veneto,2200,6000,275,1000,0,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITH3,2,27.500000,
Abruzzo,664,1366,72,183,0,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITF1,2,39.344262,◼
Basilicata,156,443,23,91,20,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITF5,2,25.274725,
Calabria,433,832,47,151,22,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITF6,2,31.125828,◼
Campania,2218,5118,201,590,66,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITF3,2,34.067797,◼
Emilia-Romagna,2666,5526,249,713,30,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITH5,2,34.922861,◼
Friuli Venezia Giulia,545,1277,56,175,0,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITH4,2,32.000000,◼
Lazio,3298,6223,339,962,200,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITI4,2,35.239085,◼
Liguria,1253,1888,122,224,14,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITC3,2,54.464286,◼
Lombardia,8391,15691,949,1449,81,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITC4,2,65.493444,◼
Marche,542,1181,88,190,65,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITI3,2,46.315789,◼
Molise,51,221,11,34,0,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITF2,2,32.352941,◼
P.A. Bolzano,453,535,38,77,2,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITH1,2,49.350649,◼
P.A. Trento,420,604,41,90,15,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITH2,2,45.555556,◼
Piemonte,5132,5723,398,628,99,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITC1,2,63.375796,◼
Puglia,1449,3243,188,452,70,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITF4,2,41.592920,◼
Sardegna,503,1543,70,179,33,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITG2,2,39.106145,◼
Sicilia,1597,4251,241,832,196,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITG1,2,28.966346,
Toscana,1785,5033,298,606,3,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITI1,2,49.174917,◼
Umbria,368,729,75,128,4,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITI2,2,58.593750,◼
Valle d'Aosta,144,209,14,37,0,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITC2,2,37.837838,◼
Veneto,2211,6000,281,1000,0,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITH3,2,28.100000,
Abruzzo,672,1345,71,183,0,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITF1,2,38.797814,◼
Basilicata,157,443,23,92,20,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITF5,2,25.000000,
Calabria,435,845,47,151,20,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITF6,2,31.125828,◼
Campania,2331,5268,201,590,66,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITF3,2,34.067797,◼
Emilia-Romagna,2738,5526,248,713,30,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITH5,2,34.782609,◼
Friuli Venezia Giulia,565,1277,55,175,0,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITH4,2,31.428571,◼
Lazio,3351,6401,335,962,194,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITI4,2,34.823285,◼
Liguria,1248,1888,122,228,12,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITC3,2,53.508772,◼
Lombardia,8331,15542,945,1448,82,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITC4,2,65.262431,◼
Marche,550,1181,90,190,65,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITI3,2,47.368421,◼
Molise,57,221,10,34,0,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITF2,2,29.411765,
P.A. Bolzano,473,535,38,77,2,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITH1,2,49.350649,◼
P.A. Trento,433,604,43,90,15,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITH2,2,47.777778,◼
Piemonte,5112,5824,399,628,99,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITC1,2,63.535032,◼
Puglia,1499,3261,191,452,70,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITF4,2,42.256637,◼
Sardegna,512,1543,72,179,33,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITG2,2,40.223464,◼
Sicilia,1604,4251,243,832,196,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITG1,2,29.206731,
Toscana,1832,5033,296,611,3,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITI1,2,48.445172,◼
Umbria,371,729,78,128,4,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITI2,2,60.937500,◼
Valle d'Aosta,146,209,13,37,0,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITC2,2,35.135135,◼
Veneto,2280,6000,290,1000,0,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITH3,2,29.000000,
Abruzzo,672,1345,71,183,0,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITF1,2,38.797814,◼
Basilicata,160,443,19,90,21,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITF5,2,21.111111,
Calabria,429,845,42,151,19,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITF6,2,27.814570,
Campania,2274,5283,201,590,66,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITF3,2,34.067797,◼
Emilia-Romagna,2723,5540,243,714,30,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITH5,2,34.033613,◼
Friuli Venezia Giulia,561,1277,54,175,0,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITH4,2,30.857143,◼
Lazio,3361,6411,345,943,194,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITI4,2,36.585366,◼
Liguria,1179,1880,121,227,12,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITC3,2,53.303965,◼
Lombardia,8360,15722,932,1452,78,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITC4,2,64.187328,◼
Marche,555,1186,89,193,65,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITI3,2,46.113990,◼
Molise,61,221,10,34,0,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITF2,2,29.411765,
P.A. Bolzano,459,461,40,77,2,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITH1,2,51.948052,◼
P.A. Trento,436,604,42,90,15,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITH2,2,46.666667,◼
Piemonte,5116,5824,404,628,99,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITC1,2,64.331210,◼
Puglia,1485,3286,205,452,70,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITF4,2,45.353982,◼
Sardegna,527,1563,73,181,33,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITG2,2,40.331492,◼
Sicilia,1601,4251,243,832,196,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITG1,2,29.206731,
Toscana,1771,5033,296,611,3,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITI1,2,48.445172,◼
Umbria,368,727,72,130,2,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITI2,2,55.384615,◼
Valle d'Aosta,143,209,14,37,0,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITC2,2,37.837838,◼
Veneto,2336,6000,300,1000,0,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITH3,2,30.000000,◼
Abruzzo,676,1343,72,183,0,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITF1,2,39.344262,◼
Basilicata,154,443,22,90,19,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITF5,2,24.444444,
Calabria,425,845,43,151,19,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITF6,2,28.476821,
Campania,2282,5283,192,590,66,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITF3,2,32.542373,◼
Emilia-Romagna,2763,5540,249,747,10,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITH5,2,33.333333,◼
Friuli Venezia Giulia,588,1277,54,175,0,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITH4,2,30.857143,◼
Lazio,3348,6411,349,943,194,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITI4,2,37.009544,◼
Liguria,1115,1892,123,227,12,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITC3,2,54.185022,◼
Lombardia,8114,15678,942,1456,74,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITC4,2,64.697802,◼
Marche,578,1190,94,197,65,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITI3,2,47.715736,◼
