Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte,data,NUTS_code,NUTS_level,soglia40,sopraSoglia
Sicilia,1505,4147,227,751,200,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITG1,2,36.291295,
Toscana,1792,4361,277,592,7,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITI1,2,41.091493,◼
Umbria,368,729,70,128,4,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITI2,2,50.480110,◼
Valle d'Aosta,152,209,17,37,0,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITC2,2,72.727273,◼
Veneto,1980,6000,266,1000,0,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITH3,2,33.000000,
Abruzzo,621,1247,65,178,0,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITF1,2,49.799519,◼
Basilicata,144,426,28,92,15,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITF5,2,33.802817,
Calabria,388,807,46,139,36,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITF6,2,48.079306,◼
Campania,2259,4722,200,590,66,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITF3,2,47.839898,◼
Emilia-Romagna,2449,5253,244,703,30,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITH5,2,46.620978,◼
Friuli Venezia Giulia,470,1277,49,175,0,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITH4,2,36.805012,
Lazio,3056,6223,318,962,253,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITI4,2,49.108147,◼
Liguria,1371,1895,118,222,14,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITC3,2,72.348285,◼
Lombardia,8323,15362,903,1392,138,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITC4,2,54.179143,◼
Marche,527,1108,79,174,72,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITI3,2,47.563177,◼
Molise,58,221,7,34,0,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITF2,2,26.244344,
P.A. Bolzano,481,509,39,77,2,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITH1,2,94.499018,◼
P.A. Trento,398,600,38,90,15,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITH2,2,66.333333,◼
Piemonte,5208,5723,388,628,99,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITC1,2,91.001223,◼
Puglia,1320,3109,198,441,76,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITF4,2,42.457382,◼
Sardegna,505,1543,63,175,33,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITG2,2,32.728451,
Sicilia,1528,4143,240,752,200,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITG1,2,36.881487,
Toscana,1805,5033,282,596,7,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITI1,2,35.863302,
Umbria,368,729,74,128,4,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITI2,2,50.480110,◼
Valle d'Aosta,146,209,17,37,0,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITC2,2,69.856459,◼
Veneto,2079,6000,274,1000,0,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITH3,2,34.650000,
Abruzzo,658,1337,74,181,0,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITF1,2,49.214660,◼
Basilicata,147,427,28,91,14,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITF5,2,34.426230,
Calabria,395,943,47,145,13,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITF6,2,41.887593,◼
Campania,2287,5189,194,925,66,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITF3,2,44.074003,◼
Emilia-Romagna,2489,5427,244,703,30,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITH5,2,45.863276,◼
Friuli Venezia Giulia,485,1277,48,175,0,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITH4,2,37.979640,
Lazio,3103,6223,329,962,253,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITI4,2,49.863410,◼
Liguria,1319,1890,119,222,14,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITC3,2,69.788360,◼
Lombardia,8291,15556,915,1407,123,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITC4,2,53.297763,◼
Marche,526,1172,78,182,72,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITI3,2,44.880546,◼
Molise,66,221,8,34,0,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITF2,2,29.864253,
P.A. Bolzano,469,506,39,77,2,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITH1,2,92.687747,◼
P.A. Trento,407,604,39,90,15,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITH2,2,67.384106,◼
Piemonte,5147,5723,390,628,99,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITC1,2,89.935349,◼
Puglia,1324,3184,200,445,76,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITF4,2,41.582915,◼
Sardegna,517,1543,67,175,33,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITG2,2,33.506157,
Sicilia,1532,4146,240,817,200,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITG1,2,36.951278,
Toscana,1814,5033,287,598,5,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITI1,2,36.042122,
Umbria,369,729,75,128,4,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITI2,2,50.617284,◼
Valle d'Aosta,144,209,12,37,0,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITC2,2,68.899522,◼
Veneto,2121,6000,279,1000,0,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITH3,2,35.350000,
Abruzzo,661,1374,75,183,0,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITF1,2,48.107715,◼
Basilicata,154,443,27,91,15,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITF5,2,34.762980,
Calabria,415,823,46,151,25,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITF6,2,50.425273,◼
Campania,2244,5189,201,925,66,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITF3,2,43.245327,◼
Emilia-Romagna,2534,5526,244,713,30,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITH5,2,45.855954,◼
Friuli Venezia Giulia,505,1277,54,175,0,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITH4,2,39.545810,
Lazio,3202,6223,337,962,200,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITI4,2,51.454283,◼
Liguria,1290,1888,120,224,14,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITC3,2,68.326271,◼
Lombardia,8304,15653,930,1432,98,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITC4,2,53.050533,◼
Marche,542,1173,81,182,72,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITI3,2,46.206309,◼
Molise,52,221,8,34,0,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITF2,2,23.529412,
P.A. Bolzano,468,506,38,77,2,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITH1,2,92.490119,◼
P.A. Trento,417,604,38,90,15,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITH2,2,69.039735,◼
Piemonte,5225,5723,393,628,99,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITC1,2,91.298270,◼
Puglia,1408,3192,202,450,70,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITF4,2,44.110276,◼
Sardegna,526,1543,69,175,33,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITG2,2,34.089436,
Sicilia,1537,4178,242,831,200,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITG1,2,36.787937,
Toscana,1792,5033,295,604,5,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITI1,2,35.605007,
Umbria,363,729,71,128,4,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITI2,2,49.794239,◼
Valle d'Aosta,148,209,10,37,0,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITC2,2,70.813397,◼
Veneto,2170,6000,267,1000,0,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20,ITH3,2,36.166667,
Abruzzo,676,1366,73,183,0,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITF1,2,49.487555,◼
Basilicata,157,443,24,91,15,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITF5,2,35.440181,
Calabria,426,823,45,151,25,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITF6,2,51.761847,◼
Campania,2260,5118,198,590,66,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITF3,2,44.157874,◼
Emilia-Romagna,2594,5526,241,713,30,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITH5,2,46.941730,◼
Friuli Venezia Giulia,509,1277,55,175,0,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITH4,2,39.859045,
Lazio,3257,6223,337,962,200,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITI4,2,52.338101,◼
Liguria,1241,1888,119,224,14,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITC3,2,65.730932,◼
Lombardia,8314,15697,936,1442,88,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITC4,2,52.965535,◼
Marche,544,1180,86,186,65,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITI3,2,46.101695,◼
Molise,51,221,9,34,0,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITF2,2,23.076923,
P.A. Bolzano,450,535,39,77,2,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITH1,2,84.112150,◼
P.A. Trento,413,604,40,90,15,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITH2,2,68.377483,◼
Piemonte,5150,5723,390,628,99,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITC1,2,89.987769,◼
Puglia,1432,3243,197,451,70,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITF4,2,44.156645,◼
Sardegna,504,1543,70,179,33,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITG2,2,32.663642,
Sicilia,1568,4248,242,835,200,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITG1,2,36.911488,
Toscana,1798,5033,296,606,3,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITI1,2,35.724220,
Umbria,370,729,75,128,4,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITI2,2,50.754458,◼
Valle d'Aosta,149,209,11,37,0,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITC2,2,71.291866,◼
Veneto,2200,6000,275,1000,0,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21,ITH3,2,36.666667,
Abruzzo,664,1366,72,183,0,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITF1,2,48.609078,◼
Basilicata,156,443,23,91,20,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITF5,2,35.214447,
Calabria,433,832,47,151,22,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITF6,2,52.043269,◼
Campania,2218,5118,201,590,66,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITF3,2,43.337241,◼
Emilia-Romagna,2666,5526,249,713,30,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITH5,2,48.244662,◼
Friuli Venezia Giulia,545,1277,56,175,0,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITH4,2,42.678152,◼
Lazio,3298,6223,339,962,200,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITI4,2,52.996947,◼
Liguria,1253,1888,122,224,14,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITC3,2,66.366525,◼
Lombardia,8391,15691,949,1449,81,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITC4,2,53.476515,◼
Marche,542,1181,88,190,65,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITI3,2,45.893311,◼
Molise,51,221,11,34,0,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITF2,2,23.076923,
P.A. Bolzano,453,535,38,77,2,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITH1,2,84.672897,◼
P.A. Trento,420,604,41,90,15,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITH2,2,69.536424,◼
Piemonte,5132,5723,398,628,99,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITC1,2,89.673248,◼
Puglia,1449,3243,188,452,70,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITF4,2,44.680851,◼
Sardegna,503,1543,70,179,33,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITG2,2,32.598833,
Sicilia,1597,4251,241,832,196,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITG1,2,37.567631,
Toscana,1785,5033,298,606,3,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITI1,2,35.465925,
Umbria,368,729,75,128,4,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITI2,2,50.480110,◼
Valle d'Aosta,144,209,14,37,0,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITC2,2,68.899522,◼
Veneto,2211,6000,281,1000,0,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22,ITH3,2,36.850000,
Abruzzo,672,1345,71,183,0,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITF1,2,49.962825,◼
Basilicata,157,443,23,92,20,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITF5,2,35.440181,
Calabria,435,845,47,151,20,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITF6,2,51.479290,◼
Campania,2331,5268,201,590,66,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITF3,2,44.248292,◼
Emilia-Romagna,2738,5526,248,713,30,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITH5,2,49.547593,◼
Friuli Venezia Giulia,565,1277,55,175,0,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITH4,2,44.244323,◼
Lazio,3351,6401,335,962,194,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITI4,2,52.351195,◼
Liguria,1248,1888,122,228,12,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITC3,2,66.101695,◼
Lombardia,8331,15542,945,1448,82,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITC4,2,53.603140,◼
Marche,550,1181,90,190,65,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITI3,2,46.570703,◼
Molise,57,221,10,34,0,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITF2,2,25.791855,
P.A. Bolzano,473,535,38,77,2,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITH1,2,88.411215,◼
P.A. Trento,433,604,43,90,15,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITH2,2,71.688742,◼
Piemonte,5112,5824,399,628,99,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITC1,2,87.774725,◼
Puglia,1499,3261,191,452,70,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITF4,2,45.967495,◼
Sardegna,512,1543,72,179,33,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITG2,2,33.182113,
Sicilia,1604,4251,243,832,196,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITG1,2,37.732298,
Toscana,1832,5033,296,611,3,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITI1,2,36.399762,
Umbria,371,729,78,128,4,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITI2,2,50.891632,◼
Valle d'Aosta,146,209,13,37,0,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITC2,2,69.856459,◼
Veneto,2280,6000,290,1000,0,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23,ITH3,2,38.000000,
Abruzzo,672,1345,71,183,0,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITF1,2,49.962825,◼
Basilicata,160,443,19,90,21,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITF5,2,36.117381,
Calabria,429,845,42,151,19,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITF6,2,50.769231,◼
Campania,2274,5283,201,590,66,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITF3,2,43.043725,◼
Emilia-Romagna,2723,5540,243,714,30,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITH5,2,49.151625,◼
Friuli Venezia Giulia,561,1277,54,175,0,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITH4,2,43.931088,◼
Lazio,3361,6411,345,943,194,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITI4,2,52.425519,◼
Liguria,1179,1880,121,227,12,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITC3,2,62.712766,◼
Lombardia,8360,15722,932,1452,78,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITC4,2,53.173896,◼
Marche,555,1186,89,193,65,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITI3,2,46.795953,◼
Molise,61,221,10,34,0,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITF2,2,27.601810,
P.A. Bolzano,459,461,40,77,2,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITH1,2,99.566161,◼
P.A. Trento,436,604,42,90,15,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITH2,2,72.185430,◼
Piemonte,5116,5824,404,628,99,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITC1,2,87.843407,◼
Puglia,1485,3286,205,452,70,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITF4,2,45.191722,◼
Sardegna,527,1563,73,181,33,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITG2,2,33.717210,
Sicilia,1601,4251,243,832,196,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITG1,2,37.661727,
Toscana,1771,5033,296,611,3,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITI1,2,35.187761,
Umbria,368,727,72,130,2,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITI2,2,50.618982,◼
Valle d'Aosta,143,209,14,37,0,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITC2,2,68.421053,◼
Veneto,2336,6000,300,1000,0,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24,ITH3,2,38.933333,
Abruzzo,676,1343,72,183,0,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITF1,2,50.335071,◼
Basilicata,154,443,22,90,19,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITF5,2,34.762980,
Calabria,425,845,43,151,19,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITF6,2,50.295858,◼
Campania,2282,5283,192,590,66,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITF3,2,43.195154,◼
Emilia-Romagna,2763,5540,249,747,10,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITH5,2,49.873646,◼
Friuli Venezia Giulia,588,1277,54,175,0,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITH4,2,46.045419,◼
Lazio,3348,6411,349,943,194,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITI4,2,52.222742,◼
Liguria,1115,1892,123,227,12,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITC3,2,58.932347,◼
Lombardia,8114,15678,942,1456,74,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITC4,2,51.754050,◼
Marche,578,1190,94,197,65,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25,ITI3,2,48.571429,◼
