Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte,data
Puglia,1350,31792,22511,562,1407,6%,1249,31,"4,70%",158,"3,94","9,00%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Sardegna,623,14417,9693,594,529,5%,472,29,"11,30%",57,"3,50","1,80%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Sicilia,1707,38381,26286,529,1660,6%,1450,29,"4,20%",210,"4,23","2,40%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Toscana,2478,74330,50129,1347,1921,4%,1656,44,"0,20%",265,"7,12","3,50%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Umbria,604,17640,10390,1180,427,4%,359,41,"1,40%",68,"7,72","-1,40%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Valle d'Aosta,103,4858,2363,1883,164,7%,149,119,"-6,30%",15,"11,95","-6,30%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Veneto,3605,94506,57288,1167,2050,4%,1831,37,"3,90%",219,"4,46","2,80%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Abruzzo,729,20552,14008,1073,656,5%,590,45,"3,30%",66,"5,05","11,90%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Basilicata,269,5375,4326,777,180,4%,150,27,"7,10%",30,"5,39","11,10%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Calabria,680,11070,7738,402,406,5%,353,18,"-1,40%",53,"2,75","17,80%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Campania,3019,118285,92726,1603,2437,3%,2236,39,"2,10%",201,"3,47","4,70%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Emilia-Romagna,2219,93285,57268,1282,2698,5%,2451,55,"2,40%",247,"5,53","0,00%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Friuli Venezia Giulia,536,19929,10421,860,498,5%,454,37,"11,50%",44,"3,63","-6,40%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Lazio,2538,89219,71255,1215,3374,5%,3066,52,"-1,10%",308,"5,25","10,80%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Liguria,685,44427,16531,1071,1510,9%,1393,90,"0,90%",117,"7,58","5,40%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Lombardia,8448,333356,156567,1550,9045,6%,8151,81,"3,20%",894,"8,85","4,60%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Marche,357,23955,14511,956,603,4%,525,35,"5,20%",78,"5,14","0,00%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Molise,147,3268,2201,728,69,3%,60,20,"7,10%",9,"2,98","28,60%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
P.A. Bolzano,258,18104,10701,2011,526,5%,482,91,"-1,00%",44,"8,27","2,30%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
P.A. Trento,276,13025,2994,552,423,14%,388,71,"0,50%",35,"6,45","9,40%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Piemonte,2606,131547,73786,1700,5534,8%,5150,119,"1,50%",384,"8,85","1,60%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Puglia,1234,36716,26607,664,1497,6%,1316,33,"1,60%",181,"4,52","-0,50%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Sardegna,502,16096,10784,661,576,5%,512,31,"0,40%",64,"3,93","1,60%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Sicilia,1698,44691,30756,619,1732,6%,1505,30,"0,30%",227,"4,57","1,30%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Toscana,2361,84197,54152,1455,2069,4%,1792,48,"0,80%",277,"7,44","-2,50%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Umbria,351,19510,11244,1277,438,4%,368,42,"-1,90%",70,"7,95","-2,80%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Valle d'Aosta,154,5499,2163,1723,169,8%,152,121,"0,70%",17,"13,55","6,30%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Veneto,3124,105966,63071,1285,2246,4%,1980,40,"-0,30%",266,"5,42","5,60%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17
Abruzzo,641,21193,14390,1102,686,5%,621,48,"5,30%",65,"4,98","-1,50%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Basilicata,237,5612,4504,809,172,4%,144,26,"-4,00%",28,"5,03","-6,70%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Calabria,936,12006,8531,443,434,5%,388,20,"9,90%",46,"2,39","-13,20%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Campania,3657,121942,95139,1644,2459,3%,2259,39,"1,00%",200,"3,46","-0,50%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Emilia-Romagna,2371,95654,59319,1328,2693,5%,2449,55,"-0,10%",244,"5,46","-1,20%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Friuli Venezia Giulia,796,20725,10754,888,519,5%,470,39,"3,50%",49,"4,05","11,40%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Lazio,2866,92085,73491,1253,3374,5%,3056,52,"-0,30%",318,"5,42","3,20%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Liguria,775,45202,16768,1087,1489,9%,1371,89,"-1,60%",118,"7,65","0,90%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Lombardia,7633,340989,152083,1505,9226,6%,8323,82,"2,10%",903,"8,94","1,00%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Marche,479,24434,14753,972,606,4%,527,35,"0,40%",79,"5,20","1,30%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Molise,98,3366,2067,684,65,3%,58,19,"-3,30%",7,"2,32","-22,20%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
P.A. Bolzano,581,18685,10901,2049,520,5%,481,90,"-0,20%",39,"7,33","-11,40%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
P.A. Trento,236,13261,2860,527,436,15%,398,73,"2,60%",38,"7,00","8,60%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Piemonte,3281,134828,75064,1729,5596,7%,5208,120,"1,10%",388,"8,94","1,00%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Puglia,1368,38084,27614,689,1518,5%,1320,33,"0,30%",198,"4,94","9,40%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Sardegna,422,16518,11045,677,568,5%,505,31,"-1,40%",63,"3,86","-1,60%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Sicilia,1837,46528,32102,646,1768,6%,1528,31,"1,50%",240,"4,83","5,70%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Toscana,2508,86705,54110,1454,2087,4%,1805,48,"0,70%",282,"7,58","1,80%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Umbria,501,20011,11274,1281,442,4%,368,42,"0,00%",74,"8,41","5,70%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Valle d'Aosta,87,5586,2093,1668,163,8%,146,116,"-3,90%",17,"13,55","0,00%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Veneto,2972,108938,64306,1310,2353,4%,2079,42,"5,00%",274,"5,58","3,00%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18
Abruzzo,649,21842,14862,1138,732,5%,658,50,"6,00%",74,"5,67","13,80%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Basilicata,271,5883,4762,855,175,4%,147,26,"2,10%",28,"5,03","0,00%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Calabria,506,12512,8978,466,442,5%,395,21,"1,80%",47,"2,44","2,20%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Campania,3334,125276,96186,1662,2481,3%,2287,40,"1,20%",194,"3,35","-3,00%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Emilia-Romagna,2160,97814,61009,1366,2733,4%,2489,56,"1,60%",244,"5,46","0,00%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Friuli Venezia Giulia,1197,21922,11645,961,533,5%,485,40,"3,20%",48,"3,96","-2,00%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Lazio,2697,94782,75541,1288,3432,5%,3103,53,"1,50%",329,"5,61","3,50%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Liguria,792,45994,17027,1103,1438,8%,1319,85,"-3,80%",119,"7,71","0,80%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Lombardia,7453,348442,155580,1540,9206,6%,8291,82,"-0,40%",915,"9,06","1,30%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Marche,667,25101,14856,978,604,4%,526,35,"-0,20%",78,"5,14","-1,30%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Molise,154,3520,2199,728,74,3%,66,22,"13,80%",8,"2,65","14,30%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
P.A. Bolzano,696,19381,11204,2106,508,5%,469,88,"-2,50%",39,"7,33","0,00%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
P.A. Trento,266,13527,2986,550,446,15%,407,75,"2,30%",39,"7,19","2,60%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Piemonte,5349,140177,77237,1779,5537,7%,5147,119,"-1,20%",390,"8,98","0,50%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Puglia,1263,39347,28500,711,1524,5%,1324,33,"0,30%",200,"4,99","1,00%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Sardegna,479,16997,11392,699,584,5%,517,32,"2,40%",67,"4,11","6,30%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Sicilia,1871,48399,33581,676,1772,5%,1532,31,"0,30%",240,"4,83","0,00%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Toscana,1972,88677,54124,1454,2101,4%,1814,49,"0,50%",287,"7,71","1,80%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Umbria,556,20567,11385,1293,444,4%,369,42,"0,30%",75,"8,52","1,40%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Valle d'Aosta,91,5677,2035,1622,156,8%,144,115,"-1,40%",12,"9,56","-29,40%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Veneto,3753,112691,66582,1357,2400,4%,2121,43,"2,00%",279,"5,68","1,80%",Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19
Abruzzo,705,22547,15378,1178,736,5%,661,51,"0,50%",75,"5,74","1,40%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Basilicata,219,6102,4943,888,181,4%,154,28,"4,80%",27,"4,85","-3,60%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Calabria,515,13027,9367,487,461,5%,415,22,"5,10%",46,"2,39","-2,10%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Campania,4226,129502,98992,1711,2445,2%,2244,39,"-1,90%",201,"3,47","3,60%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Emilia-Romagna,2533,100344,62934,1409,2778,4%,2534,57,"1,80%",244,"5,46","0,00%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Friuli Venezia Giulia,1018,22940,12175,1005,559,5%,505,42,"4,10%",54,"4,46","12,50%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Lazio,2667,97449,77746,1325,3539,5%,3202,55,"3,20%",337,"5,75","2,40%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Liguria,761,46755,15954,1034,1410,9%,1290,84,"-2,20%",120,"7,78","0,80%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Lombardia,9221,357663,159641,1580,9234,6%,8304,82,"0,20%",930,"9,20","1,60%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Marche,512,25613,14977,986,623,4%,542,36,"3,00%",81,"5,33","3,80%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Molise,139,3659,2171,718,60,3%,52,17,"-21,20%",8,"2,65","0,00%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
P.A. Bolzano,736,20117,11511,2163,506,4%,468,88,"-0,20%",38,"7,14","-2,60%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
P.A. Trento,234,13761,3004,553,455,15%,417,77,"2,50%",38,"7,00","-2,60%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Piemonte,3861,144038,76545,1763,5618,7%,5225,120,"1,50%",393,"9,05","0,80%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Puglia,1456,40803,29434,734,1610,5%,1408,35,"6,30%",202,"5,04","1,00%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Sardegna,581,17578,11644,714,595,5%,526,32,"1,70%",69,"4,23","3,00%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Sicilia,1634,50033,34756,700,1779,5%,1537,31,"0,30%",242,"4,87","0,80%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Toscana,2207,90884,53869,1447,2087,4%,1792,48,"-1,20%",295,"7,92","2,80%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Umbria,394,20961,11368,1291,434,4%,363,41,"-1,60%",71,"8,07","-5,30%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Valle d'Aosta,155,5832,2080,1657,158,8%,148,118,"2,80%",10,"7,97","-16,70%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Veneto,3468,116159,68687,1400,2437,4%,2170,44,"2,30%",267,"5,44","-4,30%",Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,2020-11-20
Abruzzo,541,23088,15597,1194,749,5%,676,52,"2,30%",73,"5,59","-2,70%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Basilicata,260,6362,5170,928,181,4%,157,28,"1,90%",24,"4,31","-11,10%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Calabria,425,13452,9788,509,471,5%,426,22,"2,70%",45,"2,34","-2,20%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Campania,3554,133056,101135,1748,2458,2%,2260,39,"0,70%",198,"3,42","-1,50%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Emilia-Romagna,2723,103064,65080,1457,2835,4%,2594,58,"2,40%",241,"5,39","-1,20%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Friuli Venezia Giulia,1043,23983,12757,1053,564,4%,509,42,"0,80%",55,"4,54","1,90%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Lazio,2658,100107,79876,1362,3594,4%,3257,56,"1,70%",337,"5,75","0,00%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Liguria,761,47516,15873,1029,1360,9%,1241,80,"-3,80%",119,"7,71","-0,80%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Lombardia,8853,366516,162685,1610,9250,6%,8314,82,"0,10%",936,"9,26","0,60%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Marche,452,26065,15122,996,630,4%,544,36,"0,40%",86,"5,66","6,20%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Molise,157,3816,2308,764,60,3%,51,17,"-1,90%",9,"2,98","12,50%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
P.A. Bolzano,548,20665,11675,2194,489,4%,450,85,"-3,80%",39,"7,33","2,60%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
P.A. Trento,212,13973,2702,498,453,17%,413,76,"-1,00%",40,"7,37","5,30%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Piemonte,2896,146934,76092,1753,5540,7%,5150,119,"-1,40%",390,"8,98","-0,80%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Puglia,1377,42180,30420,759,1629,5%,1432,36,"1,70%",197,"4,91","-2,50%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Sardegna,511,18089,11914,731,574,5%,504,31,"-4,20%",70,"4,29","1,40%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Sicilia,1838,51871,36241,729,1810,5%,1568,32,"2,00%",242,"4,87","0,00%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Toscana,1892,92776,53140,1427,2094,4%,1798,48,"0,30%",296,"7,95","0,30%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Umbria,408,21369,11423,1298,445,4%,370,42,"1,90%",75,"8,52","5,60%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Valle d'Aosta,91,5923,2001,1594,160,8%,149,119,"0,70%",11,"8,76","10,00%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Veneto,3567,119726,70747,1442,2475,3%,2200,45,"1,40%",275,"5,60","3,00%",Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,2020-11-21
Abruzzo,560,23648,16131,1235,736,5%,664,51,"-1,80%",72,"5,51","-1,40%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Basilicata,208,6570,5332,957,179,3%,156,28,"-0,60%",23,"4,13","-4,20%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Calabria,444,13896,10058,523,480,5%,433,22,"1,60%",47,"2,44","4,40%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Campania,3217,136273,103481,1789,2419,2%,2218,38,"-1,90%",201,"3,47","1,50%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Emilia-Romagna,2665,105729,67274,1506,2915,4%,2666,60,"2,80%",249,"5,57","3,30%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Friuli Venezia Giulia,675,24658,13051,1077,601,5%,545,45,"7,10%",56,"4,62","1,80%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Lazio,2533,102640,82053,1399,3637,4%,3298,56,"1,30%",339,"5,78","0,60%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Liguria,611,48127,15878,1029,1375,9%,1253,81,"1,00%",122,"7,91","2,50%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Lombardia,5094,371610,164406,1627,9340,6%,8391,83,"0,90%",949,"9,39","1,40%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Marche,529,26594,15367,1012,630,4%,542,36,"-0,40%",88,"5,80","2,30%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Molise,93,3909,2370,784,62,3%,51,17,"0,00%",11,"3,64","22,20%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
P.A. Bolzano,535,21200,11624,2185,491,4%,453,85,"0,70%",38,"7,14","-2,60%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
P.A. Trento,159,14132,2542,468,461,18%,420,77,"1,70%",41,"7,55","2,50%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Piemonte,2641,149575,77012,1774,5530,7%,5132,118,"-0,30%",398,"9,17","2,10%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Puglia,1327,43507,31352,782,1637,5%,1449,36,"1,20%",188,"4,69","-4,60%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Sardegna,404,18493,12183,747,573,5%,503,31,"-0,20%",70,"4,29","0,00%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Sicilia,1258,53129,37162,748,1838,5%,1597,32,"1,80%",241,"4,85","-0,40%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Toscana,1929,94705,52724,1416,2083,4%,1785,48,"-0,70%",298,"8,00","0,70%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Umbria,400,21769,11572,1315,443,4%,368,42,"-0,50%",75,"8,52","0,00%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Valle d'Aosta,99,6022,1919,1529,158,8%,144,115,"-3,40%",14,"11,16","27,30%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Veneto,2956,122682,72456,1476,2492,3%,2211,45,"0,50%",281,"5,73","2,20%",Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,2020-11-22
Abruzzo,640,24288,16349,1252,743,5%,672,51,"1,20%",71,"5,44","-1,40%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Basilicata,58,6628,5372,965,180,3%,157,28,"0,60%",23,"4,13","0,00%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Calabria,321,14217,10146,527,482,5%,435,23,"0,50%",47,"2,44","0,00%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Campania,2158,138431,103509,1789,2532,2%,2331,40,"5,10%",201,"3,47","0,00%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Emilia-Romagna,2347,108073,69380,1553,2986,4%,2738,61,"2,70%",248,"5,55","-0,40%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Friuli Venezia Giulia,377,25035,13205,1090,620,5%,565,47,"3,70%",55,"4,54","-1,80%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Lazio,2341,104981,83889,1430,3686,4%,3351,57,"1,60%",335,"5,71","-1,20%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Liguria,285,48412,15321,993,1370,9%,1248,81,"-0,40%",122,"7,91","0,00%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Lombardia,5289,376899,149918,1484,9276,6%,8331,82,"-0,70%",945,"9,35","-0,40%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Marche,161,26755,15462,1018,640,4%,550,36,"1,50%",90,"5,93","2,30%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Molise,91,4000,2408,797,67,3%,57,19,"11,80%",10,"3,31","-9,10%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
P.A. Bolzano,260,21460,11615,2183,511,4%,473,89,"4,40%",38,"7,14","0,00%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
P.A. Trento,93,14225,2518,464,476,19%,433,80,"3,10%",43,"7,92","4,90%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Piemonte,1730,151305,76923,1772,5511,7%,5112,118,"-0,40%",399,"9,19","0,30%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
