Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte,name,rows,cols,id,classes
Toscana,1408,5033,245,601,18,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,,,,,
Umbria,366,860,72,139,2,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,,,,,
Valle d'Aosta,22,227,2,20,12,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,,,,,
Veneto,1409,6000,215,1000,0,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,,,,,
Abruzzo,670,1495,89,215,0,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Basilicata,158,423,14,88,13,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Calabria,315,917,33,152,25,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Campania,1620,4219,171,620,36,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Emilia-Romagna,3702,6498,390,760,0,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Friuli Venezia Giulia,611,1277,82,175,0,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Lazio,2678,6421,341,943,193,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Liguria,602,1789,58,222,12,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Lombardia,6952,13496,822,1416,114,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Marche,768,1176,152,248,16,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Molise,94,221,19,39,0,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
P.A. Bolzano,128,504,30,100,0,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
P.A. Trento,211,594,53,90,15,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Piemonte,3536,5824,349,628,99,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Puglia,1712,3671,223,569,80,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Sardegna,185,1602,22,208,35,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Sicilia,783,3879,123,834,196,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Toscana,1461,5033,245,601,18,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Umbria,388,860,73,139,2,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Valle d'Aosta,23,227,2,20,12,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Veneto,1452,6000,219,1000,0,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,,,,,
Abruzzo,657,1495,87,215,0,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Basilicata,159,423,13,88,13,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Calabria,323,917,33,152,25,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Campania,1598,4219,178,620,36,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Emilia-Romagna,3659,6498,395,760,0,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Friuli Venezia Giulia,620,1277,83,175,0,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Lazio,2683,6421,346,943,193,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Liguria,604,1789,65,222,12,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Lombardia,7165,13534,836,1416,114,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Marche,799,1255,146,238,16,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Molise,91,221,17,39,0,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
P.A. Bolzano,120,504,30,100,0,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
P.A. Trento,205,594,52,90,15,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Piemonte,3572,5824,347,628,99,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Puglia,1787,3673,224,569,80,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Sardegna,172,1602,24,208,35,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Sicilia,814,3881,121,834,196,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Toscana,1486,5033,243,607,19,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Umbria,383,860,67,139,2,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Valle d'Aosta,26,227,3,20,12,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Veneto,1505,6000,236,1000,0,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,,,,,
Abruzzo,635,1495,82,215,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Basilicata,148,423,14,88,13,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Calabria,326,911,33,152,25,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Campania,1587,4221,179,620,36,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Emilia-Romagna,3614,6505,397,760,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Friuli Venezia Giulia,634,1277,80,175,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Lazio,2724,6421,350,943,193,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Liguria,597,1789,63,222,12,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Lombardia,7178,13524,845,1416,114,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Marche,803,1360,156,250,16,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Molise,89,221,17,39,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
P.A. Bolzano,115,488,31,100,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
P.A. Trento,208,594,47,90,15,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Piemonte,3608,5824,354,628,99,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Puglia,1761,3716,227,569,80,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Sardegna,173,1602,26,208,35,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Sicilia,812,3879,119,834,196,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Toscana,1488,5033,253,618,19,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Umbria,382,860,66,139,2,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Valle d'Aosta,27,227,3,20,12,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Veneto,1529,6000,246,1000,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,,,,,
Abruzzo,621,1495,79,215,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Basilicata,156,423,15,88,13,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Calabria,331,911,34,152,25,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Campania,1576,4221,184,620,36,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Emilia-Romagna,3557,6505,402,760,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Friuli Venezia Giulia,645,1277,78,175,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Lazio,2763,6421,355,943,193,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Liguria,589,1785,65,222,12,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Lombardia,7132,13549,845,1416,114,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Marche,804,1360,157,250,16,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Molise,87,221,16,39,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
P.A. Bolzano,106,488,31,100,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
P.A. Trento,203,594,45,90,15,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Piemonte,3677,5824,357,628,99,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Puglia,1762,3718,231,569,80,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Sardegna,173,1602,27,208,35,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Sicilia,813,3879,118,834,196,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Toscana,1470,5033,257,618,19,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Umbria,375,860,63,139,2,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Valle d'Aosta,28,227,5,20,12,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Veneto,1556,6000,256,1000,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,,,,,
Abruzzo,615,1495,85,215,0,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Basilicata,157,428,15,88,13,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Calabria,340,913,35,152,25,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Campania,1586,4221,181,620,36,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Emilia-Romagna,3515,6515,399,760,0,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Friuli Venezia Giulia,650,1277,78,175,0,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Lazio,2792,6421,360,943,193,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Liguria,605,1785,67,222,12,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Lombardia,7111,13610,848,1416,114,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Marche,807,1360,152,250,16,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Molise,77,221,17,39,0,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
P.A. Bolzano,108,504,29,100,0,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
P.A. Trento,194,594,44,90,15,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Piemonte,3759,5824,358,628,99,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Puglia,1766,3714,231,569,80,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Sardegna,170,1602,30,208,35,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Sicilia,799,3883,121,834,196,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Toscana,1473,5033,257,618,17,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Umbria,376,860,57,139,2,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Valle d'Aosta,24,227,7,30,6,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Veneto,1548,6000,257,1000,0,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,,,,,
Abruzzo,623,1495,83,215,0,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Basilicata,157,428,14,88,13,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Calabria,361,913,37,152,25,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Campania,1594,4221,168,620,36,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Emilia-Romagna,3467,6515,400,760,0,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Friuli Venezia Giulia,645,1277,82,175,0,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Lazio,2872,6421,364,943,193,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Liguria,619,1785,66,222,12,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Lombardia,7124,13623,852,1416,114,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Marche,812,1360,148,250,16,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Molise,74,221,17,39,0,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
P.A. Bolzano,94,504,27,100,0,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
P.A. Trento,203,594,44,90,15,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Piemonte,3767,5824,360,628,99,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Puglia,1774,3714,231,569,80,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Sardegna,177,1602,32,208,35,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Sicilia,813,3882,127,834,196,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Toscana,1496,5033,264,620,15,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Umbria,372,860,57,139,2,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Valle d'Aosta,32,227,8,30,6,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Veneto,1545,6000,254,1000,0,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,,,,,
Abruzzo,613,1495,77,215,0,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Basilicata,158,428,13,88,13,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Calabria,377,913,36,152,25,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Campania,1592,4221,165,620,36,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Emilia-Romagna,3442,6515,401,760,0,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Friuli Venezia Giulia,662,1277,84,175,0,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Lazio,2881,6421,370,943,193,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Liguria,636,1791,67,222,12,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Lombardia,7069,13602,868,1416,114,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Marche,806,1360,147,250,16,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Molise,73,221,16,39,0,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
P.A. Bolzano,94,469,25,100,0,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
P.A. Trento,206,594,45,90,15,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Piemonte,3776,5824,369,628,99,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Puglia,1800,3739,238,570,80,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Sardegna,189,1602,30,208,35,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Sicilia,844,3885,129,834,196,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Toscana,1505,5033,264,620,17,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Umbria,365,860,60,139,2,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Valle d'Aosta,37,227,8,30,6,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Veneto,1576,6000,267,1000,0,Dati della Protezione Civile del 28 Marzo 2021 ore 18:37,,,,,
Abruzzo,620,1495,78,215,0,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Basilicata,168,428,12,88,13,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Calabria,389,917,36,152,25,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Campania,1601,4223,169,620,36,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Emilia-Romagna,3540,6515,398,760,0,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Friuli Venezia Giulia,680,1277,86,175,0,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Lazio,3013,6421,380,943,193,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Liguria,641,1797,72,222,12,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Lombardia,6994,13697,870,1416,114,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Marche,807,1360,151,250,16,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Molise,72,221,15,39,0,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
P.A. Bolzano,98,467,23,100,0,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
P.A. Trento,217,594,46,90,15,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Piemonte,3837,5824,364,628,99,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Puglia,1852,3739,248,570,80,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Sardegna,200,1602,31,208,35,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Sicilia,876,3888,133,834,196,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Toscana,1532,5033,262,620,17,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Umbria,372,860,60,139,2,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Valle d'Aosta,38,227,9,30,6,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Veneto,1616,6000,278,1000,0,Dati della Protezione Civile del 29 Marzo 2021 ore 18:28,,,,,
Abruzzo,622,1495,69,215,0,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Basilicata,155,428,13,88,13,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Calabria,383,913,37,152,25,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Campania,1587,4221,163,620,36,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Emilia-Romagna,3486,6515,392,760,0,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Friuli Venezia Giulia,671,1277,80,175,0,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Lazio,3029,6421,379,943,193,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Liguria,639,1785,70,222,12,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Lombardia,7109,13610,862,1416,114,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Marche,807,1360,150,250,16,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Molise,66,221,16,39,0,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
P.A. Bolzano,99,504,20,100,0,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
P.A. Trento,204,594,48,90,15,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Piemonte,3855,5824,369,628,99,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Puglia,1863,3714,264,569,80,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Sardegna,210,1602,33,208,35,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Sicilia,876,3883,133,834,196,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Toscana,1542,5033,265,618,17,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Umbria,354,860,60,139,2,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Valle d'Aosta,45,227,8,30,6,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Veneto,1629,6000,285,1000,0,Dati della Protezione Civile del 30 Marzo 2021 ore 18:42,,,,,
Abruzzo,607,1495,68,215,0,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Basilicata,170,440,14,88,13,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Calabria,389,919,36,152,25,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Campania,1587,4370,160,620,36,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Emilia-Romagna,3427,6515,390,760,0,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Friuli Venezia Giulia,664,1277,82,175,0,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Lazio,3044,6421,371,943,193,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Liguria,642,1801,68,226,12,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Lombardia,7033,13692,863,1416,114,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Marche,803,1356,146,250,16,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Molise,63,221,16,39,0,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
P.A. Bolzano,90,461,20,100,0,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
P.A. Trento,201,594,51,90,15,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Piemonte,3873,5824,376,628,99,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Puglia,1840,3754,260,580,80,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Sardegna,222,1602,34,208,35,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Sicilia,891,3891,140,834,196,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Toscana,1560,5033,265,622,17,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Umbria,349,860,60,139,2,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Valle d'Aosta,49,227,8,30,6,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Veneto,1676,6000,282,1000,0,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46,,,,,
Abruzzo,577,1495,69,215,0,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Basilicata,178,440,12,88,13,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Calabria,406,932,36,152,25,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Campania,1558,4341,155,620,36,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Emilia-Romagna,3299,6515,371,760,0,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Friuli Venezia Giulia,634,1277,81,175,0,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Lazio,3068,6421,376,943,193,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Liguria,650,1841,72,226,12,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Lombardia,6703,13720,857,1416,114,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Marche,793,1376,142,250,16,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Molise,57,221,16,39,0,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
P.A. Bolzano,72,455,18,100,0,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
P.A. Trento,189,594,51,90,15,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Piemonte,3864,5824,378,628,99,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Puglia,1879,3762,263,580,80,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Sardegna,244,1602,35,208,35,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Sicilia,898,3894,150,834,196,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Toscana,1587,5033,274,625,15,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Umbria,326,841,54,139,2,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Valle d'Aosta,56,227,10,30,6,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Veneto,1666,6000,284,1000,0,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20,,,,,
Abruzzo,573,1495,71,215,0,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Basilicata,175,442,12,88,13,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Calabria,420,932,38,152,25,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Campania,1567,4350,152,620,36,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Emilia-Romagna,3181,6515,366,760,0,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Friuli Venezia Giulia,596,1277,78,175,0,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Lazio,3077,6421,392,943,193,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Liguria,652,1841,78,226,12,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Lombardia,6660,13693,862,1416,114,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Marche,785,1386,140,250,16,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Molise,55,221,14,39,0,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
P.A. Bolzano,69,478,16,100,0,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
P.A. Trento,179,594,51,90,15,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Piemonte,3819,5824,369,628,99,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Puglia,1897,3762,256,580,80,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Sardegna,255,1602,38,208,35,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Sicilia,902,3893,152,834,196,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Toscana,1603,5033,278,626,18,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Umbria,317,844,53,132,2,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Valle d'Aosta,55,227,12,30,6,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Veneto,1652,6000,286,1000,0,Dati della Protezione Civile del 03 Aprile 2021 ore 18:35,,,,,
Abruzzo,585,1495,69,215,0,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Basilicata,173,442,12,88,13,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Calabria,429,932,37,152,25,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Campania,1509,4292,153,620,36,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Emilia-Romagna,3117,6515,360,760,0,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Friuli Venezia Giulia,582,1277,82,175,0,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Lazio,3071,6421,391,943,193,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Liguria,680,1841,76,226,12,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
