codice_regione,data,codice_nuts_2,denominazione_regione,soglia250
05,2020-03-06T17:00:00,ITH3,Veneto,7
13,2020-03-07T18:00:00,ITF1,Abruzzo,1
17,2020-03-07T18:00:00,ITF5,Basilicata,1
18,2020-03-07T18:00:00,ITF6,Calabria,0
15,2020-03-07T18:00:00,ITF3,Campania,1
08,2020-03-07T18:00:00,ITH5,Emilia-Romagna,18
06,2020-03-07T18:00:00,ITH4,Friuli Venezia Giulia,3
12,2020-03-07T18:00:00,ITI4,Lazio,1
07,2020-03-07T18:00:00,ITC3,Liguria,1
03,2020-03-07T18:00:00,ITC4,Lombardia,28
11,2020-03-07T18:00:00,ITI3,Marche,13
14,2020-03-07T18:00:00,ITF2,Molise,5
21,2020-03-07T18:00:00,ITH1,P.A. Bolzano,2
22,2020-03-07T18:00:00,ITH2,P.A. Trento,3
01,2020-03-07T18:00:00,ITC1,Piemonte,5
16,2020-03-07T18:00:00,ITF4,Puglia,1
20,2020-03-07T18:00:00,ITG2,Sardegna,0
19,2020-03-07T18:00:00,ITG1,Sicilia,1
09,2020-03-07T18:00:00,ITI1,Toscana,3
10,2020-03-07T18:00:00,ITI2,Umbria,3
02,2020-03-07T18:00:00,ITC2,Valle d'Aosta,6
05,2020-03-07T18:00:00,ITH3,Veneto,7
13,2020-03-08T18:00:00,ITF1,Abruzzo,1
17,2020-03-08T18:00:00,ITF5,Basilicata,1
18,2020-03-08T18:00:00,ITF6,Calabria,0
15,2020-03-08T18:00:00,ITF3,Campania,1
08,2020-03-08T18:00:00,ITH5,Emilia-Romagna,20
06,2020-03-08T18:00:00,ITH4,Friuli Venezia Giulia,4
12,2020-03-08T18:00:00,ITI4,Lazio,1
07,2020-03-08T18:00:00,ITC3,Liguria,3
03,2020-03-08T18:00:00,ITC4,Lombardia,32
11,2020-03-08T18:00:00,ITI3,Marche,16
14,2020-03-08T18:00:00,ITF2,Molise,5
21,2020-03-08T18:00:00,ITH1,P.A. Bolzano,2
22,2020-03-08T18:00:00,ITH2,P.A. Trento,4
01,2020-03-08T18:00:00,ITC1,Piemonte,7
16,2020-03-08T18:00:00,ITF4,Puglia,1
20,2020-03-08T18:00:00,ITG2,Sardegna,1
19,2020-03-08T18:00:00,ITG1,Sicilia,1
09,2020-03-08T18:00:00,ITI1,Toscana,4
10,2020-03-08T18:00:00,ITI2,Umbria,3
02,2020-03-08T18:00:00,ITC2,Valle d'Aosta,7
05,2020-03-08T18:00:00,ITH3,Veneto,8
13,2020-03-09T18:00:00,ITF1,Abruzzo,2
17,2020-03-09T18:00:00,ITF5,Basilicata,1
18,2020-03-09T18:00:00,ITF6,Calabria,1
15,2020-03-09T18:00:00,ITF3,Campania,2
08,2020-03-09T18:00:00,ITH5,Emilia-Romagna,24
06,2020-03-09T18:00:00,ITH4,Friuli Venezia Giulia,7
12,2020-03-09T18:00:00,ITI4,Lazio,2
07,2020-03-09T18:00:00,ITC3,Liguria,6
03,2020-03-09T18:00:00,ITC4,Lombardia,42
11,2020-03-09T18:00:00,ITI3,Marche,19
14,2020-03-09T18:00:00,ITF2,Molise,5
21,2020-03-09T18:00:00,ITH1,P.A. Bolzano,2
22,2020-03-09T18:00:00,ITH2,P.A. Trento,6
01,2020-03-09T18:00:00,ITC1,Piemonte,7
16,2020-03-09T18:00:00,ITF4,Puglia,1
20,2020-03-09T18:00:00,ITG2,Sardegna,1
19,2020-03-09T18:00:00,ITG1,Sicilia,1
09,2020-03-09T18:00:00,ITI1,Toscana,5
10,2020-03-09T18:00:00,ITI2,Umbria,3
02,2020-03-09T18:00:00,ITC2,Valle d'Aosta,12
05,2020-03-09T18:00:00,ITH3,Veneto,10
13,2020-03-10T18:00:00,ITF1,Abruzzo,2
17,2020-03-10T18:00:00,ITF5,Basilicata,1
18,2020-03-10T18:00:00,ITF6,Calabria,1
15,2020-03-10T18:00:00,ITF3,Campania,2
08,2020-03-10T18:00:00,ITH5,Emilia-Romagna,25
06,2020-03-10T18:00:00,ITH4,Friuli Venezia Giulia,9
12,2020-03-10T18:00:00,ITI4,Lazio,2
07,2020-03-10T18:00:00,ITC3,Liguria,8
03,2020-03-10T18:00:00,ITC4,Lombardia,43
11,2020-03-10T18:00:00,ITI3,Marche,22
14,2020-03-10T18:00:00,ITF2,Molise,4
21,2020-03-10T18:00:00,ITH1,P.A. Bolzano,7
22,2020-03-10T18:00:00,ITH2,P.A. Trento,9
01,2020-03-10T18:00:00,ITC1,Piemonte,9
16,2020-03-10T18:00:00,ITF4,Puglia,1
20,2020-03-10T18:00:00,ITG2,Sardegna,1
19,2020-03-10T18:00:00,ITG1,Sicilia,1
09,2020-03-10T18:00:00,ITI1,Toscana,7
10,2020-03-10T18:00:00,ITI2,Umbria,3
02,2020-03-10T18:00:00,ITC2,Valle d'Aosta,14
05,2020-03-10T18:00:00,ITH3,Veneto,11
13,2020-03-11T17:00:00,ITF1,Abruzzo,2
17,2020-03-11T17:00:00,ITF5,Basilicata,1
18,2020-03-11T17:00:00,ITF6,Calabria,1
15,2020-03-11T17:00:00,ITF3,Campania,2
08,2020-03-11T17:00:00,ITH5,Emilia-Romagna,27
06,2020-03-11T17:00:00,ITH4,Friuli Venezia Giulia,9
12,2020-03-11T17:00:00,ITI4,Lazio,2
07,2020-03-11T17:00:00,ITC3,Liguria,11
03,2020-03-11T17:00:00,ITC4,Lombardia,54
11,2020-03-11T17:00:00,ITI3,Marche,26
14,2020-03-11T17:00:00,ITF2,Molise,4
21,2020-03-11T17:00:00,ITH1,P.A. Bolzano,14
22,2020-03-11T17:00:00,ITH2,P.A. Trento,13
01,2020-03-11T17:00:00,ITC1,Piemonte,10
16,2020-03-11T17:00:00,ITF4,Puglia,2
20,2020-03-11T17:00:00,ITG2,Sardegna,2
19,2020-03-11T17:00:00,ITG1,Sicilia,1
09,2020-03-11T17:00:00,ITI1,Toscana,8
10,2020-03-11T17:00:00,ITI2,Umbria,4
02,2020-03-11T17:00:00,ITC2,Valle d'Aosta,16
05,2020-03-11T17:00:00,ITH3,Veneto,14
13,2020-03-12T17:00:00,ITF1,Abruzzo,6
17,2020-03-12T17:00:00,ITF5,Basilicata,1
18,2020-03-12T17:00:00,ITF6,Calabria,2
15,2020-03-12T17:00:00,ITF3,Campania,2
08,2020-03-12T17:00:00,ITH5,Emilia-Romagna,28
06,2020-03-12T17:00:00,ITH4,Friuli Venezia Giulia,12
12,2020-03-12T17:00:00,ITI4,Lazio,3
07,2020-03-12T17:00:00,ITC3,Liguria,16
03,2020-03-12T17:00:00,ITC4,Lombardia,65
11,2020-03-12T17:00:00,ITI3,Marche,31
14,2020-03-12T17:00:00,ITF2,Molise,3
21,2020-03-12T17:00:00,ITH1,P.A. Bolzano,19
22,2020-03-12T17:00:00,ITH2,P.A. Trento,18
01,2020-03-12T17:00:00,ITC1,Piemonte,11
16,2020-03-12T17:00:00,ITF4,Puglia,2
20,2020-03-12T17:00:00,ITG2,Sardegna,2
19,2020-03-12T17:00:00,ITG1,Sicilia,2
09,2020-03-12T17:00:00,ITI1,Toscana,8
10,2020-03-12T17:00:00,ITI2,Umbria,6
02,2020-03-12T17:00:00,ITC2,Valle d'Aosta,20
05,2020-03-12T17:00:00,ITH3,Veneto,20
13,2020-03-13T17:00:00,ITF1,Abruzzo,6
17,2020-03-13T17:00:00,ITF5,Basilicata,1
18,2020-03-13T17:00:00,ITF6,Calabria,2
15,2020-03-13T17:00:00,ITF3,Campania,3
08,2020-03-13T17:00:00,ITH5,Emilia-Romagna,31
06,2020-03-13T17:00:00,ITH4,Friuli Venezia Giulia,19
12,2020-03-13T17:00:00,ITI4,Lazio,4
07,2020-03-13T17:00:00,ITC3,Liguria,21
03,2020-03-13T17:00:00,ITC4,Lombardia,72
11,2020-03-13T17:00:00,ITI3,Marche,37
14,2020-03-13T17:00:00,ITF2,Molise,2
21,2020-03-13T17:00:00,ITH1,P.A. Bolzano,23
22,2020-03-13T17:00:00,ITH2,P.A. Trento,28
01,2020-03-13T17:00:00,ITC1,Piemonte,16
16,2020-03-13T17:00:00,ITF4,Puglia,3
20,2020-03-13T17:00:00,ITG2,Sardegna,2
19,2020-03-13T17:00:00,ITG1,Sicilia,2
09,2020-03-13T17:00:00,ITI1,Toscana,11
10,2020-03-13T17:00:00,ITI2,Umbria,7
02,2020-03-13T17:00:00,ITC2,Valle d'Aosta,17
05,2020-03-13T17:00:00,ITH3,Veneto,23
13,2020-03-14T17:00:00,ITF1,Abruzzo,8
