data,codice_regione,denominazione_regione,mese,terapia_intensiva_mm,ingressi_terapia_intensiva_mm
2021-01-07T17:00:00,1,Piemonte,1,185.71428571428572,8.857142857142858
2021-01-07T17:00:00,16,Puglia,1,144.0,13.142857142857142
2021-01-07T17:00:00,20,Sardegna,1,44.142857142857146,2.5714285714285716
2021-01-07T17:00:00,19,Sicilia,1,187.42857142857142,15.142857142857142
2021-01-07T17:00:00,9,Toscana,1,143.0,8.285714285714286
2021-01-07T17:00:00,10,Umbria,1,45.285714285714285,2.7142857142857144
2021-01-07T17:00:00,2,Valle d'Aosta,1,1.2857142857142858,0.2857142857142857
2021-01-07T17:00:00,5,Veneto,1,362.85714285714283,23.285714285714285
2021-01-08T17:00:00,13,Abruzzo,1,38.142857142857146,2.5714285714285716
2021-01-08T17:00:00,17,Basilicata,1,3.7142857142857144,0.2857142857142857
2021-01-08T17:00:00,18,Calabria,1,19.714285714285715,2.142857142857143
2021-01-08T17:00:00,15,Campania,1,97.85714285714286,8.857142857142858
2021-01-08T17:00:00,8,Emilia-Romagna,1,235.85714285714286,16.0
2021-01-08T17:00:00,6,Friuli Venezia Giulia,1,62.285714285714285,5.285714285714286
2021-01-08T17:00:00,12,Lazio,1,310.7142857142857,14.714285714285714
2021-01-08T17:00:00,7,Liguria,1,68.42857142857143,3.7142857142857144
2021-01-08T17:00:00,3,Lombardia,1,478.42857142857144,22.714285714285715
2021-01-08T17:00:00,11,Marche,1,66.57142857142857,4.714285714285714
2021-01-08T17:00:00,14,Molise,1,8.857142857142858,0.5714285714285714
2021-01-08T17:00:00,21,P.A. Bolzano,1,25.142857142857142,0.8571428571428571
2021-01-08T17:00:00,22,P.A. Trento,1,44.42857142857143,3.0
2021-01-08T17:00:00,1,Piemonte,1,184.57142857142858,8.857142857142858
2021-01-08T17:00:00,16,Puglia,1,147.71428571428572,16.0
2021-01-08T17:00:00,20,Sardegna,1,45.285714285714285,2.857142857142857
2021-01-08T17:00:00,19,Sicilia,1,190.85714285714286,15.857142857142858
2021-01-08T17:00:00,9,Toscana,1,142.42857142857142,8.142857142857142
2021-01-08T17:00:00,10,Umbria,1,44.857142857142854,2.4285714285714284
2021-01-08T17:00:00,2,Valle d'Aosta,1,1.2857142857142858,0.2857142857142857
2021-01-08T17:00:00,5,Veneto,1,360.7142857142857,24.714285714285715
2021-01-09T17:00:00,13,Abruzzo,1,38.57142857142857,3.142857142857143
2021-01-09T17:00:00,17,Basilicata,1,3.857142857142857,0.42857142857142855
2021-01-09T17:00:00,18,Calabria,1,20.142857142857142,2.0
2021-01-09T17:00:00,15,Campania,1,99.0,9.428571428571429
