datasetIniISO,ITF6,ITF3,ITI4,ITC4,ITF2,ITC1,ITH2,ITF4,ITG2,ITG1,ITC2,ITH3,ITF1,ITF5,ITC3,ITH1,ITI1,ITI2,ITH5,ITH4,ITI3
2020-12-28,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione
2020-12-31,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa
2021-01-04,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione
2021-01-05,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa
2021-01-07,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla
2021-01-09,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione
2021-01-10,arancione,gialla,gialla,arancione,gialla,gialla,gialla,gialla,gialla,arancione,gialla,arancione,gialla,gialla,gialla,gialla,gialla,gialla,arancione,gialla,gialla
2021-01-16,arancione,gialla,gialla,arancione,gialla,gialla,gialla,gialla,gialla,arancione,gialla,arancione,gialla,gialla,gialla,gialla,gialla,gialla,arancione,gialla,gialla
2021-01-17,arancione,gialla,arancione,rossa,gialla,arancione,gialla,arancione,gialla,rossa,arancione,arancione,arancione,gialla,arancione,rossa,gialla,arancione,arancione,arancione,arancione
2021-01-24,arancione,gialla,arancione,arancione,gialla,arancione,gialla,arancione,arancione,rossa,arancione,arancione,arancione,gialla,arancione,rossa,gialla,arancione,arancione,arancione,arancione
2021-02-01,arancione,gialla,gialla,arancione,gialla,gialla,gialla,arancione,arancione,arancione,gialla,arancione,gialla,gialla,gialla,arancione,gialla,arancione,arancione,gialla,gialla
2021-02-11,arancione,gialla,gialla,arancione,gialla,gialla,gialla,gialla,arancione,arancione,gialla,arancione,gialla,gialla,gialla,arancione,gialla,arancione,arancione,gialla,gialla
2021-02-14,arancione,gialla,gialla,arancione,gialla,gialla,arancione,gialla,arancione,arancione,gialla,arancione,arancione,gialla,arancione,arancione,arancione,arancione,arancione,gialla,gialla
2021-02-15,arancione,gialla,gialla,arancione,gialla,gialla,arancione,gialla,arancione,arancione,gialla,arancione,arancione,gialla,arancione,arancione,arancione,arancione,arancione,gialla,gialla
2021-02-21,arancione,arancione,gialla,arancione,arancione,gialla,arancione,gialla,arancione,arancione,gialla,arancione,arancione,gialla,arancione,arancione,arancione,arancione,arancione,gialla,gialla
2021-03-01,arancione,arancione,gialla,arancione,rossa,arancione,arancione,gialla,bianca,arancione,gialla,arancione,arancione,rossa,arancione,arancione,arancione,arancione,arancione,gialla,arancione
2021-03-08,arancione,rossa,gialla,arancione,rossa,arancione,arancione,gialla,bianca,arancione,gialla,arancione,arancione,rossa,arancione,arancione,arancione,arancione,arancione,arancione,arancione
2021-03-15,arancione,rossa,rossa,rossa,rossa,rossa,rossa,rossa,bianca,arancione,arancione,rossa,arancione,rossa,arancione,arancione,arancione,arancione,rossa,rossa,rossa
2021-03-22,arancione,rossa,rossa,rossa,arancione,rossa,rossa,rossa,arancione,arancione,arancione,rossa,arancione,rossa,arancione,arancione,arancione,arancione,rossa,rossa,rossa
2021-03-29,rossa,rossa,rossa,rossa,arancione,rossa,rossa,rossa,arancione,arancione,rossa,rossa,arancione,rossa,arancione,arancione,rossa,arancione,rossa,rossa,rossa
2021-03-30,rossa,rossa,rossa,rossa,arancione,rossa,rossa,rossa,arancione,arancione,rossa,rossa,arancione,rossa,arancione,arancione,rossa,arancione,rossa,rossa,rossa
2021-04-03,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa
2021-04-06,rossa,rossa,arancione,rossa,arancione,rossa,rossa,rossa,arancione,arancione,rossa,rossa,arancione,arancione,arancione,arancione,rossa,arancione,rossa,rossa,arancione
2021-04-07,rossa,rossa,arancione,rossa,arancione,rossa,arancione,rossa,arancione,arancione,rossa,arancione,arancione,arancione,arancione,arancione,rossa,arancione,rossa,rossa,arancione
2021-04-12,arancione,rossa,arancione,arancione,arancione,arancione,arancione,rossa,rossa,arancione,rossa,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione
2021-04-19,arancione,arancione,arancione,arancione,arancione,arancione,arancione,rossa,rossa,arancione,rossa,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione
2021-04-26,arancione,gialla,gialla,gialla,gialla,gialla,gialla,arancione,rossa,arancione,arancione,gialla,gialla,arancione,gialla,gialla,gialla,gialla,gialla,gialla,gialla
2021-05-03,arancione,gialla,gialla,gialla,gialla,gialla,gialla,arancione,arancione,arancione,rossa,gialla,gialla,arancione,gialla,gialla,gialla,gialla,gialla,gialla,gialla
2021-05-10,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,arancione,arancione,arancione,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla
2021-05-17,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,arancione,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla
2021-05-24,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla
2021-05-31,gialla,gialla,gialla,gialla,bianca,gialla,gialla,gialla,bianca,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,bianca,gialla
2021-06-07,gialla,gialla,gialla,gialla,bianca,gialla,gialla,gialla,bianca,gialla,gialla,bianca,bianca,gialla,bianca,gialla,gialla,bianca,gialla,bianca,gialla
2021-06-14,gialla,gialla,bianca,bianca,bianca,bianca,bianca,bianca,bianca,gialla,gialla,bianca,bianca,gialla,bianca,gialla,gialla,bianca,bianca,bianca,gialla
2021-06-21,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,gialla,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca
2021-06-28,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca
2021-08-03,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca,bianca
