datasetIniISO,NUTS_code,zona
2020-12-28,ITF1,arancione
2020-12-28,ITF5,arancione
2020-12-28,ITC3,arancione
2020-12-28,ITH1,arancione
2020-12-28,ITI1,arancione
2020-12-28,ITI2,arancione
2020-12-28,ITH5,arancione
2020-12-28,ITH4,arancione
2020-12-28,ITI3,arancione
2020-12-31,ITF6,rossa
2020-12-31,ITF3,rossa
2020-12-31,ITI4,rossa
2020-12-31,ITC4,rossa
2020-12-31,ITF2,rossa
2020-12-31,ITC1,rossa
2020-12-31,ITH2,rossa
2020-12-31,ITF4,rossa
2020-12-31,ITG2,rossa
2020-12-31,ITG1,rossa
2020-12-31,ITC2,rossa
2020-12-31,ITH3,rossa
2020-12-31,ITF1,rossa
2020-12-31,ITF5,rossa
2020-12-31,ITC3,rossa
2020-12-31,ITH1,rossa
2020-12-31,ITI1,rossa
2020-12-31,ITI2,rossa
2020-12-31,ITH5,rossa
2020-12-31,ITH4,rossa
2020-12-31,ITI3,rossa
2021-01-04,ITF6,arancione
2021-01-04,ITF3,arancione
2021-01-04,ITI4,arancione
2021-01-04,ITC4,arancione
2021-01-04,ITF2,arancione
2021-01-04,ITC1,arancione
2021-01-04,ITH2,arancione
2021-01-04,ITF4,arancione
2021-01-04,ITG2,arancione
2021-01-04,ITG1,arancione
2021-01-04,ITC2,arancione
2021-01-04,ITH3,arancione
2021-01-04,ITF1,arancione
2021-01-04,ITF5,arancione
2021-01-04,ITC3,arancione
2021-01-04,ITH1,arancione
2021-01-04,ITI1,arancione
2021-01-04,ITI2,arancione
2021-01-04,ITH5,arancione
2021-01-04,ITH4,arancione
2021-01-04,ITI3,arancione
2021-01-05,ITF6,rossa
2021-01-05,ITF3,rossa
2021-01-05,ITI4,rossa
2021-01-05,ITC4,rossa
2021-01-05,ITF2,rossa
2021-01-05,ITC1,rossa
2021-01-05,ITH2,rossa
2021-01-05,ITF4,rossa
2021-01-05,ITG2,rossa
2021-01-05,ITG1,rossa
2021-01-05,ITC2,rossa
2021-01-05,ITH3,rossa
2021-01-05,ITF1,rossa
2021-01-05,ITF5,rossa
2021-01-05,ITC3,rossa
2021-01-05,ITH1,rossa
2021-01-05,ITI1,rossa
2021-01-05,ITI2,rossa
2021-01-05,ITH5,rossa
2021-01-05,ITH4,rossa
2021-01-05,ITI3,rossa
2021-01-07,ITF6,gialla
2021-01-07,ITF3,gialla
2021-01-07,ITI4,gialla
2021-01-07,ITC4,gialla
2021-01-07,ITF2,gialla
2021-01-07,ITC1,gialla
2021-01-07,ITH2,gialla
2021-01-07,ITF4,gialla
2021-01-07,ITG2,gialla
2021-01-07,ITG1,gialla
2021-01-07,ITC2,gialla
2021-01-07,ITH3,gialla
2021-01-07,ITF1,gialla
2021-01-07,ITF5,gialla
2021-01-07,ITC3,gialla
2021-01-07,ITH1,gialla
2021-01-07,ITI1,gialla
2021-01-07,ITI2,gialla
2021-01-07,ITH5,gialla
2021-01-07,ITH4,gialla
2021-01-07,ITI3,gialla
2021-01-09,ITF6,arancione
2021-01-09,ITF3,arancione
2021-01-09,ITI4,arancione
2021-01-09,ITC4,arancione
2021-01-09,ITF2,arancione
2021-01-09,ITC1,arancione
2021-01-09,ITH2,arancione
2021-01-09,ITF4,arancione
2021-01-09,ITG2,arancione
2021-01-09,ITG1,arancione
2021-01-09,ITC2,arancione
2021-01-09,ITH3,arancione
2021-01-09,ITF1,arancione
2021-01-09,ITF5,arancione
2021-01-09,ITC3,arancione
2021-01-09,ITH1,arancione
2021-01-09,ITI1,arancione
2021-01-09,ITI2,arancione
2021-01-09,ITH5,arancione
2021-01-09,ITH4,arancione
2021-01-09,ITI3,arancione
2021-01-10,ITF6,arancione
2021-01-10,ITF3,gialla
2021-01-10,ITI4,gialla
2021-01-10,ITC4,arancione
2021-01-10,ITF2,gialla
2021-01-10,ITC1,gialla
2021-01-10,ITH2,gialla
2021-01-10,ITF4,gialla
2021-01-10,ITG2,gialla
2021-01-10,ITG1,arancione
2021-01-10,ITC2,gialla
2021-01-10,ITH3,arancione
2021-01-10,ITF1,gialla
2021-01-10,ITF5,gialla
2021-01-10,ITC3,gialla
2021-01-10,ITH1,gialla
2021-01-10,ITI1,gialla
2021-01-10,ITI2,gialla
2021-01-10,ITH5,arancione
2021-01-10,ITH4,gialla
2021-01-10,ITI3,gialla
2021-01-16,ITF6,arancione
2021-01-16,ITF3,gialla
2021-01-16,ITF2,gialla
2021-01-16,ITH2,gialla
2021-01-16,ITG2,gialla
2021-01-16,ITH3,arancione
2021-01-16,ITF5,gialla
2021-01-16,ITI1,gialla
2021-01-16,ITH5,arancione
2021-01-17,ITI4,arancione
2021-01-17,ITC4,rossa
2021-01-17,ITC1,arancione
2021-01-17,ITF4,arancione
2021-01-17,ITG1,rossa
2021-01-17,ITC2,arancione
2021-01-17,ITF1,arancione
2021-01-17,ITC3,arancione
2021-01-17,ITH1,rossa
2021-01-17,ITI2,arancione
2021-01-17,ITH4,arancione
2021-01-17,ITI3,arancione
2021-01-24,ITF6,arancione
2021-01-24,ITC4,arancione
2021-01-24,ITG2,arancione
2021-01-24,ITH3,arancione
2021-01-24,ITH5,arancione
2021-02-01,ITI4,gialla
2021-02-01,ITC1,gialla
2021-02-01,ITF4,arancione
2021-02-01,ITG1,arancione
2021-02-01,ITC2,gialla
2021-02-01,ITF1,gialla
2021-02-01,ITC3,gialla
2021-02-01,ITH1,arancione
2021-02-01,ITI2,arancione
2021-02-01,ITH4,gialla
2021-02-01,ITI3,gialla
2021-02-11,ITF4,gialla
2021-02-14,ITH2,arancione
2021-02-14,ITF1,arancione
2021-02-14,ITC3,arancione
2021-02-14,ITI1,arancione
2021-02-15,ITH1,arancione
2021-02-15,ITI2,arancione
2021-02-21,ITF3,arancione
2021-02-21,ITF2,arancione
2021-02-21,ITH5,arancione
2021-03-01,ITC4,arancione
2021-03-01,ITF2,rossa
2021-03-01,ITC1,arancione
2021-03-01,ITH2,arancione
2021-03-01,ITG2,bianca
2021-03-01,ITF1,arancione
2021-03-01,ITF5,rossa
2021-03-01,ITH1,arancione
2021-03-01,ITI1,arancione
2021-03-01,ITI2,arancione
2021-03-01,ITI3,arancione
2021-03-08,ITF3,rossa
2021-03-08,ITH3,arancione
2021-03-08,ITH5,arancione
2021-03-08,ITH4,arancione
2021-03-15,ITF6,arancione
2021-03-15,ITI4,rossa
2021-03-15,ITC4,rossa
2021-03-15,ITF2,rossa
2021-03-15,ITC1,rossa
2021-03-15,ITH2,rossa
2021-03-15,ITF4,rossa
2021-03-15,ITG1,arancione
2021-03-15,ITC2,arancione
2021-03-15,ITH3,rossa
2021-03-15,ITC3,arancione
2021-03-15,ITH5,rossa
2021-03-15,ITH4,rossa
2021-03-15,ITI3,rossa
2021-03-22,ITF3,rossa
2021-03-22,ITF2,arancione
2021-03-22,ITG2,arancione
2021-03-29,ITF6,rossa
2021-03-29,ITC2,rossa
2021-03-29,ITI1,rossa
2021-03-30,ITC4,rossa
2021-03-30,ITC1,rossa
2021-03-30,ITH2,rossa
2021-03-30,ITF4,rossa
2021-03-30,ITH3,rossa
2021-03-30,ITH5,rossa
2021-03-30,ITH4,rossa
2021-03-30,ITI3,rossa
2021-04-03,ITF6,rossa
2021-04-03,ITF3,rossa
2021-04-03,ITI4,rossa
2021-04-03,ITC4,rossa
2021-04-03,ITF2,rossa
2021-04-03,ITC1,rossa
2021-04-03,ITH2,rossa
2021-04-03,ITF4,rossa
2021-04-03,ITG2,rossa
2021-04-03,ITG1,rossa
2021-04-03,ITC2,rossa
2021-04-03,ITH3,rossa
2021-04-03,ITF1,rossa
2021-04-03,ITF5,rossa
2021-04-03,ITC3,rossa
2021-04-03,ITH1,rossa
2021-04-03,ITI1,rossa
2021-04-03,ITI2,rossa
2021-04-03,ITH5,rossa
2021-04-03,ITH4,rossa
2021-04-03,ITI3,rossa
2021-04-06,ITF6,rossa
2021-04-06,ITF3,rossa
2021-04-06,ITI4,arancione
2021-04-06,ITC4,rossa
2021-04-06,ITF2,arancione
2021-04-06,ITC1,rossa
2021-04-06,ITF4,rossa
2021-04-06,ITG2,arancione
2021-04-06,ITG1,arancione
2021-04-06,ITC2,rossa
2021-04-06,ITF1,arancione
2021-04-06,ITF5,arancione
2021-04-06,ITC3,arancione
2021-04-06,ITH1,arancione
2021-04-06,ITI1,rossa
2021-04-06,ITI2,arancione
2021-04-06,ITH5,rossa
2021-04-06,ITH4,rossa
2021-04-06,ITI3,arancione
2021-04-07,ITI4,arancione
2021-04-07,ITF2,arancione
2021-04-07,ITH2,arancione
2021-04-07,ITG2,arancione
2021-04-07,ITG1,arancione
2021-04-07,ITH3,arancione
2021-04-07,ITF1,arancione
2021-04-07,ITF5,arancione
2021-04-07,ITC3,arancione
2021-04-07,ITH1,arancione
2021-04-07,ITI2,arancione
2021-04-12,ITF6,arancione
2021-04-12,ITC4,arancione
2021-04-12,ITC1,arancione
2021-04-12,ITG2,rossa
2021-04-12,ITI1,arancione
2021-04-12,ITH5,arancione
2021-04-12,ITH4,arancione
2021-04-19,ITF3,arancione
2021-04-19,ITF4,rossa
2021-04-19,ITC2,rossa
2021-04-26,ITF6,arancione
2021-04-26,ITF3,gialla
2021-04-26,ITI4,gialla
2021-04-26,ITC4,gialla
2021-04-26,ITF2,gialla
2021-04-26,ITC1,gialla
2021-04-26,ITH2,gialla
2021-04-26,ITF4,arancione
2021-04-26,ITG2,rossa
2021-04-26,ITG1,arancione
2021-04-26,ITC2,arancione
2021-04-26,ITH3,gialla
2021-04-26,ITF1,gialla
2021-04-26,ITF5,arancione
2021-04-26,ITC3,gialla
2021-04-26,ITH1,gialla
2021-04-26,ITI1,gialla
2021-04-26,ITI2,gialla
2021-04-26,ITH5,gialla
2021-04-26,ITH4,gialla
2021-04-26,ITI3,gialla
2021-05-03,ITG2,arancione
2021-05-03,ITC2,rossa
2021-05-10,ITF6,gialla
2021-05-10,ITF4,gialla
2021-05-10,ITG1,arancione
2021-05-10,ITC2,arancione
2021-05-10,ITF5,gialla
2021-05-17,ITG2,gialla
2021-05-17,ITG1,gialla
2021-05-24,ITC2,gialla
2021-05-31,ITF2,bianca
2021-05-31,ITG2,bianca
2021-05-31,ITH4,bianca
2021-06-07,ITH3,bianca
2021-06-07,ITF1,bianca
2021-06-07,ITC3,bianca
2021-06-07,ITI2,bianca
2021-06-14,ITI4,bianca
2021-06-14,ITC4,bianca
2021-06-14,ITC1,bianca
2021-06-14,ITH2,bianca
2021-06-14,ITF4,bianca
2021-06-14,ITH5,bianca
2021-06-21,ITF6,bianca
2021-06-21,ITF3,bianca
2021-06-21,ITG1,bianca
2021-06-21,ITF5,bianca
2021-06-21,ITH1,bianca
2021-06-21,ITI1,bianca
2021-06-21,ITI3,bianca
2021-06-28,ITC2,bianca
