date,regione,deceduti,positivi,ricoveri,terapia_intensiva
2020-04-30T00:00:00,abruzzo,7,40,5,0
2020-05-01T00:00:00,abruzzo,3,2,5,0
2020-05-02T00:00:00,abruzzo,2,4,5,0
2020-05-03T00:00:00,abruzzo,4,2,1,0
2020-05-04T00:00:00,abruzzo,2,29,3,1
2020-05-05T00:00:00,abruzzo,7,20,3,0
2020-05-06T00:00:00,abruzzo,7,13,4,0
2020-05-07T00:00:00,abruzzo,5,19,0,0
2020-05-08T00:00:00,abruzzo,5,10,3,0
2020-05-09T00:00:00,abruzzo,4,9,2,0
2020-05-10T00:00:00,abruzzo,6,2,1,1
2020-05-11T00:00:00,abruzzo,5,9,2,0
2020-05-12T00:00:00,abruzzo,4,24,2,0
2020-05-13T00:00:00,abruzzo,4,9,1,0
2020-05-14T00:00:00,abruzzo,3,18,2,0
2020-05-15T00:00:00,abruzzo,2,5,3,1
2020-05-16T00:00:00,abruzzo,3,9,0,0
2020-05-17T00:00:00,abruzzo,2,0,2,0
2020-05-18T00:00:00,abruzzo,1,5,2,0
2020-05-19T00:00:00,abruzzo,0,10,0,0
2020-05-20T00:00:00,abruzzo,3,9,1,0
2020-05-21T00:00:00,abruzzo,3,4,1,0
2020-05-22T00:00:00,abruzzo,3,7,2,0
2020-05-23T00:00:00,abruzzo,3,2,0,0
2020-05-24T00:00:00,abruzzo,2,0,2,0
2020-05-25T00:00:00,abruzzo,1,4,1,0
2020-05-26T00:00:00,abruzzo,0,4,0,0
2020-05-27T00:00:00,abruzzo,0,1,0,0
2020-05-28T00:00:00,abruzzo,4,1,0,1
2020-05-29T00:00:00,abruzzo,3,5,0,0
2020-05-30T00:00:00,abruzzo,0,3,0,0
2020-05-31T00:00:00,abruzzo,1,3,1,0
2020-06-01T00:00:00,abruzzo,1,5,1,0
2020-06-02T00:00:00,abruzzo,1,1,2,0
2020-06-03T00:00:00,abruzzo,1,2,1,0
2020-06-04T00:00:00,abruzzo,1,6,0,0
2020-06-05T00:00:00,abruzzo,2,0,0,0
2020-06-06T00:00:00,abruzzo,0,1,0,1
2020-06-07T00:00:00,abruzzo,0,0,2,0
2020-06-08T00:00:00,abruzzo,1,2,1,0
2020-06-09T00:00:00,abruzzo,2,1,1,0
2020-06-10T00:00:00,abruzzo,1,3,0,1
2020-06-11T00:00:00,abruzzo,0,2,2,0
2020-06-12T00:00:00,abruzzo,1,3,0,1
2020-06-13T00:00:00,abruzzo,1,0,0,1
2020-06-14T00:00:00,abruzzo,1,0,0,0
2020-06-15T00:00:00,abruzzo,0,1,2,0
2020-06-16T00:00:00,abruzzo,1,3,1,0
2020-06-17T00:00:00,abruzzo,0,1,1,0
2020-06-18T00:00:00,abruzzo,2,1,0,0
2020-06-19T00:00:00,abruzzo,0,1,1,0
2020-06-20T00:00:00,abruzzo,0,0,0,0
2020-06-21T00:00:00,abruzzo,0,1,1,0
2020-06-22T00:00:00,abruzzo,1,2,0,1
2020-06-23T00:00:00,abruzzo,1,1,0,0
2020-06-24T00:00:00,abruzzo,0,0,0,0
2020-06-25T00:00:00,abruzzo,0,0,0,0
2020-06-26T00:00:00,abruzzo,0,0,0,0
2020-06-27T00:00:00,abruzzo,1,2,2,0
2020-06-28T00:00:00,abruzzo,1,0,0,0
2020-06-29T00:00:00,abruzzo,0,4,0,0
2020-06-30T00:00:00,abruzzo,1,1,0,0
2020-07-01T00:00:00,abruzzo,0,7,0,0
2020-07-02T00:00:00,abruzzo,0,1,1,0
2020-07-03T00:00:00,abruzzo,0,5,1,0
2020-07-04T00:00:00,abruzzo,0,3,3,0
2020-07-05T00:00:00,abruzzo,0,0,0,0
2020-07-06T00:00:00,abruzzo,0,2,0,0
2020-07-07T00:00:00,abruzzo,0,8,0,0
2020-07-08T00:00:00,abruzzo,0,3,1,0
2020-07-09T00:00:00,abruzzo,0,4,0,0
2020-07-10T00:00:00,abruzzo,1,3,0,0
2020-07-11T00:00:00,abruzzo,2,1,0,0
2020-07-12T00:00:00,abruzzo,0,0,1,0
2020-07-13T00:00:00,abruzzo,1,3,0,0
2020-07-14T00:00:00,abruzzo,0,1,0,0
2020-07-15T00:00:00,abruzzo,1,1,0,0
2020-07-16T00:00:00,abruzzo,1,1,1,0
2020-07-17T00:00:00,abruzzo,0,6,1,0
2020-07-18T00:00:00,abruzzo,1,1,0,0
2020-07-19T00:00:00,abruzzo,0,0,1,0
2020-07-20T00:00:00,abruzzo,0,4,1,0
2020-07-21T00:00:00,abruzzo,0,3,1,1
2020-07-22T00:00:00,abruzzo,0,7,0,1
2020-07-23T00:00:00,abruzzo,0,3,1,0
2020-07-24T00:00:00,abruzzo,0,11,1,0
2020-07-25T00:00:00,abruzzo,0,0,1,0
2020-07-26T00:00:00,abruzzo,1,1,1,0
2020-07-27T00:00:00,abruzzo,0,4,0,0
2020-07-28T00:00:00,abruzzo,0,3,1,0
2020-07-29T00:00:00,abruzzo,0,5,0,0
2020-07-30T00:00:00,abruzzo,0,1,0,0
2020-07-31T00:00:00,abruzzo,0,8,1,0
2020-08-01T00:00:00,abruzzo,0,23,1,0
2020-08-02T00:00:00,abruzzo,0,2,2,0
2020-08-03T00:00:00,abruzzo,0,12,2,0
2020-08-04T00:00:00,abruzzo,0,40,2,0
2020-08-05T00:00:00,abruzzo,0,22,1,0
2020-08-06T00:00:00,abruzzo,0,3,3,0
2020-08-07T00:00:00,abruzzo,0,5,1,0
2020-08-08T00:00:00,abruzzo,0,9,0,0
2020-08-09T00:00:00,abruzzo,0,0,1,0
2020-08-10T00:00:00,abruzzo,0,10,0,0
2020-08-11T00:00:00,abruzzo,0,11,1,0
2020-08-12T00:00:00,abruzzo,0,14,1,0
2020-08-13T00:00:00,abruzzo,0,7,0,0
2020-08-14T00:00:00,abruzzo,0,8,1,0
2020-08-15T00:00:00,abruzzo,0,4,0,0
2020-08-16T00:00:00,abruzzo,0,7,2,0
2020-08-17T00:00:00,abruzzo,0,10,0,0
2020-08-18T00:00:00,abruzzo,0,5,1,1
2020-08-19T00:00:00,abruzzo,0,16,3,0
2020-08-20T00:00:00,abruzzo,0,19,4,0
2020-08-21T00:00:00,abruzzo,0,27,3,0
2020-08-22T00:00:00,abruzzo,0,4,4,0
2020-08-23T00:00:00,abruzzo,0,9,2,0
2020-08-24T00:00:00,abruzzo,1,31,0,0
2020-08-25T00:00:00,abruzzo,0,12,1,0
2020-08-26T00:00:00,abruzzo,0,17,4,0
2020-08-27T00:00:00,abruzzo,0,25,1,0
2020-08-28T00:00:00,abruzzo,0,30,3,0
2020-08-29T00:00:00,abruzzo,0,7,2,0
2020-08-30T00:00:00,abruzzo,0,4,0,0
2020-08-31T00:00:00,abruzzo,0,23,0,0
2020-09-01T00:00:00,abruzzo,0,26,1,0
2020-09-02T00:00:00,abruzzo,0,23,1,0
2020-09-03T00:00:00,abruzzo,0,20,4,0
2020-09-04T00:00:00,abruzzo,0,32,1,1
2020-09-05T00:00:00,abruzzo,0,13,0,0
2020-09-06T00:00:00,abruzzo,0,0,1,0
2020-09-07T00:00:00,abruzzo,0,10,3,0
2020-09-08T00:00:00,abruzzo,0,9,7,0
2020-09-09T00:00:00,abruzzo,0,25,2,1
2020-09-10T00:00:00,abruzzo,0,22,3,0
2020-09-11T00:00:00,abruzzo,0,22,3,1
2020-09-12T00:00:00,abruzzo,0,20,3,0
2020-09-13T00:00:00,abruzzo,0,6,2,1
2020-09-14T00:00:00,abruzzo,1,22,1,0
2020-09-15T00:00:00,abruzzo,0,41,7,1
2020-09-16T00:00:00,abruzzo,0,42,3,0
2020-09-17T00:00:00,abruzzo,0,29,4,0
2020-09-18T00:00:00,abruzzo,1,20,4,0
2020-09-19T00:00:00,abruzzo,0,33,2,1
2020-09-20T00:00:00,abruzzo,0,4,8,0
2020-09-21T00:00:00,abruzzo,2,19,0,1
2020-09-22T00:00:00,abruzzo,1,17,2,0
2020-09-23T00:00:00,abruzzo,0,42,1,0
2020-09-24T00:00:00,abruzzo,0,26,5,1
2020-09-25T00:00:00,abruzzo,1,32,2,0
2020-09-26T00:00:00,abruzzo,0,20,1,0
2020-09-27T00:00:00,abruzzo,0,6,5,0
2020-09-28T00:00:00,abruzzo,2,38,3,1
2020-09-29T00:00:00,abruzzo,1,19,4,0
2020-09-30T00:00:00,abruzzo,0,37,4,1
2020-10-01T00:00:00,abruzzo,0,47,6,0
2020-10-02T00:00:00,abruzzo,0,46,8,1
2020-10-03T00:00:00,abruzzo,0,34,8,0
2020-10-04T00:00:00,abruzzo,1,18,8,0
2020-10-05T00:00:00,abruzzo,2,64,5,0
2020-10-06T00:00:00,abruzzo,1,108,10,0
2020-10-07T00:00:00,abruzzo,0,86,9,2
2020-10-08T00:00:00,abruzzo,2,97,10,1
2020-10-09T00:00:00,abruzzo,1,102,14,1
2020-10-10T00:00:00,abruzzo,0,129,13,1
2020-10-11T00:00:00,abruzzo,0,54,16,2
2020-10-12T00:00:00,abruzzo,1,135,19,3
2020-10-13T00:00:00,abruzzo,0,239,14,0
2020-10-14T00:00:00,abruzzo,0,153,14,0
2020-10-15T00:00:00,abruzzo,2,183,22,1
2020-10-16T00:00:00,abruzzo,2,249,14,2
2020-10-17T00:00:00,abruzzo,1,168,20,0
2020-10-18T00:00:00,abruzzo,2,61,20,2
2020-10-19T00:00:00,abruzzo,5,303,36,2
2020-10-20T00:00:00,abruzzo,3,345,28,2
2020-10-21T00:00:00,abruzzo,5,352,20,3
2020-10-22T00:00:00,abruzzo,2,434,23,4
2020-10-23T00:00:00,abruzzo,1,405,30,0
2020-10-24T00:00:00,abruzzo,12,429,30,5
2020-10-25T00:00:00,abruzzo,10,158,39,5
2020-10-26T00:00:00,abruzzo,5,517,31,1
2020-10-27T00:00:00,abruzzo,8,438,40,6
2020-10-28T00:00:00,abruzzo,8,514,37,1
2020-10-29T00:00:00,abruzzo,6,565,46,4
2020-10-30T00:00:00,abruzzo,5,589,41,3
2020-10-31T00:00:00,abruzzo,12,591,49,3
2020-11-01T00:00:00,abruzzo,6,158,41,2
2020-11-02T00:00:00,abruzzo,13,655,40,8
2020-11-03T00:00:00,abruzzo,14,603,45,5
2020-11-04T00:00:00,abruzzo,5,713,45,0
2020-11-05T00:00:00,abruzzo,11,577,54,6
2020-11-06T00:00:00,abruzzo,17,795,47,3
2020-11-07T00:00:00,abruzzo,10,511,60,3
2020-11-08T00:00:00,abruzzo,8,101,43,3
2020-11-09T00:00:00,abruzzo,10,785,40,5
2020-11-10T00:00:00,abruzzo,11,768,64,3
2020-11-11T00:00:00,abruzzo,14,862,50,7
2020-11-12T00:00:00,abruzzo,18,810,66,6
2020-11-13T00:00:00,abruzzo,13,713,60,4
2020-11-14T00:00:00,abruzzo,15,569,49,6
2020-11-15T00:00:00,abruzzo,17,150,46,6
2020-11-16T00:00:00,abruzzo,11,812,56,7
2020-11-17T00:00:00,abruzzo,14,695,65,6
2020-11-18T00:00:00,abruzzo,12,762,56,6
2020-11-19T00:00:00,abruzzo,17,710,46,9
2020-11-20T00:00:00,abruzzo,16,687,50,2
2020-11-21T00:00:00,abruzzo,12,394,43,1
2020-11-22T00:00:00,abruzzo,15,69,51,2
2020-11-23T00:00:00,abruzzo,19,732,40,4
2020-11-24T00:00:00,abruzzo,20,661,58,7
2020-11-25T00:00:00,abruzzo,17,609,51,3
2020-11-26T00:00:00,abruzzo,6,439,43,4
2020-11-27T00:00:00,abruzzo,13,547,34,3
2020-11-28T00:00:00,abruzzo,14,366,40,2
2020-11-29T00:00:00,abruzzo,12,45,30,3
2020-11-30T00:00:00,abruzzo,11,457,35,4
2020-12-01T00:00:00,abruzzo,16,447,32,4
2020-12-02T00:00:00,abruzzo,14,390,45,6
2020-12-03T00:00:00,abruzzo,12,309,30,2
2020-12-04T00:00:00,abruzzo,8,370,35,5
2020-12-05T00:00:00,abruzzo,15,210,28,2
2020-12-06T00:00:00,abruzzo,12,26,30,4
2020-12-07T00:00:00,abruzzo,17,466,33,2
2020-12-08T00:00:00,abruzzo,14,85,19,5
2020-12-09T00:00:00,abruzzo,16,356,34,4
2020-12-10T00:00:00,abruzzo,8,250,33,5
2020-12-11T00:00:00,abruzzo,13,318,31,1
2020-12-12T00:00:00,abruzzo,16,222,20,2
2020-12-13T00:00:00,abruzzo,8,29,30,5
2020-12-14T00:00:00,abruzzo,17,275,19,2
2020-12-15T00:00:00,abruzzo,6,215,30,2
2020-12-16T00:00:00,abruzzo,17,248,28,0
2020-12-17T00:00:00,abruzzo,10,162,26,3
2020-12-18T00:00:00,abruzzo,8,207,27,1
2020-12-19T00:00:00,abruzzo,11,103,21,0
2020-12-20T00:00:00,abruzzo,10,28,15,3
2020-12-21T00:00:00,abruzzo,8,358,18,4
2020-12-22T00:00:00,abruzzo,10,202,13,2
2020-12-23T00:00:00,abruzzo,9,269,17,2
2020-12-24T00:00:00,abruzzo,12,72,26,0
2020-12-25T00:00:00,abruzzo,8,14,11,2
2020-12-26T00:00:00,abruzzo,9,35,21,1
2020-12-27T00:00:00,abruzzo,6,27,36,1
2020-12-28T00:00:00,abruzzo,7,314,19,3
2020-12-29T00:00:00,abruzzo,8,401,17,1
2020-12-30T00:00:00,abruzzo,7,386,30,2
2020-12-31T00:00:00,abruzzo,3,128,32,3
2021-01-01T00:00:00,abruzzo,12,27,27,1
2021-01-02T00:00:00,abruzzo,3,327,38,5
2021-01-03T00:00:00,abruzzo,5,50,41,1
2021-01-04T00:00:00,abruzzo,10,408,41,3
2021-01-05T00:00:00,abruzzo,9,356,30,2
2021-01-06T00:00:00,abruzzo,10,15,22,1
2021-01-07T00:00:00,abruzzo,6,378,30,5
2021-01-08T00:00:00,abruzzo,12,339,25,4
2021-01-09T00:00:00,abruzzo,2,234,22,6
2021-01-10T00:00:00,abruzzo,6,47,24,0
2021-01-11T00:00:00,abruzzo,9,350,22,1
2021-01-12T00:00:00,abruzzo,4,274,23,4
2021-01-13T00:00:00,abruzzo,13,229,30,3
2021-01-14T00:00:00,abruzzo,5,232,13,2
2021-01-15T00:00:00,abruzzo,7,212,24,4
2021-01-16T00:00:00,abruzzo,13,155,27,0
2021-01-17T00:00:00,abruzzo,5,18,24,6
2021-01-18T00:00:00,abruzzo,11,303,21,1
2021-01-19T00:00:00,abruzzo,4,233,33,4
2021-01-20T00:00:00,abruzzo,10,275,21,3
2021-01-21T00:00:00,abruzzo,9,258,30,5
2021-01-22T00:00:00,abruzzo,7,285,13,0
2021-01-23T00:00:00,abruzzo,11,177,22,5
2021-01-24T00:00:00,abruzzo,13,14,11,1
2021-01-25T00:00:00,abruzzo,8,403,21,2
2021-01-26T00:00:00,abruzzo,6,292,18,0
2021-01-27T00:00:00,abruzzo,8,374,21,3
2021-01-28T00:00:00,abruzzo,11,320,24,4
2021-01-29T00:00:00,abruzzo,3,430,27,5
2021-01-30T00:00:00,abruzzo,8,242,35,4
2021-01-31T00:00:00,abruzzo,7,69,24,2
2021-02-01T00:00:00,abruzzo,10,486,33,4
2021-02-02T00:00:00,abruzzo,6,461,30,4
2021-02-03T00:00:00,abruzzo,5,433,56,4
2021-02-04T00:00:00,abruzzo,5,433,32,6
2021-02-05T00:00:00,abruzzo,12,436,27,5
2021-02-06T00:00:00,abruzzo,8,343,31,8
2021-02-07T00:00:00,abruzzo,3,71,29,3
2021-02-08T00:00:00,abruzzo,8,436,35,3
2021-02-09T00:00:00,abruzzo,5,623,30,4
2021-02-10T00:00:00,abruzzo,7,474,50,4
2021-02-11T00:00:00,abruzzo,7,516,26,4
2021-02-12T00:00:00,abruzzo,10,464,57,3
2021-02-13T00:00:00,abruzzo,9,332,31,2
2021-02-14T00:00:00,abruzzo,8,47,26,5
2021-02-15T00:00:00,abruzzo,9,543,45,13
2021-02-16T00:00:00,abruzzo,8,538,45,2
2021-02-17T00:00:00,abruzzo,13,423,56,11
2021-02-18T00:00:00,abruzzo,7,471,48,5
2021-02-19T00:00:00,abruzzo,10,503,50,7
2021-02-20T00:00:00,abruzzo,14,361,47,4
2021-02-21T00:00:00,abruzzo,11,86,31,3
2021-02-22T00:00:00,abruzzo,18,682,41,12
2021-02-23T00:00:00,abruzzo,14,631,54,5
2021-02-24T00:00:00,abruzzo,11,575,40,4
2021-02-25T00:00:00,abruzzo,15,500,28,7
2021-02-26T00:00:00,abruzzo,13,493,45,3
2021-02-27T00:00:00,abruzzo,5,309,49,6
2021-02-28T00:00:00,abruzzo,14,54,27,4
2021-03-01T00:00:00,abruzzo,11,566,39,4
2021-03-02T00:00:00,abruzzo,14,487,46,9
2021-03-03T00:00:00,abruzzo,17,566,42,5
2021-03-04T00:00:00,abruzzo,12,593,59,4
2021-03-05T00:00:00,abruzzo,27,521,46,9
2021-03-06T00:00:00,abruzzo,16,254,39,6
2021-03-07T00:00:00,abruzzo,12,54,38,5
2021-03-08T00:00:00,abruzzo,7,510,42,9
2021-03-09T00:00:00,abruzzo,17,553,38,5
2021-03-10T00:00:00,abruzzo,25,399,44,9
2021-03-11T00:00:00,abruzzo,17,462,39,7
2021-03-12T00:00:00,abruzzo,17,382,55,12
2021-03-13T00:00:00,abruzzo,11,350,48,5
2021-03-14T00:00:00,abruzzo,5,63,43,2
2021-03-15T00:00:00,abruzzo,16,457,35,5
2021-03-16T00:00:00,abruzzo,15,478,48,7
2021-03-17T00:00:00,abruzzo,12,391,41,3
2021-03-18T00:00:00,abruzzo,10,312,50,5
2021-03-19T00:00:00,abruzzo,20,310,46,7
2021-03-20T00:00:00,abruzzo,9,246,35,1
2021-03-21T00:00:00,abruzzo,12,45,35,7
2021-03-22T00:00:00,abruzzo,6,393,43,4
2021-03-23T00:00:00,abruzzo,10,356,42,5
2021-03-24T00:00:00,abruzzo,8,371,41,3
2021-03-25T00:00:00,abruzzo,8,292,35,6
2021-03-26T00:00:00,abruzzo,6,368,38,3
2021-03-27T00:00:00,abruzzo,10,233,31,1
2021-03-28T00:00:00,abruzzo,14,71,32,5
2021-03-29T00:00:00,abruzzo,11,369,36,2
2021-03-30T00:00:00,abruzzo,10,372,31,6
2021-03-31T00:00:00,abruzzo,10,309,33,6
2021-04-01T00:00:00,abruzzo,15,266,50,5
2021-04-02T00:00:00,abruzzo,11,330,44,4
2021-04-03T00:00:00,abruzzo,7,146,37,2
2021-04-04T00:00:00,abruzzo,2,22,31,1
2021-04-05T00:00:00,abruzzo,13,51,30,4
2021-04-06T00:00:00,abruzzo,5,350,37,5
2021-04-07T00:00:00,abruzzo,6,306,32,3
2021-04-08T00:00:00,abruzzo,13,267,33,3
2021-04-09T00:00:00,abruzzo,13,263,28,4
2021-04-10T00:00:00,abruzzo,6,194,26,4
2021-04-11T00:00:00,abruzzo,6,24,25,2
2021-04-12T00:00:00,abruzzo,12,271,27,5
2021-04-13T00:00:00,abruzzo,10,258,31,6
2021-04-14T00:00:00,abruzzo,3,194,20,4
2021-04-15T00:00:00,abruzzo,10,179,26,1
2021-04-16T00:00:00,abruzzo,7,265,30,3
2021-04-17T00:00:00,abruzzo,9,156,18,4
2021-04-18T00:00:00,abruzzo,5,24,14,0
2021-04-19T00:00:00,abruzzo,4,231,13,2
2021-04-20T00:00:00,abruzzo,1,211,19,1
2021-04-21T00:00:00,abruzzo,6,177,28,2
2021-04-22T00:00:00,abruzzo,4,165,20,2
2021-04-23T00:00:00,abruzzo,9,189,21,1
2021-04-24T00:00:00,abruzzo,7,135,18,1
2021-04-25T00:00:00,abruzzo,4,6,8,1
2021-04-26T00:00:00,abruzzo,2,182,13,0
2021-04-27T00:00:00,abruzzo,3,195,15,1
2021-04-28T00:00:00,abruzzo,5,169,21,2
2021-04-29T00:00:00,abruzzo,6,194,15,2
2021-04-30T00:00:00,abruzzo,5,204,8,2
2021-05-01T00:00:00,abruzzo,3,55,13,0
2021-05-02T00:00:00,abruzzo,4,13,18,4
2021-05-03T00:00:00,abruzzo,4,238,15,0
2021-05-04T00:00:00,abruzzo,3,156,13,5
2021-05-05T00:00:00,abruzzo,0,172,13,1
2021-05-06T00:00:00,abruzzo,2,121,12,0
2021-05-07T00:00:00,abruzzo,3,122,12,1
2021-05-08T00:00:00,abruzzo,3,116,16,1
2021-05-09T00:00:00,abruzzo,3,9,11,2
2021-05-10T00:00:00,abruzzo,4,154,9,0
2021-05-11T00:00:00,abruzzo,4,138,11,0
2021-05-12T00:00:00,abruzzo,3,112,13,0
2021-05-13T00:00:00,abruzzo,4,113,11,1
2021-05-14T00:00:00,abruzzo,1,95,11,0
2021-05-15T00:00:00,abruzzo,1,71,10,2
2021-05-16T00:00:00,abruzzo,0,6,8,1
2021-05-17T00:00:00,abruzzo,4,85,6,0
2021-05-18T00:00:00,abruzzo,2,101,12,2
2021-05-19T00:00:00,abruzzo,1,87,8,1
2021-05-20T00:00:00,abruzzo,0,59,9,0
2021-05-21T00:00:00,abruzzo,2,59,8,3
2021-05-22T00:00:00,abruzzo,3,59,8,0
2021-05-23T00:00:00,abruzzo,0,9,10,1
2021-05-24T00:00:00,abruzzo,1,52,7,0
2021-05-25T00:00:00,abruzzo,2,50,8,1
2021-05-26T00:00:00,abruzzo,1,48,8,1
2021-05-27T00:00:00,abruzzo,2,63,3,0
2021-05-28T00:00:00,abruzzo,3,35,7,0
2021-05-29T00:00:00,abruzzo,0,47,5,0
2021-05-30T00:00:00,abruzzo,1,3,5,1
2021-05-31T00:00:00,abruzzo,3,53,3,2
2021-06-01T00:00:00,abruzzo,0,64,6,0
2021-06-02T00:00:00,abruzzo,1,6,1,0
2021-06-03T00:00:00,abruzzo,4,62,3,0
2021-06-04T00:00:00,abruzzo,1,34,2,1
2021-06-05T00:00:00,abruzzo,1,21,1,0
2021-06-06T00:00:00,abruzzo,3,10,2,0
2021-06-07T00:00:00,abruzzo,1,36,3,0
2021-06-08T00:00:00,abruzzo,0,57,5,
2021-06-09T00:00:00,abruzzo,0,15,4,
2021-06-10T00:00:00,abruzzo,1,29,1,
2021-06-11T00:00:00,abruzzo,0,37,3,
2021-06-12T00:00:00,abruzzo,1,20,2,
2021-06-13T00:00:00,abruzzo,0,3,3,
2021-06-14T00:00:00,abruzzo,1,21,4,
2021-06-15T00:00:00,abruzzo,3,24,2,
2021-06-16T00:00:00,abruzzo,1,14,3,
2021-06-17T00:00:00,abruzzo,0,29,0,
2021-06-18T00:00:00,abruzzo,0,30,1,
2021-06-19T00:00:00,abruzzo,0,27,2,
2021-06-20T00:00:00,abruzzo,0,3,1,
2021-06-21T00:00:00,abruzzo,0,25,2,
2021-06-22T00:00:00,abruzzo,2,20,3,
2021-06-23T00:00:00,abruzzo,0,30,0,
2021-06-24T00:00:00,abruzzo,0,24,0,
2021-06-25T00:00:00,abruzzo,0,18,1,
2021-06-26T00:00:00,abruzzo,0,24,1,
2021-06-27T00:00:00,abruzzo,0,6,2,
2021-06-28T00:00:00,abruzzo,0,43,1,
2021-06-29T00:00:00,abruzzo,0,25,2,
2021-06-30T00:00:00,abruzzo,0,37,1,
2021-07-01T00:00:00,abruzzo,,30,1,
2021-07-02T00:00:00,abruzzo,,32,,
2021-07-03T00:00:00,abruzzo,,27,,
2020-03-03T00:00:00,basilicata,,1,,
2020-03-04T00:00:00,basilicata,,0,,
2020-03-05T00:00:00,basilicata,,2,,
2020-03-06T00:00:00,basilicata,,2,2,
2020-03-07T00:00:00,basilicata,,0,0,
2020-03-08T00:00:00,basilicata,,1,0,
2020-03-09T00:00:00,basilicata,,2,0,
2020-03-10T00:00:00,basilicata,,3,0,
2020-03-11T00:00:00,basilicata,,0,1,
2020-03-12T00:00:00,basilicata,,3,0,
2020-03-13T00:00:00,basilicata,,0,0,
2020-03-14T00:00:00,basilicata,,1,0,1
2020-03-15T00:00:00,basilicata,,3,1,0
2020-03-16T00:00:00,basilicata,,8,2,1
2020-03-17T00:00:00,basilicata,,7,3,0
2020-03-18T00:00:00,basilicata,,13,7,3
2020-03-19T00:00:00,basilicata,,15,3,2
2020-03-20T00:00:00,basilicata,,18,6,2
2020-03-21T00:00:00,basilicata,,8,1,1
2020-03-22T00:00:00,basilicata,1,7,3,1
2020-03-23T00:00:00,basilicata,0,14,6,2
2020-03-24T00:00:00,basilicata,0,15,4,4
