DATA_DECESSO,DECESSI,iss_date
30/12/2020,477,08/08/2022
31/12/2020,434,08/08/2022
01/01/2021,457,08/08/2022
02/01/2021,431,08/08/2022
03/01/2021,421,08/08/2022
04/01/2021,507,08/08/2022
05/01/2021,502,08/08/2022
06/01/2021,473,08/08/2022
07/01/2021,465,08/08/2022
08/01/2021,448,08/08/2022
09/01/2021,440,08/08/2022
10/01/2021,444,08/08/2022
11/01/2021,474,08/08/2022
12/01/2021,470,08/08/2022
13/01/2021,452,08/08/2022
14/01/2021,427,08/08/2022
15/01/2021,506,08/08/2022
16/01/2021,446,08/08/2022
17/01/2021,444,08/08/2022
18/01/2021,477,08/08/2022
19/01/2021,470,08/08/2022
20/01/2021,436,08/08/2022
21/01/2021,421,08/08/2022
22/01/2021,426,08/08/2022
23/01/2021,409,08/08/2022
24/01/2021,414,08/08/2022
25/01/2021,395,08/08/2022
26/01/2021,442,08/08/2022
27/01/2021,434,08/08/2022
28/01/2021,393,08/08/2022
29/01/2021,357,08/08/2022
30/01/2021,380,08/08/2022
31/01/2021,365,08/08/2022
01/02/2021,355,08/08/2022
02/02/2021,402,08/08/2022
03/02/2021,368,08/08/2022
04/02/2021,335,08/08/2022
05/02/2021,411,08/08/2022
06/02/2021,343,08/08/2022
07/02/2021,302,08/08/2022
08/02/2021,329,08/08/2022
09/02/2021,358,08/08/2022
10/02/2021,288,08/08/2022
11/02/2021,299,08/08/2022
12/02/2021,287,08/08/2022
13/02/2021,253,08/08/2022
14/02/2021,270,08/08/2022
15/02/2021,282,08/08/2022
16/02/2021,287,08/08/2022
17/02/2021,338,08/08/2022
18/02/2021,306,08/08/2022
19/02/2021,293,08/08/2022
20/02/2021,253,08/08/2022
21/02/2021,267,08/08/2022
22/02/2021,356,08/08/2022
23/02/2021,327,08/08/2022
24/02/2021,244,08/08/2022
25/02/2021,272,08/08/2022
26/02/2021,288,08/08/2022
27/02/2021,281,08/08/2022
28/02/2021,241,08/08/2022
01/03/2021,323,08/08/2022
02/03/2021,321,08/08/2022
03/03/2021,326,08/08/2022
04/03/2021,314,08/08/2022
05/03/2021,320,08/08/2022
06/03/2021,289,08/08/2022
07/03/2021,306,08/08/2022
08/03/2021,308,08/08/2022
09/03/2021,322,08/08/2022
10/03/2021,360,08/08/2022
11/03/2021,378,08/08/2022
12/03/2021,398,08/08/2022
13/03/2021,361,08/08/2022
14/03/2021,310,08/08/2022
15/03/2021,373,08/08/2022
16/03/2021,432,08/08/2022
17/03/2021,402,08/08/2022
18/03/2021,418,08/08/2022
19/03/2021,399,08/08/2022
20/03/2021,380,08/08/2022
21/03/2021,410,08/08/2022
22/03/2021,394,08/08/2022
