DATA_INIZIO_SINTOMI,CASI,iss_date
08/09/2022,4886,20/10/2022
08/10/2020,4065,20/10/2022
08/10/2021,1513,20/10/2022
08/10/2022,11020,20/10/2022
08/11/2020,15676,20/10/2022
08/11/2021,5342,20/10/2022
08/12/2020,7136,20/10/2022
08/12/2021,10385,20/10/2022
09/01/2021,6858,20/10/2022
09/01/2022,41313,20/10/2022
09/02/2020,17,20/10/2022
09/02/2021,6509,20/10/2022
09/02/2022,18430,20/10/2022
09/03/2020,4438,20/10/2022
09/03/2021,13040,20/10/2022
09/03/2022,18517,20/10/2022
09/04/2020,2064,20/10/2022
09/04/2021,7573,20/10/2022
09/04/2022,17025,20/10/2022
09/05/2020,301,20/10/2022
09/05/2021,3271,20/10/2022
09/05/2022,15559,20/10/2022
09/06/2020,126,20/10/2022
09/06/2021,785,20/10/2022
09/06/2022,7563,20/10/2022
09/07/2020,87,20/10/2022
09/07/2021,1093,20/10/2022
09/07/2022,21307,20/10/2022
09/08/2020,209,20/10/2022
09/08/2021,4202,20/10/2022
09/08/2022,8563,20/10/2022
09/09/2020,693,20/10/2022
09/09/2021,2530,20/10/2022
09/09/2022,4976,20/10/2022
09/10/2020,4560,20/10/2022
09/10/2021,1377,20/10/2022
09/10/2022,10677,20/10/2022
09/11/2020,19045,20/10/2022
09/11/2021,4993,20/10/2022
09/12/2020,8269,20/10/2022
09/12/2021,10746,20/10/2022
10/01/2021,6557,20/10/2022
10/01/2022,56584,20/10/2022
10/02/2020,61,20/10/2022
10/02/2021,7089,20/10/2022
10/02/2022,17193,20/10/2022
10/03/2020,6136,20/10/2022
10/03/2021,14604,20/10/2022
10/03/2022,18374,20/10/2022
10/04/2020,2722,20/10/2022
10/04/2021,7706,20/10/2022
10/04/2022,15484,20/10/2022
10/05/2020,334,20/10/2022
10/05/2021,3997,20/10/2022
10/05/2022,13508,20/10/2022
10/06/2020,116,20/10/2022
10/06/2021,755,20/10/2022
10/06/2022,7573,20/10/2022
10/07/2020,117,20/10/2022
10/07/2021,1182,20/10/2022
10/07/2022,21510,20/10/2022
10/08/2020,295,20/10/2022
10/08/2021,4244,20/10/2022
10/08/2022,8367,20/10/2022
10/09/2020,779,20/10/2022
10/09/2021,2509,20/10/2022
10/09/2022,4631,20/10/2022
10/10/2020,5014,20/10/2022
10/10/2021,1612,20/10/2022
10/10/2022,16994,20/10/2022
10/11/2020,18374,20/10/2022
10/11/2021,5124,20/10/2022
10/12/2020,8345,20/10/2022
10/12/2021,11438,20/10/2022
11/01/2021,7570,20/10/2022
11/01/2022,49407,20/10/2022
11/02/2020,34,20/10/2022
11/02/2021,6146,20/10/2022
11/02/2022,15147,20/10/2022
11/03/2020,4236,20/10/2022
11/03/2021,12691,20/10/2022
11/03/2022,18553,20/10/2022
11/04/2020,1624,20/10/2022
11/04/2021,6870,20/10/2022
11/04/2022,22488,20/10/2022
11/05/2020,441,20/10/2022
11/05/2021,3296,20/10/2022
11/05/2022,12566,20/10/2022
11/06/2020,109,20/10/2022
11/06/2021,587,20/10/2022
11/06/2022,7521,20/10/2022
11/07/2020,83,20/10/2022
11/07/2021,1224,20/10/2022
11/07/2022,32704,20/10/2022
11/08/2020,274,20/10/2022
11/08/2021,3760,20/10/2022
11/08/2022,7219,20/10/2022
11/09/2020,674,20/10/2022
11/09/2021,2170,20/10/2022
11/09/2022,4694,20/10/2022
11/10/2020,4419,20/10/2022
11/10/2021,1863,20/10/2022
11/10/2022,13145,20/10/2022
11/11/2020,16034,20/10/2022
11/11/2021,5002,20/10/2022
11/12/2020,7549,20/10/2022
11/12/2021,11009,20/10/2022
12/01/2021,6720,20/10/2022
12/01/2022,46966,20/10/2022
12/02/2020,54,20/10/2022
12/02/2021,6369,20/10/2022
12/02/2022,13360,20/10/2022
12/03/2020,4805,20/10/2022
12/03/2021,13332,20/10/2022
12/03/2022,19167,20/10/2022
12/04/2020,1647,20/10/2022
12/04/2021,8663,20/10/2022
12/04/2022,19336,20/10/2022
12/05/2020,451,20/10/2022
12/05/2021,3126,20/10/2022
12/05/2022,11210,20/10/2022
12/06/2020,125,20/10/2022
12/06/2021,538,20/10/2022
12/06/2022,8673,20/10/2022
12/07/2020,80,20/10/2022
12/07/2021,1711,20/10/2022
12/07/2022,27501,20/10/2022
12/08/2020,284,20/10/2022
12/08/2021,3673,20/10/2022
12/08/2022,6598,20/10/2022
12/09/2020,667,20/10/2022
12/09/2021,2171,20/10/2022
12/09/2022,7182,20/10/2022
12/10/2020,7080,20/10/2022
12/10/2021,1672,20/10/2022
12/10/2022,12205,20/10/2022
12/11/2020,16041,20/10/2022
12/11/2021,5097,20/10/2022
12/12/2020,7290,20/10/2022
12/12/2021,11420,20/10/2022
13/01/2021,6324,20/10/2022
13/01/2022,45039,20/10/2022
13/02/2020,51,20/10/2022
13/02/2021,6038,20/10/2022
13/02/2022,13430,20/10/2022
13/03/2020,5371,20/10/2022
13/03/2021,12170,20/10/2022
13/03/2022,19237,20/10/2022
13/04/2020,1512,20/10/2022
13/04/2021,7654,20/10/2022
13/04/2022,19451,20/10/2022
13/05/2020,386,20/10/2022
13/05/2021,2873,20/10/2022
13/05/2022,9947,20/10/2022
13/06/2020,74,20/10/2022
13/06/2021,543,20/10/2022
13/06/2022,13454,20/10/2022
13/07/2020,109,20/10/2022
13/07/2021,1876,20/10/2022
13/07/2022,26392,20/10/2022
13/08/2020,313,20/10/2022
13/08/2021,3525,20/10/2022
13/08/2022,5823,20/10/2022
13/09/2020,621,20/10/2022
13/09/2021,2651,20/10/2022
13/09/2022,6205,20/10/2022
13/10/2020,6759,20/10/2022
13/10/2021,1839,20/10/2022
13/10/2022,10673,20/10/2022
13/11/2020,16562,20/10/2022
13/11/2021,5075,20/10/2022
13/12/2020,6424,20/10/2022
13/12/2021,14129,20/10/2022
14/01/2021,6146,20/10/2022
14/01/2022,42080,20/10/2022
14/02/2020,68,20/10/2022
14/02/2021,5964,20/10/2022
14/02/2022,20147,20/10/2022
14/03/2020,4691,20/10/2022
14/03/2021,11547,20/10/2022
14/03/2022,28242,20/10/2022
14/04/2020,1855,20/10/2022
14/04/2021,7366,20/10/2022
14/04/2022,17436,20/10/2022
14/05/2020,338,20/10/2022
14/05/2021,2597,20/10/2022
14/05/2022,8566,20/10/2022
14/06/2020,82,20/10/2022
14/06/2021,644,20/10/2022
14/06/2022,12421,20/10/2022
14/07/2020,115,20/10/2022
14/07/2021,2294,20/10/2022
14/07/2022,22641,20/10/2022
14/08/2020,310,20/10/2022
14/08/2021,3361,20/10/2022
14/08/2022,5138,20/10/2022
14/09/2020,905,20/10/2022
14/09/2021,2452,20/10/2022
14/09/2022,6220,20/10/2022
14/10/2020,7470,20/10/2022
14/10/2021,1778,20/10/2022
14/10/2022,9212,20/10/2022
14/11/2020,15707,20/10/2022
14/11/2021,5310,20/10/2022
14/12/2020,8900,20/10/2022
14/12/2021,13794,20/10/2022
15/01/2021,6355,20/10/2022
15/01/2022,41700,20/10/2022
15/02/2020,150,20/10/2022
15/02/2021,7998,20/10/2022
15/02/2022,16712,20/10/2022
15/03/2020,5861,20/10/2022
15/03/2021,14990,20/10/2022
15/03/2022,25569,20/10/2022
15/04/2020,2180,20/10/2022
15/04/2021,7122,20/10/2022
15/04/2022,16270,20/10/2022
15/05/2020,342,20/10/2022
15/05/2021,2402,20/10/2022
15/05/2022,7926,20/10/2022
15/06/2020,120,20/10/2022
15/06/2021,479,20/10/2022
15/06/2022,12643,20/10/2022
15/07/2020,101,20/10/2022
15/07/2021,2366,20/10/2022
15/07/2022,20535,20/10/2022
15/08/2020,358,20/10/2022
15/08/2021,3404,20/10/2022
15/08/2022,6416,20/10/2022
15/09/2020,917,20/10/2022
15/09/2021,2405,20/10/2022
15/09/2022,5826,20/10/2022
15/10/2020,8348,20/10/2022
15/10/2021,1819,20/10/2022
15/10/2022,7541,20/10/2022
15/11/2020,13914,20/10/2022
15/11/2021,6768,20/10/2022
15/12/2020,8127,20/10/2022
15/12/2021,13739,20/10/2022
16/01/2021,5756,20/10/2022
16/01/2022,42391,20/10/2022
16/02/2020,83,20/10/2022
16/02/2021,7573,20/10/2022
16/02/2022,16757,20/10/2022
16/03/2020,5337,20/10/2022
16/03/2021,12704,20/10/2022
16/03/2022,26274,20/10/2022
16/04/2020,1673,20/10/2022
16/04/2021,7069,20/10/2022
16/04/2022,14409,20/10/2022
16/05/2020,243,20/10/2022
16/05/2021,2163,20/10/2022
16/05/2022,12131,20/10/2022
16/06/2020,109,20/10/2022
16/06/2021,523,20/10/2022
16/06/2022,11959,20/10/2022
16/07/2020,96,20/10/2022
16/07/2021,2257,20/10/2022
16/07/2022,18210,20/10/2022
16/08/2020,372,20/10/2022
16/08/2021,4326,20/10/2022
16/08/2022,9755,20/10/2022
16/09/2020,845,20/10/2022
16/09/2021,2178,20/10/2022
16/09/2022,5598,20/10/2022
16/10/2020,9420,20/10/2022
16/10/2021,1789,20/10/2022
16/10/2022,5884,20/10/2022
16/11/2020,16417,20/10/2022
16/11/2021,6477,20/10/2022
16/12/2020,7830,20/10/2022
16/12/2021,13330,20/10/2022
17/01/2021,5296,20/10/2022
17/01/2022,55985,20/10/2022
17/02/2020,146,20/10/2022
17/02/2021,8315,20/10/2022
17/02/2022,15828,20/10/2022
17/03/2020,4556,20/10/2022
17/03/2021,12733,20/10/2022
17/03/2022,23539,20/10/2022
17/04/2020,1642,20/10/2022
17/04/2021,6297,20/10/2022
17/04/2022,12399,20/10/2022
17/05/2020,187,20/10/2022
17/05/2021,2513,20/10/2022
17/05/2022,9393,20/10/2022
17/06/2020,97,20/10/2022
17/06/2021,445,20/10/2022
17/06/2022,12095,20/10/2022
17/07/2020,104,20/10/2022
17/07/2021,2268,20/10/2022
17/07/2022,16755,20/10/2022
17/08/2020,581,20/10/2022
17/08/2021,4243,20/10/2022
17/08/2022,7890,20/10/2022
17/09/2020,861,20/10/2022
17/09/2021,2160,20/10/2022
17/09/2022,5343,20/10/2022
17/10/2020,9150,20/10/2022
