DATARICOVERO1,RICOVERI,iss_date
08/09/2020,183,12/01/2023
08/09/2021,314,12/01/2023
08/09/2022,289,12/01/2023
08/10/2020,539,12/01/2023
08/10/2021,150,12/01/2023
08/10/2022,565,12/01/2023
08/11/2020,2185,12/01/2023
08/11/2021,338,12/01/2023
08/11/2022,573,12/01/2023
08/12/2020,1304,12/01/2023
08/12/2021,538,12/01/2023
08/12/2022,555,12/01/2023
09/01/2021,1281,12/01/2023
09/01/2022,1368,12/01/2023
09/01/2023,371,12/01/2023
09/02/2021,964,12/01/2023
09/02/2022,1113,12/01/2023
09/03/2020,1459,12/01/2023
09/03/2021,1855,12/01/2023
09/03/2022,608,12/01/2023
09/04/2020,1024,12/01/2023
09/04/2021,1394,12/01/2023
09/04/2022,716,12/01/2023
09/05/2020,187,12/01/2023
09/05/2021,456,12/01/2023
09/05/2022,532,12/01/2023
09/06/2020,90,12/01/2023
09/06/2021,150,12/01/2023
09/06/2022,311,12/01/2023
09/07/2020,74,12/01/2023
09/07/2021,83,12/01/2023
09/07/2022,836,12/01/2023
09/08/2020,69,12/01/2023
09/08/2021,348,12/01/2023
09/08/2022,611,12/01/2023
09/09/2020,199,12/01/2023
09/09/2021,305,12/01/2023
09/09/2022,263,12/01/2023
09/10/2020,575,12/01/2023
09/10/2021,137,12/01/2023
09/10/2022,468,12/01/2023
09/11/2020,2514,12/01/2023
09/11/2021,312,12/01/2023
09/11/2022,538,12/01/2023
09/12/2020,1435,12/01/2023
09/12/2021,640,12/01/2023
09/12/2022,769,12/01/2023
10/01/2021,1153,12/01/2023
10/01/2022,1723,12/01/2023
10/01/2023,265,12/01/2023
10/02/2021,1010,12/01/2023
10/02/2022,1023,12/01/2023
10/03/2020,1583,12/01/2023
10/03/2021,1862,12/01/2023
10/03/2022,586,12/01/2023
10/04/2020,956,12/01/2023
10/04/2021,1267,12/01/2023
10/04/2022,545,12/01/2023
10/05/2020,178,12/01/2023
10/05/2021,655,12/01/2023
10/05/2022,581,12/01/2023
10/06/2020,92,12/01/2023
10/06/2021,127,12/01/2023
10/06/2022,337,12/01/2023
10/07/2020,80,12/01/2023
10/07/2021,72,12/01/2023
10/07/2022,721,12/01/2023
10/08/2020,118,12/01/2023
10/08/2021,329,12/01/2023
10/08/2022,547,12/01/2023
10/09/2020,222,12/01/2023
10/09/2021,305,12/01/2023
10/09/2022,252,12/01/2023
10/10/2020,579,12/01/2023
10/10/2021,126,12/01/2023
10/10/2022,701,12/01/2023
10/11/2020,2545,12/01/2023
10/11/2021,325,12/01/2023
10/11/2022,542,12/01/2023
10/12/2020,1401,12/01/2023
10/12/2021,631,12/01/2023
10/12/2022,676,12/01/2023
11/01/2021,1346,12/01/2023
11/01/2022,1669,12/01/2023
11/01/2023,85,12/01/2023
11/02/2021,983,12/01/2023
11/02/2022,940,12/01/2023
11/03/2020,1759,12/01/2023
11/03/2021,1742,12/01/2023
11/03/2022,648,12/01/2023
11/04/2020,832,12/01/2023
11/04/2021,1113,12/01/2023
11/04/2022,745,12/01/2023
11/05/2020,271,12/01/2023
11/05/2021,534,12/01/2023
11/05/2022,562,12/01/2023
11/06/2020,69,12/01/2023
11/06/2021,128,12/01/2023
11/06/2022,300,12/01/2023
11/07/2020,59,12/01/2023
11/07/2021,72,12/01/2023
11/07/2022,1034,12/01/2023
11/08/2020,64,12/01/2023
11/08/2021,332,12/01/2023
11/08/2022,488,12/01/2023
11/09/2020,215,12/01/2023
11/09/2021,293,12/01/2023
11/09/2022,206,12/01/2023
11/10/2020,593,12/01/2023
11/10/2021,146,12/01/2023
11/10/2022,650,12/01/2023
11/11/2020,2635,12/01/2023
11/11/2021,302,12/01/2023
11/11/2022,541,12/01/2023
11/12/2020,1446,12/01/2023
11/12/2021,626,12/01/2023
11/12/2022,500,12/01/2023
12/01/2021,1310,12/01/2023
12/01/2022,1697,12/01/2023
12/01/2023,<5,12/01/2023
12/02/2021,940,12/01/2023
12/02/2022,881,12/01/2023
12/03/2020,1906,12/01/2023
12/03/2021,1876,12/01/2023
12/03/2022,574,12/01/2023
12/04/2020,672,12/01/2023
12/04/2021,1226,12/01/2023
