iss_date,DATA_PRELIEVO_DIAGNOSI,CASI
09/12/2020,08/05/2020,1383
09/12/2020,09/05/2020,734
09/12/2020,10/05/2020,334
09/12/2020,11/05/2020,886
09/12/2020,12/05/2020,924
09/12/2020,13/05/2020,890
09/12/2020,14/05/2020,902
09/12/2020,15/05/2020,796
09/12/2020,16/05/2020,611
09/12/2020,17/05/2020,300
09/12/2020,18/05/2020,658
09/12/2020,19/05/2020,718
09/12/2020,20/05/2020,674
09/12/2020,21/05/2020,623
09/12/2020,22/05/2020,687
09/12/2020,23/05/2020,357
09/12/2020,24/05/2020,146
09/12/2020,25/05/2020,512
09/12/2020,26/05/2020,541
09/12/2020,27/05/2020,531
09/12/2020,28/05/2020,516
09/12/2020,29/05/2020,391
09/12/2020,30/05/2020,288
09/12/2020,31/05/2020,90
09/12/2020,01/06/2020,386
09/12/2020,02/06/2020,86
09/12/2020,03/06/2020,360
09/12/2020,04/06/2020,368
09/12/2020,05/06/2020,386
09/12/2020,06/06/2020,204
09/12/2020,07/06/2020,82
09/12/2020,08/06/2020,299
09/12/2020,09/06/2020,366
09/12/2020,10/06/2020,392
09/12/2020,11/06/2020,448
09/12/2020,12/06/2020,362
09/12/2020,13/06/2020,215
09/12/2020,14/06/2020,68
09/12/2020,15/06/2020,279
09/12/2020,16/06/2020,276
09/12/2020,17/06/2020,303
09/12/2020,18/06/2020,231
09/12/2020,19/06/2020,290
09/12/2020,20/06/2020,162
09/12/2020,21/06/2020,61
09/12/2020,22/06/2020,330
09/12/2020,23/06/2020,294
09/12/2020,24/06/2020,203
09/12/2020,25/06/2020,206
09/12/2020,26/06/2020,182
09/12/2020,27/06/2020,122
09/12/2020,28/06/2020,64
09/12/2020,29/06/2020,235
09/12/2020,30/06/2020,199
09/12/2020,01/07/2020,238
09/12/2020,02/07/2020,250
09/12/2020,03/07/2020,237
09/12/2020,04/07/2020,220
09/12/2020,05/07/2020,81
09/12/2020,06/07/2020,235
09/12/2020,07/07/2020,221
09/12/2020,08/07/2020,283
09/12/2020,09/07/2020,219
09/12/2020,10/07/2020,247
09/12/2020,11/07/2020,157
09/12/2020,12/07/2020,53
09/12/2020,13/07/2020,184
09/12/2020,14/07/2020,235
09/12/2020,15/07/2020,239
09/12/2020,16/07/2020,258
09/12/2020,17/07/2020,286
09/12/2020,18/07/2020,162
09/12/2020,19/07/2020,109
09/12/2020,20/07/2020,313
09/12/2020,21/07/2020,278
09/12/2020,22/07/2020,275
09/12/2020,23/07/2020,266
09/12/2020,24/07/2020,307
09/12/2020,25/07/2020,194
09/12/2020,26/07/2020,91
09/12/2020,27/07/2020,319
09/12/2020,28/07/2020,314
09/12/2020,29/07/2020,466
09/12/2020,30/07/2020,330
09/12/2020,31/07/2020,310
09/12/2020,01/08/2020,199
09/12/2020,02/08/2020,107
09/12/2020,03/08/2020,410
09/12/2020,04/08/2020,387
09/12/2020,05/08/2020,484
09/12/2020,06/08/2020,398
09/12/2020,07/08/2020,501
09/12/2020,08/08/2020,346
09/12/2020,09/08/2020,195
09/12/2020,10/08/2020,494
09/12/2020,11/08/2020,527
09/12/2020,12/08/2020,631
09/12/2020,13/08/2020,537
09/12/2020,14/08/2020,637
09/12/2020,15/08/2020,332
09/12/2020,16/08/2020,294
09/12/2020,17/08/2020,700
09/12/2020,18/08/2020,912
09/12/2020,19/08/2020,1069
09/12/2020,20/08/2020,1151
09/12/2020,21/08/2020,1396
09/12/2020,22/08/2020,1074
09/12/2020,23/08/2020,713
09/12/2020,24/08/2020,1653
09/12/2020,25/08/2020,1575
09/12/2020,26/08/2020,1523
09/12/2020,27/08/2020,1495
09/12/2020,28/08/2020,1467
09/12/2020,29/08/2020,1031
09/12/2020,30/08/2020,573
09/12/2020,31/08/2020,1398
09/12/2020,01/09/2020,1397
09/12/2020,02/09/2020,1621
09/12/2020,03/09/2020,1560
09/12/2020,04/09/2020,1669
09/12/2020,05/09/2020,1134
09/12/2020,06/09/2020,565
09/12/2020,07/09/2020,1560
09/12/2020,08/09/2020,1633
09/12/2020,09/09/2020,1647
09/12/2020,10/09/2020,1679
09/12/2020,11/09/2020,1623
09/12/2020,12/09/2020,1214
09/12/2020,13/09/2020,606
09/12/2020,14/09/2020,1654
09/12/2020,15/09/2020,1821
09/12/2020,16/09/2020,1609
09/12/2020,17/09/2020,1728
09/12/2020,18/09/2020,1891
09/12/2020,19/09/2020,1296
09/12/2020,20/09/2020,642
09/12/2020,21/09/2020,2019
09/12/2020,22/09/2020,1943
09/12/2020,23/09/2020,2075
09/12/2020,24/09/2020,2003
09/12/2020,25/09/2020,2123
09/12/2020,26/09/2020,1524
09/12/2020,27/09/2020,924
09/12/2020,28/09/2020,2324
09/12/2020,29/09/2020,2356
09/12/2020,30/09/2020,2599
09/12/2020,01/10/2020,3075
09/12/2020,02/10/2020,3307
09/12/2020,03/10/2020,2607
09/12/2020,04/10/2020,1776
09/12/2020,05/10/2020,5025
09/12/2020,06/10/2020,4891
09/12/2020,07/10/2020,5534
09/12/2020,08/10/2020,6084
09/12/2020,09/10/2020,6877
09/12/2020,10/10/2020,6139
09/12/2020,11/10/2020,3447
09/12/2020,12/10/2020,9616
09/12/2020,13/10/2020,10471
09/12/2020,14/10/2020,11263
09/12/2020,15/10/2020,11959
09/12/2020,16/10/2020,13353
09/12/2020,17/10/2020,11671
09/12/2020,18/10/2020,6354
09/12/2020,19/10/2020,17500
09/12/2020,20/10/2020,19342
09/12/2020,21/10/2020,22283
09/12/2020,22/10/2020,23555
09/12/2020,23/10/2020,25315
09/12/2020,24/10/2020,19830
09/12/2020,25/10/2020,11322
09/12/2020,26/10/2020,28219
09/12/2020,27/10/2020,31447
09/12/2020,28/10/2020,34000
09/12/2020,29/10/2020,33062
09/12/2020,30/10/2020,35173
09/12/2020,31/10/2020,25447
09/12/2020,01/11/2020,13569
09/12/2020,02/11/2020,34239
09/12/2020,03/11/2020,36986
09/12/2020,04/11/2020,40808
09/12/2020,05/11/2020,39668
09/12/2020,06/11/2020,41032
09/12/2020,07/11/2020,29866
09/12/2020,08/11/2020,15716
09/12/2020,09/11/2020,38221
09/12/2020,10/11/2020,39860
09/12/2020,11/11/2020,38970
09/12/2020,12/11/2020,38205
09/12/2020,13/11/2020,39054
09/12/2020,14/11/2020,28401
09/12/2020,15/11/2020,14312
09/12/2020,16/11/2020,35600
09/12/2020,17/11/2020,38025
09/12/2020,18/11/2020,36463
09/12/2020,19/11/2020,34802
09/12/2020,20/11/2020,32206
09/12/2020,21/11/2020,22566
09/12/2020,22/11/2020,11014
09/12/2020,23/11/2020,27726
09/12/2020,24/11/2020,28615
09/12/2020,25/11/2020,26535
09/12/2020,26/11/2020,25741
09/12/2020,27/11/2020,23288
09/12/2020,28/11/2020,17280
09/12/2020,29/11/2020,8124
09/12/2020,30/11/2020,21518
09/12/2020,01/12/2020,22203
09/12/2020,02/12/2020,20251
09/12/2020,03/12/2020,18429
09/12/2020,04/12/2020,17703
09/12/2020,05/12/2020,12128
09/12/2020,06/12/2020,4389
09/12/2020,07/12/2020,6508
09/12/2020,08/12/2020,911
09/12/2020,09/12/2020,14
09/12/2020,,3306
