iss_date,NOME_NUTS2,CASI_CUMULATIVI
26/12/2020,Abruzzo,34398
26/12/2020,Basilicata,10218
26/12/2020,Calabria,22789
26/12/2020,Campania,182406
26/12/2020,Emilia-Romagna,163290
26/12/2020,Friuli-Venezia Giulia,38038
26/12/2020,Lazio,156277
26/12/2020,Liguria,58987
26/12/2020,Lombardia,470490
26/12/2020,Marche,38091
26/12/2020,Molise,6168
26/12/2020,Piemonte,192390
26/12/2020,Provincia Autonoma di Bolzano/Bozen,28033
26/12/2020,Provincia Autonoma di Trento,20838
26/12/2020,Puglia,85697
26/12/2020,Sardegna,25947
26/12/2020,Sicilia,87864
26/12/2020,Toscana,117463
26/12/2020,Umbria,28475
26/12/2020,Valle d'Aosta/Vallée d'Aoste,7139
26/12/2020,Veneto,237422
27/12/2020,Abruzzo,34436
27/12/2020,Basilicata,10227
27/12/2020,Calabria,23020
27/12/2020,Campania,182406
27/12/2020,Emilia-Romagna,165044
27/12/2020,Friuli-Venezia Giulia,38038
27/12/2020,Lazio,156277
27/12/2020,Liguria,59025
27/12/2020,Lombardia,470951
27/12/2020,Marche,38091
27/12/2020,Molise,6168
27/12/2020,Piemonte,192390
27/12/2020,Provincia Autonoma di Bolzano/Bozen,28065
27/12/2020,Provincia Autonoma di Trento,20962
27/12/2020,Puglia,86241
27/12/2020,Sardegna,26081
27/12/2020,Sicilia,88577
27/12/2020,Toscana,117937
27/12/2020,Umbria,28516
27/12/2020,Valle d'Aosta/Vallée d'Aoste,7206
27/12/2020,Veneto,240002
29/12/2020,Abruzzo,34549
29/12/2020,Basilicata,10287
29/12/2020,Calabria,23637
29/12/2020,Campania,183734
29/12/2020,Emilia-Romagna,167077
29/12/2020,Friuli-Venezia Giulia,39931
29/12/2020,Lazio,163066
29/12/2020,Liguria,59295
29/12/2020,Lombardia,472230
29/12/2020,Marche,38603
29/12/2020,Molise,6395
29/12/2020,Piemonte,195313
29/12/2020,Provincia Autonoma di Bolzano/Bozen,28315
29/12/2020,Provincia Autonoma di Trento,21147
29/12/2020,Puglia,87855
29/12/2020,Sardegna,27188
29/12/2020,Sicilia,91197
29/12/2020,Toscana,118409
29/12/2020,Umbria,28553
29/12/2020,Valle d'Aosta/Vallée d'Aoste,7235
29/12/2020,Veneto,245918
30/12/2020,Abruzzo,34550
30/12/2020,Basilicata,10402
30/12/2020,Calabria,23788
30/12/2020,Campania,183767
30/12/2020,Emilia-Romagna,167969
30/12/2020,Friuli-Venezia Giulia,39931
30/12/2020,Lazio,163066
30/12/2020,Liguria,59601
30/12/2020,Lombardia,473925
30/12/2020,Marche,38604
30/12/2020,Molise,6395
30/12/2020,Piemonte,195942
30/12/2020,Provincia Autonoma di Bolzano/Bozen,28538
30/12/2020,Provincia Autonoma di Trento,21322
30/12/2020,Puglia,87853
30/12/2020,Sardegna,27668
30/12/2020,Sicilia,92147
30/12/2020,Toscana,118800
30/12/2020,Umbria,28553
30/12/2020,Valle d'Aosta/Vallée d'Aoste,7260
30/12/2020,Veneto,249072
31/12/2020,Abruzzo,34826
31/12/2020,Basilicata,10545
31/12/2020,Calabria,24009
31/12/2020,Campania,185333
31/12/2020,Emilia-Romagna,169396
31/12/2020,Friuli-Venezia Giulia,39931
31/12/2020,Lazio,163066
31/12/2020,Liguria,60015
31/12/2020,Lombardia,473925
31/12/2020,Marche,39683
31/12/2020,Molise,6439
31/12/2020,Piemonte,195942
31/12/2020,Provincia Autonoma di Bolzano/Bozen,28805
31/12/2020,Provincia Autonoma di Trento,21519
31/12/2020,Puglia,89325
31/12/2020,Sardegna,28016
31/12/2020,Sicilia,93206
31/12/2020,Toscana,119335
31/12/2020,Umbria,29154
31/12/2020,Valle d'Aosta/Vallée d'Aoste,7284
31/12/2020,Veneto,253621
01/01/2021,Abruzzo,35273
