iss_date,DATA_INIZIO_SINTOMI,CASI
09/12/2020,18/10/2020,8800
09/12/2020,19/10/2020,12534
09/12/2020,20/10/2020,13184
09/12/2020,21/10/2020,12740
09/12/2020,22/10/2020,12718
09/12/2020,23/10/2020,14212
09/12/2020,24/10/2020,13266
09/12/2020,25/10/2020,13281
09/12/2020,26/10/2020,17898
09/12/2020,27/10/2020,15889
09/12/2020,28/10/2020,16716
09/12/2020,29/10/2020,17197
09/12/2020,30/10/2020,16728
09/12/2020,31/10/2020,13784
09/12/2020,01/11/2020,16700
09/12/2020,02/11/2020,19652
09/12/2020,03/11/2020,16266
09/12/2020,04/11/2020,17602
09/12/2020,05/11/2020,16431
09/12/2020,06/11/2020,17267
09/12/2020,07/11/2020,16025
09/12/2020,08/11/2020,13567
09/12/2020,09/11/2020,17885
09/12/2020,10/11/2020,17013
09/12/2020,11/11/2020,14818
09/12/2020,12/11/2020,14325
09/12/2020,13/11/2020,15576
09/12/2020,14/11/2020,13636
09/12/2020,15/11/2020,13301
09/12/2020,16/11/2020,14239
09/12/2020,17/11/2020,11549
09/12/2020,18/11/2020,12586
09/12/2020,19/11/2020,9854
09/12/2020,20/11/2020,11349
09/12/2020,21/11/2020,8869
09/12/2020,22/11/2020,7409
09/12/2020,23/11/2020,9913
09/12/2020,24/11/2020,8272
09/12/2020,25/11/2020,8094
09/12/2020,26/11/2020,7751
09/12/2020,27/11/2020,7528
09/12/2020,28/11/2020,7159
09/12/2020,29/11/2020,4610
09/12/2020,30/11/2020,6523
09/12/2020,01/12/2020,6027
09/12/2020,02/12/2020,4813
09/12/2020,03/12/2020,3559
09/12/2020,04/12/2020,2457
09/12/2020,05/12/2020,1487
09/12/2020,06/12/2020,849
09/12/2020,07/12/2020,509
09/12/2020,08/12/2020,138
09/12/2020,09/12/2020,30
09/12/2020,,846384
10/12/2020,28/01/2020,10
10/12/2020,29/01/2020,16
10/12/2020,30/01/2020,18
10/12/2020,31/01/2020,17
10/12/2020,01/02/2020,50
10/12/2020,02/02/2020,35
10/12/2020,03/02/2020,23
10/12/2020,04/02/2020,22
10/12/2020,05/02/2020,30
10/12/2020,06/02/2020,25
10/12/2020,07/02/2020,18
10/12/2020,08/02/2020,14
10/12/2020,09/02/2020,16
10/12/2020,10/02/2020,62
10/12/2020,11/02/2020,27
10/12/2020,12/02/2020,48
10/12/2020,13/02/2020,49
10/12/2020,14/02/2020,65
10/12/2020,15/02/2020,145
10/12/2020,16/02/2020,81
10/12/2020,17/02/2020,138
10/12/2020,18/02/2020,164
10/12/2020,19/02/2020,139
10/12/2020,20/02/2020,403
10/12/2020,21/02/2020,312
10/12/2020,22/02/2020,387
10/12/2020,23/02/2020,509
10/12/2020,24/02/2020,675
10/12/2020,25/02/2020,817
10/12/2020,26/02/2020,738
10/12/2020,27/02/2020,886
10/12/2020,28/02/2020,1206
10/12/2020,29/02/2020,1079
10/12/2020,01/03/2020,2472
10/12/2020,02/03/2020,1946
10/12/2020,03/03/2020,2250
10/12/2020,04/03/2020,1944
10/12/2020,05/03/2020,2631
10/12/2020,06/03/2020,2966
10/12/2020,07/03/2020,3127
10/12/2020,08/03/2020,3661
10/12/2020,09/03/2020,4422
10/12/2020,10/03/2020,6127
10/12/2020,11/03/2020,4200
10/12/2020,12/03/2020,4749
10/12/2020,13/03/2020,5339
10/12/2020,14/03/2020,4694
10/12/2020,15/03/2020,5871
10/12/2020,16/03/2020,5311
10/12/2020,17/03/2020,4508
10/12/2020,18/03/2020,4807
10/12/2020,19/03/2020,4256
10/12/2020,20/03/2020,6118
10/12/2020,21/03/2020,3813
10/12/2020,22/03/2020,3748
10/12/2020,23/03/2020,4376
10/12/2020,24/03/2020,3552
10/12/2020,25/03/2020,3822
10/12/2020,26/03/2020,3291
10/12/2020,27/03/2020,3535
10/12/2020,28/03/2020,3130
10/12/2020,29/03/2020,2373
10/12/2020,30/03/2020,3635
10/12/2020,31/03/2020,2583
10/12/2020,01/04/2020,4070
10/12/2020,02/04/2020,2649
10/12/2020,03/04/2020,2691
10/12/2020,04/04/2020,2290
10/12/2020,05/04/2020,2026
10/12/2020,06/04/2020,2447
10/12/2020,07/04/2020,2215
10/12/2020,08/04/2020,2104
10/12/2020,09/04/2020,1995
10/12/2020,10/04/2020,2697
10/12/2020,11/04/2020,1581
10/12/2020,12/04/2020,1621
10/12/2020,13/04/2020,1482
10/12/2020,14/04/2020,1795
10/12/2020,15/04/2020,2110
10/12/2020,16/04/2020,1602
10/12/2020,17/04/2020,1564
10/12/2020,18/04/2020,1252
10/12/2020,19/04/2020,972
10/12/2020,20/04/2020,1855
10/12/2020,21/04/2020,1160
10/12/2020,22/04/2020,1181
10/12/2020,23/04/2020,1199
10/12/2020,24/04/2020,1075
10/12/2020,25/04/2020,856
10/12/2020,26/04/2020,643
10/12/2020,27/04/2020,1086
10/12/2020,28/04/2020,837
10/12/2020,29/04/2020,889
10/12/2020,30/04/2020,836
10/12/2020,01/05/2020,662
10/12/2020,02/05/2020,471
10/12/2020,03/05/2020,377
10/12/2020,04/05/2020,606
10/12/2020,05/05/2020,605
10/12/2020,06/05/2020,528
10/12/2020,07/05/2020,479
10/12/2020,08/05/2020,483
10/12/2020,09/05/2020,266
10/12/2020,10/05/2020,329
10/12/2020,11/05/2020,380
10/12/2020,12/05/2020,429
10/12/2020,13/05/2020,361
10/12/2020,14/05/2020,311
10/12/2020,15/05/2020,311
10/12/2020,16/05/2020,221
10/12/2020,17/05/2020,172
10/12/2020,18/05/2020,295
10/12/2020,19/05/2020,236
10/12/2020,20/05/2020,272
10/12/2020,21/05/2020,193
10/12/2020,22/05/2020,172
10/12/2020,23/05/2020,122
10/12/2020,24/05/2020,79
10/12/2020,25/05/2020,203
10/12/2020,26/05/2020,169
10/12/2020,27/05/2020,191
10/12/2020,28/05/2020,145
10/12/2020,29/05/2020,134
10/12/2020,30/05/2020,113
10/12/2020,31/05/2020,59
10/12/2020,01/06/2020,167
10/12/2020,02/06/2020,63
10/12/2020,03/06/2020,129
10/12/2020,04/06/2020,115
10/12/2020,05/06/2020,139
10/12/2020,06/06/2020,87
10/12/2020,07/06/2020,64
10/12/2020,08/06/2020,127
10/12/2020,09/06/2020,114
10/12/2020,10/06/2020,115
10/12/2020,11/06/2020,92
10/12/2020,12/06/2020,115
10/12/2020,13/06/2020,66
10/12/2020,14/06/2020,75
10/12/2020,15/06/2020,104
10/12/2020,16/06/2020,93
10/12/2020,17/06/2020,88
10/12/2020,18/06/2020,89
10/12/2020,19/06/2020,82
10/12/2020,20/06/2020,59
10/12/2020,21/06/2020,57
10/12/2020,22/06/2020,87
10/12/2020,23/06/2020,71
10/12/2020,24/06/2020,87
10/12/2020,25/06/2020,83
10/12/2020,26/06/2020,94
10/12/2020,27/06/2020,75
10/12/2020,28/06/2020,50
10/12/2020,29/06/2020,98
10/12/2020,30/06/2020,65
10/12/2020,01/07/2020,113
10/12/2020,02/07/2020,86
10/12/2020,03/07/2020,72
10/12/2020,04/07/2020,79
10/12/2020,05/07/2020,66
10/12/2020,06/07/2020,97
10/12/2020,07/07/2020,98
10/12/2020,08/07/2020,102
10/12/2020,09/07/2020,83
10/12/2020,10/07/2020,110
10/12/2020,11/07/2020,76
10/12/2020,12/07/2020,72
10/12/2020,13/07/2020,102
10/12/2020,14/07/2020,116
10/12/2020,15/07/2020,98
10/12/2020,16/07/2020,85
10/12/2020,17/07/2020,103
10/12/2020,18/07/2020,91
10/12/2020,19/07/2020,87
10/12/2020,20/07/2020,137
10/12/2020,21/07/2020,120
