DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
09/04/2020,4686,15/12/2022
09/04/2021,17338,15/12/2022
09/04/2022,54558,15/12/2022
09/05/2020,731,15/12/2022
09/05/2021,3609,15/12/2022
09/05/2022,60690,15/12/2022
09/06/2020,368,15/12/2022
09/06/2021,1851,15/12/2022
09/06/2022,22771,15/12/2022
09/07/2020,220,15/12/2022
09/07/2021,1499,15/12/2022
09/07/2022,82224,15/12/2022
09/08/2020,198,15/12/2022
09/08/2021,7056,15/12/2022
09/08/2022,30134,15/12/2022
09/09/2020,1635,15/12/2022
09/09/2021,4976,15/12/2022
09/09/2022,15747,15/12/2022
09/10/2020,7008,15/12/2022
09/10/2021,2113,15/12/2022
09/10/2022,14101,15/12/2022
09/11/2020,39375,15/12/2022
09/11/2021,8839,15/12/2022
09/11/2022,28207,15/12/2022
09/12/2020,20169,15/12/2022
09/12/2021,21601,15/12/2022
09/12/2022,34594,15/12/2022
10/01/2021,7004,15/12/2022
10/01/2022,253124,15/12/2022
10/02/2021,13936,15/12/2022
10/02/2022,63841,15/12/2022
10/03/2020,2457,15/12/2022
10/03/2021,25825,15/12/2022
10/03/2022,55910,15/12/2022
10/04/2020,5131,15/12/2022
10/04/2021,14068,15/12/2022
10/04/2022,23936,15/12/2022
10/05/2020,337,15/12/2022
10/05/2021,8154,15/12/2022
10/05/2022,41744,15/12/2022
10/06/2020,394,15/12/2022
10/06/2021,1806,15/12/2022
10/06/2022,22939,15/12/2022
10/07/2020,256,15/12/2022
10/07/2021,1409,15/12/2022
10/07/2022,35363,15/12/2022
10/08/2020,502,15/12/2022
10/08/2021,7509,15/12/2022
10/08/2022,28306,15/12/2022
10/09/2020,1669,15/12/2022
10/09/2021,5108,15/12/2022
10/09/2022,12494,15/12/2022
10/10/2020,6055,15/12/2022
10/10/2021,1228,15/12/2022
10/10/2022,69130,15/12/2022
10/11/2020,40874,15/12/2022
10/11/2021,8442,15/12/2022
10/11/2022,26853,15/12/2022
10/12/2020,20711,15/12/2022
10/12/2021,22985,15/12/2022
10/12/2022,21046,15/12/2022
11/01/2021,17111,15/12/2022
11/01/2022,205799,15/12/2022
11/02/2021,13483,15/12/2022
11/02/2022,61073,15/12/2022
11/03/2020,2773,15/12/2022
11/03/2021,25815,15/12/2022
11/03/2022,57714,15/12/2022
11/04/2020,3433,15/12/2022
11/04/2021,6745,15/12/2022
11/04/2022,89915,15/12/2022
11/05/2020,874,15/12/2022
11/05/2021,8297,15/12/2022
11/05/2022,42244,15/12/2022
11/06/2020,449,15/12/2022
11/06/2021,1827,15/12/2022
11/06/2022,19334,15/12/2022
11/07/2020,164,15/12/2022
11/07/2021,799,15/12/2022
11/07/2022,155252,15/12/2022
11/08/2020,540,15/12/2022
11/08/2021,7022,15/12/2022
11/08/2022,25579,15/12/2022
11/09/2020,1619,15/12/2022
11/09/2021,3948,15/12/2022
11/09/2022,5798,15/12/2022
11/10/2020,3426,15/12/2022
11/10/2021,3060,15/12/2022
11/10/2022,46963,15/12/2022
11/11/2020,39785,15/12/2022
11/11/2021,8174,15/12/2022
11/11/2022,28103,15/12/2022
11/12/2020,19826,15/12/2022
11/12/2021,19491,15/12/2022
11/12/2022,10319,15/12/2022
12/01/2021,16547,15/12/2022
12/01/2022,189446,15/12/2022
12/02/2021,13175,15/12/2022
12/02/2022,49877,15/12/2022
12/03/2020,3144,15/12/2022
12/03/2021,25417,15/12/2022
12/03/2022,50956,15/12/2022
12/04/2020,1919,15/12/2022
12/04/2021,16879,15/12/2022
12/04/2022,61877,15/12/2022
12/05/2020,915,15/12/2022
12/05/2021,7519,15/12/2022
12/05/2022,38387,15/12/2022
12/06/2020,369,15/12/2022
12/06/2021,1185,15/12/2022
12/06/2022,10083,15/12/2022
12/07/2020,65,15/12/2022
12/07/2021,2006,15/12/2022
12/07/2022,111263,15/12/2022
12/08/2020,631,15/12/2022
12/08/2021,7145,15/12/2022
12/08/2022,24699,15/12/2022
12/09/2020,1222,15/12/2022
12/09/2021,1835,15/12/2022
12/09/2022,25721,15/12/2022
12/10/2020,9596,15/12/2022
12/10/2021,2836,15/12/2022
12/10/2022,45958,15/12/2022
12/11/2020,39301,15/12/2022
12/11/2021,9146,15/12/2022
12/11/2022,22661,15/12/2022
12/12/2020,14339,15/12/2022
12/12/2021,9328,15/12/2022
12/12/2022,36934,15/12/2022
13/01/2021,15519,15/12/2022
13/01/2022,176717,15/12/2022
13/02/2021,9858,15/12/2022
13/02/2022,24164,15/12/2022
13/03/2020,4103,15/12/2022
13/03/2021,20125,15/12/2022
13/03/2022,26605,15/12/2022
13/04/2020,2270,15/12/2022
13/04/2021,17358,15/12/2022
13/04/2022,65775,15/12/2022
13/05/2020,890,15/12/2022
13/05/2021,6722,15/12/2022
13/05/2022,36603,15/12/2022
13/06/2020,214,15/12/2022
13/06/2021,567,15/12/2022
13/06/2022,43226,15/12/2022
13/07/2020,192,15/12/2022
13/07/2021,2611,15/12/2022
13/07/2022,108802,15/12/2022
13/08/2020,549,15/12/2022
13/08/2021,7010,15/12/2022
13/08/2022,19482,15/12/2022
13/09/2020,597,15/12/2022
13/09/2021,4939,15/12/2022
13/09/2022,17509,15/12/2022
13/10/2020,10479,15/12/2022
13/10/2021,2712,15/12/2022
13/10/2022,40039,15/12/2022
13/11/2020,40125,15/12/2022
13/11/2021,7752,15/12/2022
13/11/2022,10370,15/12/2022
13/12/2020,5775,15/12/2022
13/12/2021,25933,15/12/2022
13/12/2022,15436,15/12/2022
14/01/2021,14716,15/12/2022
14/01/2022,181852,15/12/2022
14/02/2021,4405,15/12/2022
14/02/2022,78051,15/12/2022
14/03/2020,3533,15/12/2022
14/03/2021,8955,15/12/2022
14/03/2022,97894,15/12/2022
14/04/2020,3278,15/12/2022
14/04/2021,16354,15/12/2022
14/04/2022,62815,15/12/2022
14/05/2020,900,15/12/2022
14/05/2021,6582,15/12/2022
14/05/2022,27300,15/12/2022
14/06/2020,68,15/12/2022
14/06/2021,1468,15/12/2022
14/06/2022,34091,15/12/2022
14/07/2020,243,15/12/2022
14/07/2021,2638,15/12/2022
14/07/2022,97122,15/12/2022
14/08/2020,634,15/12/2022
14/08/2021,5175,15/12/2022
14/08/2022,9830,15/12/2022
14/09/2020,1668,15/12/2022
14/09/2021,5207,15/12/2022
14/09/2022,17930,15/12/2022
14/10/2020,11492,15/12/2022
14/10/2021,2789,15/12/2022
14/10/2022,39647,15/12/2022
14/11/2020,29149,15/12/2022
14/11/2021,3571,15/12/2022
14/11/2022,50438,15/12/2022
14/12/2020,18204,15/12/2022
14/12/2021,26591,15/12/2022
14/12/2022,2578,15/12/2022
15/01/2021,14418,15/12/2022
15/01/2022,145691,15/12/2022
15/02/2021,13025,15/12/2022
15/02/2022,56659,15/12/2022
15/03/2020,2847,15/12/2022
15/03/2021,24482,15/12/2022
15/03/2022,75766,15/12/2022
15/04/2020,3947,15/12/2022
15/04/2021,15021,15/12/2022
15/04/2022,64425,15/12/2022
15/05/2020,791,15/12/2022
15/05/2021,5052,15/12/2022
