iss_date,DATA_INIZIO_SINTOMI,CASI_SINT,e
10/12/2020,28/10/2020,12202,
10/12/2020,29/10/2020,11384,
10/12/2020,30/10/2020,12001,
10/12/2020,31/10/2020,10195,
10/12/2020,01/11/2020,12593,
10/12/2020,02/11/2020,14553,
10/12/2020,03/11/2020,12455,
10/12/2020,04/11/2020,12987,
10/12/2020,05/11/2020,12739,
10/12/2020,06/11/2020,13399,
10/12/2020,07/11/2020,11954,
10/12/2020,08/11/2020,11182,
10/12/2020,09/11/2020,14224,
10/12/2020,10/11/2020,13588,
10/12/2020,11/11/2020,11987,
10/12/2020,12/11/2020,11891,
10/12/2020,13/11/2020,12274,
10/12/2020,14/11/2020,11363,
10/12/2020,15/11/2020,10322,
10/12/2020,16/11/2020,12468,
10/12/2020,17/11/2020,10382,
10/12/2020,18/11/2020,10505,
10/12/2020,19/11/2020,8917,
10/12/2020,20/11/2020,10066,
10/12/2020,21/11/2020,7737,
10/12/2020,22/11/2020,7002,
10/12/2020,23/11/2020,9193,
10/12/2020,24/11/2020,7740,739517
10/12/2020,25/11/2020,7677,
10/12/2020,26/11/2020,7092,
10/12/2020,27/11/2020,7064,
10/12/2020,28/11/2020,6352,
10/12/2020,29/11/2020,4552,
10/12/2020,30/11/2020,6566,
10/12/2020,01/12/2020,6118,
10/12/2020,02/12/2020,4930,
10/12/2020,03/12/2020,3807,
10/12/2020,04/12/2020,2854,
10/12/2020,05/12/2020,1791,
10/12/2020,06/12/2020,1110,
10/12/2020,07/12/2020,757,
10/12/2020,08/12/2020,313,
10/12/2020,09/12/2020,100,
10/12/2020,10/12/2020,31,
10/12/2020,,99905,

iss_date,DATA_INIZIO_SINTOMI,CASI_SINT
12/12/2020,28/01/2020,9
12/12/2020,29/01/2020,14
12/12/2020,30/01/2020,16
12/12/2020,31/01/2020,14
12/12/2020,01/02/2020,44
12/12/2020,02/02/2020,30
12/12/2020,03/02/2020,21
12/12/2020,04/02/2020,21
12/12/2020,05/02/2020,29
12/12/2020,06/02/2020,23
12/12/2020,07/02/2020,15
12/12/2020,08/02/2020,14
12/12/2020,09/02/2020,15
12/12/2020,10/02/2020,55
12/12/2020,11/02/2020,20
12/12/2020,12/02/2020,45
12/12/2020,13/02/2020,41
12/12/2020,14/02/2020,60
12/12/2020,15/02/2020,136
12/12/2020,16/02/2020,77
12/12/2020,17/02/2020,127
12/12/2020,18/02/2020,153
12/12/2020,19/02/2020,127
12/12/2020,20/02/2020,379
12/12/2020,21/02/2020,294
12/12/2020,22/02/2020,364
12/12/2020,23/02/2020,472
12/12/2020,24/02/2020,617
12/12/2020,25/02/2020,772
12/12/2020,26/02/2020,690
12/12/2020,27/02/2020,798
12/12/2020,28/02/2020,1133
12/12/2020,29/02/2020,1006
12/12/2020,01/03/2020,2255
12/12/2020,02/03/2020,1794
12/12/2020,03/03/2020,2033
12/12/2020,04/03/2020,1760
12/12/2020,05/03/2020,2394
12/12/2020,06/03/2020,2665
12/12/2020,07/03/2020,2854
12/12/2020,08/03/2020,3345
12/12/2020,09/03/2020,3932
12/12/2020,10/03/2020,5456
