X,Y,OBJECTID,COD_ISTATN,NOME_COM,NOME_PRO,SIG_PRO,NOME_REG,COORDX,COORDY,OBJECTID_1,DATA_RICEVIMENTO_TAMPONE,POSITIVI,DECEDUTI,FID
9.71465447,45.57285937,"1019","3016079",COLOGNO AL SERIO,BERGAMO,BG,LOMBARDIA,9.71465447,45.57285937,"1019","1583712000000","1","0","1672"
9.93185469,45.63547484,"534","3017038",CAPRIOLO,BRESCIA,BS,LOMBARDIA,9.93185469,45.63547484,"534","1583884800000","1","0","1673"
9.7995435,45.67216233,"93","3016139",MONTELLO,BERGAMO,BG,LOMBARDIA,9.7995435,45.67216233,"93","1582588800000","1","0","1674"
9.74006103,45.69546517,"1332","3016160",PEDRENGO,BERGAMO,BG,LOMBARDIA,9.74006103,45.69546517,"1332","1583539200000","2","0","1675"
9.84024704,45.83441212,"127","3016080",COLZATE,BERGAMO,BG,LOMBARDIA,9.84024704,45.83441212,"127","1582848000000","0","1","1676"
9.74453215,45.72409902,"697","3016240",VILLA DI SERIO,BERGAMO,BG,LOMBARDIA,9.74453215,45.72409902,"697","1583107200000","1","0","1677"
9.93185469,45.63547484,"534","3017038",CAPRIOLO,BRESCIA,BS,LOMBARDIA,9.93185469,45.63547484,"534","1583971200000","2","0","1678"
9.7995435,45.67216233,"93","3016139",MONTELLO,BERGAMO,BG,LOMBARDIA,9.7995435,45.67216233,"93","1583107200000","1","0","1679"
9.74006103,45.69546517,"1332","3016160",PEDRENGO,BERGAMO,BG,LOMBARDIA,9.74006103,45.69546517,"1332","1583625600000","1","0","1680"
9.84024704,45.83441212,"127","3016080",COLZATE,BERGAMO,BG,LOMBARDIA,9.84024704,45.83441212,"127","1583452800000","1","0","1681"
9.74453215,45.72409902,"697","3016240",VILLA DI SERIO,BERGAMO,BG,LOMBARDIA,9.74453215,45.72409902,"697","1583193600000","5","0","1682"
10.43552512,45.34914395,"767","3017039",CARPENEDOLO,BRESCIA,BS,LOMBARDIA,10.43552512,45.34914395,"767","1583107200000","0","1","1683"
9.7995435,45.67216233,"93","3016139",MONTELLO,BERGAMO,BG,LOMBARDIA,9.7995435,45.67216233,"93","1583280000000","1","0","1684"
9.74006103,45.69546517,"1332","3016160",PEDRENGO,BERGAMO,BG,LOMBARDIA,9.74006103,45.69546517,"1332","1583712000000","2","0","1685"
9.84024704,45.83441212,"127","3016080",COLZATE,BERGAMO,BG,LOMBARDIA,9.84024704,45.83441212,"127","1583712000000","2","0","1686"
9.74453215,45.72409902,"697","3016240",VILLA DI SERIO,BERGAMO,BG,LOMBARDIA,9.74453215,45.72409902,"697","1583280000000","3","0","1687"
