gps:lat,gps:lng,nome,sigla_provincia,totale_casi,data_caricamento
43.9347424,11.017563,Montale,47010,1,1623184203
43.8534454,10.6657906,Montecarlo,46021,1,1623184203
43.8808528,10.7755253,Montecatini-Terme,47011,5,1623184203
43.7331893,11.0206163,Montelupo Fiorentino,48028,1,1623184203
43.9285163,11.0598617,Montemurlo,100003,3,1623184203
43.0986938,11.7872467,Montepulciano,52015,2,1623184203
43.1444444,10.8561302,Monterotondo Marittimo,53027,3,1623184203
43.6444674,11.071105,Montespertoli,48030,1,1623184203
43.530781,11.5639528,Montevarchi,51026,19,1623184203
44.0076086,10.1647233,Montignoso,45011,3,1623184203
43.6752621,10.7436084,Montopoli in Val d'Arno,50022,1,1623184203
44.3152594,9.8898793,Mulazzo,45012,9,1623184203
43.6055024,10.7755818,Palaia,50024,4,1623184203
43.5449624,10.720062,Peccioli,50025,4,1623184203
43.7726973,11.5032835,Pelago,48032,12,1623184203
43.967427,10.4119274,Pescaglia,46022,1,1623184203
43.9073209,10.6891311,Pescia,47012,9,1623184203
42.8500321,11.6866772,Piancastagnaio,52020,4,1623184203
43.9595513,10.2286323,Pietrasanta,46024,14,1623184203
44.1505265,10.4565159,Pieve Fosciana,46025,1,1623184203
43.8644714,10.7943639,Pieve a Nievole,47013,2,1623184203
42.9256335,10.5258891,Piombino,49012,6,1623184203
43.7228386,10.4016888,Pisa,50026,26,1623184203
43.9303475,10.9078587,Pistoia,47014,34,1623184203
43.4725646,11.146754,Poggibonsi,52022,1,1623184203
43.299041,10.8721881,Pomarance,50027,1,1623184203
43.6141758,10.6365483,Ponsacco,50028,3,1623184203
43.8464813,11.4112049,Pontassieve,48033,8,1623184203
43.8394088,10.7476839,Ponte Buggianese,47016,1,1623184203
43.6625156,10.6363586,Pontedera,50029,7,1623184203
44.3712904,9.8815979,Pontremoli,45014,18,1623184203
43.841981,10.6176612,Porcari,46026,2,1623184203
43.8777049,11.102228,Prato,100005,34,1623184203
43.8429373,10.9693968,Quarrata,47017,7,1623184203
43.6831091,11.5327495,Reggello,48035,5,1623184203
43.7235312,11.4468796,Rignano sull'Arno,48036,1,1623184203
42.8201095,10.4227992,Rio Marina,49021,1,1623184203
43.3644842,10.608395,Riparbella,50030,1,1623184203
43.4066931,10.4621366,Rosignano Marittimo,49017,4,1623184203
43.8266869,11.5134398,Rufina,48037,3,1623184203
43.6420954,11.1843887,San Casciano in Val di Pesa,48038,3,1623184203
43.5724868,11.5230045,San Giovanni Valdarno,51033,1,1623184203
43.7596639,10.4418645,San Giuliano Terme,50031,3,1623184203
43.9248889,11.6191735,San Godenzo,48039,7,1623184203
44.0283342,10.764862,San Marcello Piteglio,47024,3,1623184203
43.6829641,10.8551196,San Miniato,50032,4,1623184203
43.0581804,11.6060636,San Quirico d'Orcia,52030,1,1623184203
43.7109248,10.783619,Santa Croce sull'Arno,50033,3,1623184203
43.717447,10.6985155,Santa Maria a Monte,50035,1,1623184203
42.9892382,11.8701028,Sarteano,52031,10,1623184203
43.7307033,11.1504111,Scandicci,48041,18,1623184203
42.6863861,11.3339204,Scansano,53023,1,1623184203
43.9941134,10.2300959,Seravezza,46028,7,1623184203
43.9059084,10.8330326,Serravalle Pistoiese,47020,4,1623184203
43.7076205,12.2952085,Sestino,51035,1,1623184203
43.8374367,11.2183781,Sesto Fiorentino,48043,8,1623184203
43.318809,11.3307574,Siena,52032,2,1623184203
43.7919095,11.1051259,Signa,48044,7,1623184203
43.2123108,11.7365014,Sinalunga,52033,1,1623184203
43.9940159,10.3132639,Stazzema,46030,2,1623184203
43.5296755,10.6759772,Terricciola,50036,2,1623184203
43.1549116,11.7637775,Torrita di Siena,52035,3,1623184203
44.2545728,9.9117791,Tresana,45015,1,1623184203
43.9103642,11.2794599,Vaglia,48046,1,1623184203
43.9595625,11.1277659,Vaiano,100006,1,1623184203
43.7801404,10.3921587,Vecchiano,50037,4,1623184203
43.8657267,10.2513103,Viareggio,46033,27,1623184203
43.9330936,11.4647469,Vicchio,48049,2,1623184203
43.6991454,10.5831013,Vicopisano,50038,2,1623184203
43.9257067,10.6446603,Villa Basilica,46034,2,1623184203
44.2951567,9.9506484,Villafranca in Lunigiana,45016,2,1623184203
43.7841765,10.9244269,Vinci,48050,1,1623184203
43.399395,10.8660333,Volterra,50039,2,1623184203
44.3366878,9.7901781,Zeri,45017,1,1623184203
